period_start,period_end,label,precip_total_mm,precip_rainy_days,precip_max_daily_mm
2016-01-01,2016-01-15,2016-01_Q1,34.2,7.0,9.51
2016-01-16,2016-01-31,2016-01_Q2,11.24,2.0,6.2
2016-02-01,2016-02-15,2016-02_Q1,11.87,2.0,6.04
2016-02-16,2016-02-29,2016-02_Q2,15.03,2.0,9.26
2016-03-01,2016-03-15,2016-03_Q1,38.25,7.0,12.45
2016-03-16,2016-03-31,2016-03_Q2,13.49,2.0,10.79
2016-04-01,2016-04-15,2016-04_Q1,49.55,3.0,19.45
2016-04-16,2016-04-30,2016-04_Q2,89.35,7.0,22.46
2016-05-01,2016-05-15,2016-05_Q1,95.18,8.0,17.35
2016-05-16,2016-05-31,2016-05_Q2,50.91,4.0,22.2
2016-06-01,2016-06-15,2016-06_Q1,66.57,3.0,37.56
2016-06-16,2016-06-30,2016-06_Q2,0.0,0.0,0.0
2016-07-01,2016-07-15,2016-07_Q1,10.1,2.0,6.73
2016-07-16,2016-07-31,2016-07_Q2,27.93,2.0,18.52
2016-08-01,2016-08-15,2016-08_Q1,0.0,0.0,0.0
2016-08-16,2016-08-31,2016-08_Q2,24.06,3.0,12.03
2016-09-01,2016-09-15,2016-09_Q1,15.51,2.0,9.66
2016-09-16,2016-09-30,2016-09_Q2,39.1,2.0,34.97
2016-10-01,2016-10-15,2016-10_Q1,75.56,6.0,20.77
2016-10-16,2016-10-31,2016-10_Q2,72.98,4.0,28.84
2016-11-01,2016-11-15,2016-11_Q1,63.83,1.0,63.83
2016-11-16,2016-11-30,2016-11_Q2,76.65,2.0,52.05
2016-12-01,2016-12-15,2016-12_Q1,0.0,0.0,0.0
2016-12-16,2016-12-31,2016-12_Q2,127.42,3.0,47.95
2017-01-01,2017-01-15,2017-01_Q1,69.9,3.0,40.04
2017-01-16,2017-01-31,2017-01_Q2,45.69,2.0,33.52
2017-02-01,2017-02-15,2017-02_Q1,36.29,5.0,12.3
2017-02-16,2017-02-28,2017-02_Q2,65.77,5.0,28.12
2017-03-01,2017-03-15,2017-03_Q1,104.38,9.0,25.14
2017-03-16,2017-03-31,2017-03_Q2,124.94,8.0,30.0
2017-04-01,2017-04-15,2017-04_Q1,25.74,3.0,11.44
2017-04-16,2017-04-30,2017-04_Q2,107.16,8.0,20.99
2017-05-01,2017-05-15,2017-05_Q1,156.25,8.0,67.03
2017-05-16,2017-05-31,2017-05_Q2,33.82,2.0,17.4
2017-06-01,2017-06-15,2017-06_Q1,71.76,5.0,26.87
2017-06-16,2017-06-30,2017-06_Q2,39.27,3.0,20.28
2017-07-01,2017-07-15,2017-07_Q1,10.96,2.0,5.82
2017-07-16,2017-07-31,2017-07_Q2,5.48,1.0,5.48
2017-08-01,2017-08-15,2017-08_Q1,6.68,2.0,3.34
2017-08-16,2017-08-31,2017-08_Q2,46.41,5.0,15.45
2017-09-01,2017-09-15,2017-09_Q1,11.26,2.0,5.63
2017-09-16,2017-09-30,2017-09_Q2,33.01,4.0,11.92
2017-10-01,2017-10-15,2017-10_Q1,72.41,5.0,17.54
2017-10-16,2017-10-31,2017-10_Q2,50.9,5.0,15.42
2017-11-01,2017-11-15,2017-11_Q1,72.82,6.0,15.77
2017-11-16,2017-11-30,2017-11_Q2,46.88,3.0,18.66
2017-12-01,2017-12-15,2017-12_Q1,109.93,2.0,79.41
2017-12-16,2017-12-31,2017-12_Q2,0.0,0.0,0.0
2018-01-01,2018-01-15,2018-01_Q1,79.62,2.0,43.35
2018-01-16,2018-01-31,2018-01_Q2,0.0,0.0,0.0
2018-02-01,2018-02-15,2018-02_Q1,0.0,0.0,0.0
2018-02-16,2018-02-28,2018-02_Q2,79.47,2.0,67.5
2018-03-01,2018-03-15,2018-03_Q1,3.9,2.0,1.95
2018-03-16,2018-03-31,2018-03_Q2,71.59,8.0,21.14
2018-04-01,2018-04-15,2018-04_Q1,86.02,7.0,33.79
2018-04-16,2018-04-30,2018-04_Q2,28.98,6.0,9.13
2018-05-01,2018-05-15,2018-05_Q1,76.32,7.0,42.03
2018-05-16,2018-05-31,2018-05_Q2,69.39,4.0,19.86
2018-06-01,2018-06-15,2018-06_Q1,41.06,5.0,15.39
2018-06-16,2018-06-30,2018-06_Q2,0.0,0.0,0.0
2018-07-01,2018-07-15,2018-07_Q1,29.0,2.0,14.5
2018-07-16,2018-07-31,2018-07_Q2,0.0,0.0,0.0
2018-08-01,2018-08-15,2018-08_Q1,24.45,3.0,8.15
2018-08-16,2018-08-31,2018-08_Q2,2.75,0.0,0.98
2018-09-01,2018-09-15,2018-09_Q1,13.1,2.0,8.23
2018-09-16,2018-09-30,2018-09_Q2,33.89,4.0,15.88
2018-10-01,2018-10-15,2018-10_Q1,62.06,7.0,24.41
2018-10-16,2018-10-31,2018-10_Q2,62.51,4.0,27.5
2018-11-01,2018-11-15,2018-11_Q1,142.93,8.0,48.55
2018-11-16,2018-11-30,2018-11_Q2,130.15,9.0,21.01
2018-12-01,2018-12-15,2018-12_Q1,34.41,2.0,17.2
2018-12-16,2018-12-31,2018-12_Q2,12.26,4.0,5.44
2019-01-01,2019-01-15,2019-01_Q1,34.71,4.0,12.33
2019-01-16,2019-01-31,2019-01_Q2,29.03,2.0,19.35
2019-02-01,2019-02-15,2019-02_Q1,16.36,1.0,16.36
2019-02-16,2019-02-28,2019-02_Q2,36.11,1.0,36.11
2019-03-01,2019-03-15,2019-03_Q1,30.05,6.0,8.29
2019-03-16,2019-03-31,2019-03_Q2,52.82,5.0,21.85
2019-04-01,2019-04-15,2019-04_Q1,64.37,6.0,35.87
2019-04-16,2019-04-30,2019-04_Q2,103.78,8.0,29.55
2019-05-01,2019-05-15,2019-05_Q1,40.85,4.0,18.95
2019-05-16,2019-05-31,2019-05_Q2,94.14,7.0,32.16
2019-06-01,2019-06-15,2019-06_Q1,31.36,7.0,8.6
2019-06-16,2019-06-30,2019-06_Q2,14.99,2.0,8.81
2019-07-01,2019-07-15,2019-07_Q1,21.95,3.0,8.47
2019-07-16,2019-07-31,2019-07_Q2,0.0,0.0,0.0
2019-08-01,2019-08-15,2019-08_Q1,13.62,3.0,6.48
2019-08-16,2019-08-31,2019-08_Q2,0.0,0.0,0.0
2019-09-01,2019-09-15,2019-09_Q1,0.0,0.0,0.0
2019-09-16,2019-09-30,2019-09_Q2,75.2,7.0,20.08
2019-10-01,2019-10-15,2019-10_Q1,68.51,6.0,19.08
2019-10-16,2019-10-31,2019-10_Q2,83.82,6.0,23.5
2019-11-01,2019-11-15,2019-11_Q1,218.34,9.0,42.37
2019-11-16,2019-11-30,2019-11_Q2,87.11,5.0,35.61
2019-12-01,2019-12-15,2019-12_Q1,126.59,5.0,39.2
2019-12-16,2019-12-31,2019-12_Q2,13.6,1.0,13.6
2020-01-01,2020-01-15,2020-01_Q1,18.89,1.0,18.89
2020-01-16,2020-01-31,2020-01_Q2,45.9,4.0,16.28
2020-02-01,2020-02-15,2020-02_Q1,12.6,1.0,12.6
2020-02-16,2020-02-29,2020-02_Q2,56.97,3.0,20.18
2020-03-01,2020-03-15,2020-03_Q1,40.03,1.0,40.03
2020-03-16,2020-03-31,2020-03_Q2,34.31,1.0,34.31
2020-04-01,2020-04-15,2020-04_Q1,66.44,6.0,19.21
2020-04-16,2020-04-30,2020-04_Q2,54.97,3.0,33.27
2020-05-01,2020-05-15,2020-05_Q1,107.96,6.0,31.7
2020-05-16,2020-05-31,2020-05_Q2,22.41,3.0,17.56
2020-06-01,2020-06-15,2020-06_Q1,63.98,10.0,11.76
2020-06-16,2020-06-30,2020-06_Q2,32.73,2.0,22.11
2020-07-01,2020-07-15,2020-07_Q1,36.46,4.0,26.04
2020-07-16,2020-07-31,2020-07_Q2,19.82,4.0,5.74
2020-08-01,2020-08-15,2020-08_Q1,25.01,1.0,25.01
2020-08-16,2020-08-31,2020-08_Q2,45.98,4.0,15.46
2020-09-01,2020-09-15,2020-09_Q1,14.43,2.0,8.55
2020-09-16,2020-09-30,2020-09_Q2,47.01,10.0,11.14
2020-10-01,2020-10-15,2020-10_Q1,0.0,0.0,0.0
2020-10-16,2020-10-31,2020-10_Q2,94.02,7.0,40.61
2020-11-01,2020-11-15,2020-11_Q1,29.88,3.0,16.88
2020-11-16,2020-11-30,2020-11_Q2,112.77,6.0,35.93
2020-12-01,2020-12-15,2020-12_Q1,42.79,4.0,29.12
2020-12-16,2020-12-31,2020-12_Q2,115.15,7.0,33.0
2021-01-01,2021-01-15,2021-01_Q1,0.0,0.0,0.0
2021-01-16,2021-01-31,2021-01_Q2,68.54,3.0,31.62
2021-02-01,2021-02-15,2021-02_Q1,42.9,2.0,24.24
2021-02-16,2021-02-28,2021-02_Q2,42.49,3.0,18.09
2021-03-01,2021-03-15,2021-03_Q1,134.52,7.0,32.07
2021-03-16,2021-03-31,2021-03_Q2,97.02,5.0,29.5
2021-04-01,2021-04-15,2021-04_Q1,51.08,6.0,16.82
