period_start,period_end,label,precip_mm,temp_c,pet_mm,water_balance,spei_1m,spei_3m,spei_6m,spei_12m
2016-01-01,2016-01-15,2016-01_Q1,6.88,22.56,44.88,-38.0,,,,
2016-01-16,2016-01-31,2016-01_Q2,6.47,22.87,44.88,-38.41,-1.438,,,
2016-02-01,2016-02-15,2016-02_Q1,0.0,23.25,43.26,-43.26,-1.657,,,
2016-02-16,2016-02-29,2016-02_Q2,56.18,23.06,43.26,12.92,0.292,,,
2016-03-01,2016-03-15,2016-03_Q1,0.0,22.18,48.42,-48.42,0.446,,,
2016-03-16,2016-03-31,2016-03_Q2,41.68,24.03,48.42,-6.74,-0.754,-0.909,,
2016-04-01,2016-04-15,2016-04_Q1,44.49,22.56,46.84,-2.35,0.412,-0.412,,
2016-04-16,2016-04-30,2016-04_Q2,88.9,23.32,46.84,42.06,0.16,-0.191,,
2016-05-01,2016-05-15,2016-05_Q1,29.73,22.17,47.02,-17.29,0.383,0.181,,
2016-05-16,2016-05-31,2016-05_Q2,21.6,22.96,47.02,-25.42,-0.507,-0.429,,
2016-06-01,2016-06-15,2016-06_Q1,11.18,22.76,45.96,-34.78,-0.799,-0.222,,
2016-06-16,2016-06-30,2016-06_Q2,9.39,22.41,45.96,-36.57,-0.217,-0.266,-0.625,
2016-07-01,2016-07-15,2016-07_Q1,14.44,23.12,49.16,-34.72,0.068,0.063,-0.365,
2016-07-16,2016-07-31,2016-07_Q2,13.45,22.69,49.16,-35.71,0.013,-0.359,-0.324,
2016-08-01,2016-08-15,2016-08_Q1,27.24,24.03,56.37,-29.13,-0.508,-0.699,0.017,
2016-08-16,2016-08-31,2016-08_Q2,22.87,24.42,56.37,-33.5,-1.022,-0.834,-0.499,
2016-09-01,2016-09-15,2016-09_Q1,27.66,23.18,49.69,-22.03,-0.522,-0.466,-0.24,
2016-09-16,2016-09-30,2016-09_Q2,11.3,23.92,49.69,-38.39,-0.435,-0.812,-0.363,
2016-10-01,2016-10-15,2016-10_Q1,56.19,22.63,45.43,10.76,0.007,-0.435,-0.098,
2016-10-16,2016-10-31,2016-10_Q2,61.43,22.67,45.43,16.0,0.344,-0.189,-0.357,
2016-11-01,2016-11-15,2016-11_Q1,99.31,21.52,36.97,62.34,0.365,0.171,0.002,
2016-11-16,2016-11-30,2016-11_Q2,63.4,21.19,36.97,26.43,0.978,0.559,0.344,
2016-12-01,2016-12-15,2016-12_Q1,73.25,21.4,35.95,37.3,1.582,0.951,0.737,
2016-12-16,2016-12-31,2016-12_Q2,14.32,20.47,35.95,-21.63,1.519,0.98,0.74,0.444
2017-01-01,2017-01-15,2017-01_Q1,62.8,20.0,31.86,30.94,1.05,1.315,0.983,0.924
2017-01-16,2017-01-31,2017-01_Q2,0.0,19.96,31.86,-31.86,1.781,1.564,0.999,0.842
2017-02-01,2017-02-15,2017-02_Q1,0.0,20.98,33.2,-33.2,-0.934,1.665,0.935,0.974
2017-02-16,2017-02-28,2017-02_Q2,47.41,20.96,33.2,14.21,1.033,1.774,1.15,0.991
2017-03-01,2017-03-15,2017-03_Q1,23.21,20.74,36.22,-13.01,1.135,1.102,1.136,0.999
2017-03-16,2017-03-31,2017-03_Q2,26.69,20.71,36.22,-9.53,0.504,1.378,1.275,1.039
2017-04-01,2017-04-15,2017-04_Q1,36.69,22.09,44.01,-7.32,0.27,0.482,1.237,0.935
2017-04-16,2017-04-30,2017-04_Q2,59.85,22.73,44.01,15.84,-0.57,-0.021,1.414,0.649
2017-05-01,2017-05-15,2017-05_Q1,67.43,21.8,44.88,22.55,0.637,0.687,1.549,0.844
2017-05-16,2017-05-31,2017-05_Q2,25.22,22.55,44.88,-19.66,1.244,0.218,1.25,0.757
2017-06-01,2017-06-15,2017-06_Q1,9.69,22.61,45.37,-35.68,-0.534,-0.039,0.572,0.735
2017-06-16,2017-06-30,2017-06_Q2,11.69,22.34,45.37,-33.68,-0.04,0.054,0.779,0.742
2017-07-01,2017-07-15,2017-07_Q1,13.31,22.54,47.12,-33.81,0.462,0.413,0.441,0.739
2017-07-16,2017-07-31,2017-07_Q2,18.85,22.55,47.12,-28.27,0.811,0.865,0.4,0.756
2017-08-01,2017-08-15,2017-08_Q1,30.37,23.28,49.91,-19.54,0.858,0.107,0.653,0.68
2017-08-16,2017-08-31,2017-08_Q2,66.21,23.01,49.91,16.3,1.489,1.106,0.64,0.912
2017-09-01,2017-09-15,2017-09_Q1,26.57,23.19,47.93,-21.36,1.503,1.269,0.677,0.979
2017-09-16,2017-09-30,2017-09_Q2,26.41,23.28,47.93,-21.52,0.251,0.995,0.697,1.086
2017-10-01,2017-10-15,2017-10_Q1,33.35,22.91,46.34,-12.99,-0.259,0.668,0.7,0.911
2017-10-16,2017-10-31,2017-10_Q2,24.04,22.73,46.34,-22.3,-1.29,0.127,0.52,0.708
2017-11-01,2017-11-15,2017-11_Q1,56.43,22.21,40.29,16.14,-1.05,-0.36,-0.215,0.819
2017-11-16,2017-11-30,2017-11_Q2,59.59,21.9,40.29,19.3,0.218,-0.42,0.083,1.033
2017-12-01,2017-12-15,2017-12_Q1,29.67,21.84,38.39,-8.72,0.81,-0.41,0.169,0.876
2017-12-16,2017-12-31,2017-12_Q2,0.0,21.07,38.39,-38.39,-0.832,-0.909,-0.148,0.686
2018-01-01,2018-01-15,2018-01_Q1,46.94,21.21,38.27,8.67,-0.246,-0.442,0.09,0.682
2018-01-16,2018-01-31,2018-01_Q2,0.0,21.59,38.27,-38.27,0.677,0.049,-0.082,0.535
2018-02-01,2018-02-15,2018-02_Q1,6.29,20.68,31.07,-24.78,-0.829,0.153,-0.198,0.682
2018-02-16,2018-02-28,2018-02_Q2,12.47,20.23,31.07,-18.6,-0.48,-0.087,-0.567,0.469
2018-03-01,2018-03-15,2018-03_Q1,0.0,21.72,41.71,-41.71,-0.364,-1.059,-0.929,0.146
2018-03-16,2018-03-31,2018-03_Q2,89.49,21.98,41.71,47.78,1.41,0.929,-0.183,0.566
2018-04-01,2018-04-15,2018-04_Q1,102.02,20.37,38.83,63.19,1.691,1.529,0.374,0.827
2018-04-16,2018-04-30,2018-04_Q2,35.22,22.4,38.83,-3.61,0.707,0.804,0.368,0.555
2018-05-01,2018-05-15,2018-05_Q1,18.22,22.05,45.53,-27.31,-0.782,0.652,0.47,0.275
2018-05-16,2018-05-31,2018-05_Q2,30.58,22.54,45.53,-14.95,-0.49,0.76,0.285,0.201
2018-06-01,2018-06-15,2018-06_Q1,9.19,22.73,46.23,-37.04,-0.35,1.368,0.123,0.157
2018-06-16,2018-06-30,2018-06_Q2,12.15,22.54,46.23,-34.08,-0.196,0.139,0.543,0.14
2018-07-01,2018-07-15,2018-07_Q1,9.42,22.71,49.71,-40.29,-0.262,-0.774,0.386,0.1
2018-07-16,2018-07-31,2018-07_Q2,25.34,23.29,49.71,-24.37,0.609,-0.196,0.464,0.085
2018-08-01,2018-08-15,2018-08_Q1,12.1,23.21,51.74,-39.64,-0.431,-0.51,0.445,-0.169
2018-08-16,2018-08-31,2018-08_Q2,32.74,23.71,51.74,-19.0,-0.709,-0.43,0.388,-0.371
2018-09-01,2018-09-15,2018-09_Q1,15.38,22.91,46.16,-30.78,-0.225,-0.344,0.609,-0.441
2018-09-16,2018-09-30,2018-09_Q2,24.21,22.91,46.16,-21.95,-0.119,-0.359,0.061,-0.53
2018-10-01,2018-10-15,2018-10_Q1,65.71,21.92,39.45,26.26,0.839,0.323,-0.247,-0.244
2018-10-16,2018-10-31,2018-10_Q2,121.77,21.05,39.45,82.32,1.238,1.049,0.752,0.441
2018-11-01,2018-11-15,2018-11_Q1,56.07,21.62,38.92,17.15,0.639,0.734,0.668,0.767
2018-11-16,2018-11-30,2018-11_Q2,15.17,21.92,38.92,-23.75,-0.639,0.513,0.379,0.846
2018-12-01,2018-12-15,2018-12_Q1,10.17,21.1,37.53,-27.36,-0.755,0.503,0.302,0.779
2018-12-16,2018-12-31,2018-12_Q2,13.99,21.45,37.53,-23.54,-1.027,0.287,0.197,0.735
2019-01-01,2019-01-15,2019-01_Q1,0.0,21.12,39.62,-39.62,-1.613,-0.269,-0.036,0.585
2019-01-16,2019-01-31,2019-01_Q2,44.59,22.24,39.62,4.97,0.447,-0.863,0.217,0.714
