periodo_inicio,periodo_fin,label,lat,lon,et_total_mm
2016-01-01,2016-01-15,2016-01_Q1,-19.689669877950884,147.22717515914223,25.8
2016-01-16,2016-01-31,2016-01_Q2,-19.689669877950884,147.22717515914223,40.4
2016-02-01,2016-02-15,2016-02_Q1,-19.689669877950884,147.22717515914223,51.7
2016-02-16,2016-02-29,2016-02_Q2,-19.689669877950884,147.22717515914223,41.6
2016-03-01,2016-03-15,2016-03_Q1,-19.689669877950884,147.22717515914223,45.3
2016-03-16,2016-03-31,2016-03_Q2,-19.689669877950884,147.22717515914223,40.1
2016-04-01,2016-04-15,2016-04_Q1,-19.689669877950884,147.22717515914223,29.0
2016-04-16,2016-04-30,2016-04_Q2,-19.689669877950884,147.22717515914223,25.5
2016-05-01,2016-05-15,2016-05_Q1,-19.689669877950884,147.22717515914223,11.0
2016-05-16,2016-05-31,2016-05_Q2,-19.689669877950884,147.22717515914223,25.1
2016-06-01,2016-06-15,2016-06_Q1,-19.689669877950884,147.22717515914223,23.6
2016-06-16,2016-06-30,2016-06_Q2,-19.689669877950884,147.22717515914223,23.2
2016-07-01,2016-07-15,2016-07_Q1,-19.689669877950884,147.22717515914223,19.7
2016-07-16,2016-07-31,2016-07_Q2,-19.689669877950884,147.22717515914223,27.5
2016-08-01,2016-08-15,2016-08_Q1,-19.689669877950884,147.22717515914223,21.5
2016-08-16,2016-08-31,2016-08_Q2,-19.689669877950884,147.22717515914223,24.1
2016-09-01,2016-09-15,2016-09_Q1,-19.689669877950884,147.22717515914223,30.0
2016-09-16,2016-09-30,2016-09_Q2,-19.689669877950884,147.22717515914223,31.5
2016-10-01,2016-10-15,2016-10_Q1,-19.689669877950884,147.22717515914223,31.7
2016-10-16,2016-10-31,2016-10_Q2,-19.689669877950884,147.22717515914223,37.4
2016-11-01,2016-11-15,2016-11_Q1,-19.689669877950884,147.22717515914223,15.4
2016-11-16,2016-11-30,2016-11_Q2,-19.689669877950884,147.22717515914223,30.1
2016-12-01,2016-12-15,2016-12_Q1,-19.689669877950884,147.22717515914223,42.5
2016-12-16,2016-12-31,2016-12_Q2,-19.689669877950884,147.22717515914223,56.4
2017-01-01,2017-01-15,2017-01_Q1,-19.689669877950884,147.22717515914223,70.1
2017-01-16,2017-01-31,2017-01_Q2,-19.689669877950884,147.22717515914223,68.5
2017-02-01,2017-02-15,2017-02_Q1,-19.689669877950884,147.22717515914223,55.8
2017-02-16,2017-02-28,2017-02_Q2,-19.689669877950884,147.22717515914223,47.8
2017-03-01,2017-03-15,2017-03_Q1,-19.689669877950884,147.22717515914223,55.0
2017-03-16,2017-03-31,2017-03_Q2,-19.689669877950884,147.22717515914223,49.2
2017-04-01,2017-04-15,2017-04_Q1,-19.689669877950884,147.22717515914223,39.0
2017-04-16,2017-04-30,2017-04_Q2,-19.689669877950884,147.22717515914223,16.3
2017-05-01,2017-05-15,2017-05_Q1,-19.689669877950884,147.22717515914223,29.6
2017-05-16,2017-05-31,2017-05_Q2,-19.689669877950884,147.22717515914223,30.0
2017-06-01,2017-06-15,2017-06_Q1,-19.689669877950884,147.22717515914223,25.2
2017-06-16,2017-06-30,2017-06_Q2,-19.689669877950884,147.22717515914223,27.8
2017-07-01,2017-07-15,2017-07_Q1,-19.689669877950884,147.22717515914223,24.5
2017-07-16,2017-07-31,2017-07_Q2,-19.689669877950884,147.22717515914223,18.6
2017-08-01,2017-08-15,2017-08_Q1,-19.689669877950884,147.22717515914223,16.2
2017-08-16,2017-08-31,2017-08_Q2,-19.689669877950884,147.22717515914223,13.1
2017-09-01,2017-09-15,2017-09_Q1,-19.689669877950884,147.22717515914223,15.0
2017-09-16,2017-09-30,2017-09_Q2,-19.689669877950884,147.22717515914223,25.1
2017-10-01,2017-10-15,2017-10_Q1,-19.689669877950884,147.22717515914223,17.0
2017-10-16,2017-10-31,2017-10_Q2,-19.689669877950884,147.22717515914223,37.9
2017-11-01,2017-11-15,2017-11_Q1,-19.689669877950884,147.22717515914223,50.7
2017-11-16,2017-11-30,2017-11_Q2,-19.689669877950884,147.22717515914223,42.4
2017-12-01,2017-12-15,2017-12_Q1,-19.689669877950884,147.22717515914223,46.9
2017-12-16,2017-12-31,2017-12_Q2,-19.689669877950884,147.22717515914223,29.5
2018-01-01,2018-01-15,2018-01_Q1,-19.689669877950884,147.22717515914223,36.1
2018-01-16,2018-01-31,2018-01_Q2,-19.689669877950884,147.22717515914223,35.3
2018-02-01,2018-02-15,2018-02_Q1,-19.689669877950884,147.22717515914223,42.3
2018-02-16,2018-02-28,2018-02_Q2,-19.689669877950884,147.22717515914223,44.6
2018-03-01,2018-03-15,2018-03_Q1,-19.689669877950884,147.22717515914223,38.9
2018-03-16,2018-03-31,2018-03_Q2,-19.689669877950884,147.22717515914223,44.2
2018-04-01,2018-04-15,2018-04_Q1,-19.689669877950884,147.22717515914223,40.9
2018-04-16,2018-04-30,2018-04_Q2,-19.689669877950884,147.22717515914223,17.5
2018-05-01,2018-05-15,2018-05_Q1,-19.689669877950884,147.22717515914223,25.7
2018-05-16,2018-05-31,2018-05_Q2,-19.689669877950884,147.22717515914223,20.5
2018-06-01,2018-06-15,2018-06_Q1,-19.689669877950884,147.22717515914223,19.6
2018-06-16,2018-06-30,2018-06_Q2,-19.689669877950884,147.22717515914223,21.7
2018-07-01,2018-07-15,2018-07_Q1,-19.689669877950884,147.22717515914223,14.4
2018-07-16,2018-07-31,2018-07_Q2,-19.689669877950884,147.22717515914223,13.8
2018-08-01,2018-08-15,2018-08_Q1,-19.689669877950884,147.22717515914223,12.0
2018-08-16,2018-08-31,2018-08_Q2,-19.689669877950884,147.22717515914223,14.6
2018-09-01,2018-09-15,2018-09_Q1,-19.689669877950884,147.22717515914223,15.8
2018-09-16,2018-09-30,2018-09_Q2,-19.689669877950884,147.22717515914223,21.0
2018-10-01,2018-10-15,2018-10_Q1,-19.689669877950884,147.22717515914223,13.3
2018-10-16,2018-10-31,2018-10_Q2,-19.689669877950884,147.22717515914223,30.3
2018-11-01,2018-11-15,2018-11_Q1,-19.689669877950884,147.22717515914223,36.0
2018-11-16,2018-11-30,2018-11_Q2,-19.689669877950884,147.22717515914223,25.8
2018-12-01,2018-12-15,2018-12_Q1,-19.689669877950884,147.22717515914223,47.0
2018-12-16,2018-12-31,2018-12_Q2,-19.689669877950884,147.22717515914223,48.4
2019-01-01,2019-01-15,2019-01_Q1,-19.689669877950884,147.22717515914223,50.0
2019-01-16,2019-01-31,2019-01_Q2,-19.689669877950884,147.22717515914223,43.3
2019-02-01,2019-02-15,2019-02_Q1,-19.689669877950884,147.22717515914223,48.3
2019-02-16,2019-02-28,2019-02_Q2,-19.689669877950884,147.22717515914223,52.9
2019-03-01,2019-03-15,2019-03_Q1,-19.689669877950884,147.22717515914223,53.5
2019-03-16,2019-03-31,2019-03_Q2,-19.689669877950884,147.22717515914223,50.5
2019-04-01,2019-04-15,2019-04_Q1,-19.689669877950884,147.22717515914223,46.5
2019-04-16,2019-04-30,2019-04_Q2,-19.689669877950884,147.22717515914223,19.6
2019-05-01,2019-05-15,2019-05_Q1,-19.689669877950884,147.22717515914223,31.4
2019-05-16,2019-05-31,2019-05_Q2,-19.689669877950884,147.22717515914223,25.2
2019-06-01,2019-06-15,2019-06_Q1,-19.689669877950884,147.22717515914223,24.9
2019-06-16,2019-06-30,2019-06_Q2,-19.689669877950884,147.22717515914223,21.6
2019-07-01,2019-07-15,2019-07_Q1,-19.689669877950884,147.22717515914223,24.1
2019-07-16,2019-07-31,2019-07_Q2,-19.689669877950884,147.22717515914223,20.7
2019-08-01,2019-08-15,2019-08_Q1,-19.689669877950884,147.22717515914223,18.7
2019-08-16,2019-08-31,2019-08_Q2,-19.689669877950884,147.22717515914223,13.2
2019-09-01,2019-09-15,2019-09_Q1,-19.689669877950884,147.22717515914223,13.5
