et_mm,fuente,label,lat,lon,periodo_fin,periodo_inicio
25.800000000000004,GF,2016-01_Q1,-19.689669877950884,147.22717515914223,2016-01-16,2016-01-01
40.400000000000006,GF,2016-01_Q2,-19.689669877950884,147.22717515914223,2016-02-01,2016-01-16
51.7,GF,2016-02_Q1,-19.689669877950884,147.22717515914223,2016-02-16,2016-02-01
41.6,GF,2016-02_Q2,-19.689669877950884,147.22717515914223,2016-03-01,2016-02-16
45.300000000000004,GF,2016-03_Q1,-19.689669877950884,147.22717515914223,2016-03-16,2016-03-01
40.10000000000001,GF,2016-03_Q2,-19.689669877950884,147.22717515914223,2016-04-01,2016-03-16
29.000000000000004,GF,2016-04_Q1,-19.689669877950884,147.22717515914223,2016-04-16,2016-04-01
25.5,GF,2016-04_Q2,-19.689669877950884,147.22717515914223,2016-05-01,2016-04-16
11.0,GF,2016-05_Q1,-19.689669877950884,147.22717515914223,2016-05-16,2016-05-01
25.1,GF,2016-05_Q2,-19.689669877950884,147.22717515914223,2016-06-01,2016-05-16
23.6,GF,2016-06_Q1,-19.689669877950884,147.22717515914223,2016-06-16,2016-06-01
23.200000000000003,GF,2016-06_Q2,-19.689669877950884,147.22717515914223,2016-07-01,2016-06-16
19.700000000000003,GF,2016-07_Q1,-19.689669877950884,147.22717515914223,2016-07-16,2016-07-01
27.5,GF,2016-07_Q2,-19.689669877950884,147.22717515914223,2016-08-01,2016-07-16
21.5,GF,2016-08_Q1,-19.689669877950884,147.22717515914223,2016-08-16,2016-08-01
24.1,GF,2016-08_Q2,-19.689669877950884,147.22717515914223,2016-09-01,2016-08-16
30.0,GF,2016-09_Q1,-19.689669877950884,147.22717515914223,2016-09-16,2016-09-01
31.5,GF,2016-09_Q2,-19.689669877950884,147.22717515914223,2016-10-01,2016-09-16
31.700000000000003,GF,2016-10_Q1,-19.689669877950884,147.22717515914223,2016-10-16,2016-10-01
37.400000000000006,GF,2016-10_Q2,-19.689669877950884,147.22717515914223,2016-11-01,2016-10-16
15.4,GF,2016-11_Q1,-19.689669877950884,147.22717515914223,2016-11-16,2016-11-01
30.1,GF,2016-11_Q2,-19.689669877950884,147.22717515914223,2016-12-01,2016-11-16
42.5,GF,2016-12_Q1,-19.689669877950884,147.22717515914223,2016-12-16,2016-12-01
56.400000000000006,GF,2016-12_Q2,-19.689669877950884,147.22717515914223,2017-01-01,2016-12-16
70.1,GF,2017-01_Q1,-19.689669877950884,147.22717515914223,2017-01-16,2017-01-01
68.5,GF,2017-01_Q2,-19.689669877950884,147.22717515914223,2017-02-01,2017-01-16
55.800000000000004,GF,2017-02_Q1,-19.689669877950884,147.22717515914223,2017-02-16,2017-02-01
47.8,GF,2017-02_Q2,-19.689669877950884,147.22717515914223,2017-03-01,2017-02-16
55.0,GF,2017-03_Q1,-19.689669877950884,147.22717515914223,2017-03-16,2017-03-01
49.2,GF,2017-03_Q2,-19.689669877950884,147.22717515914223,2017-04-01,2017-03-16
39.0,GF,2017-04_Q1,-19.689669877950884,147.22717515914223,2017-04-16,2017-04-01
16.3,GF,2017-04_Q2,-19.689669877950884,147.22717515914223,2017-05-01,2017-04-16
29.6,GF,2017-05_Q1,-19.689669877950884,147.22717515914223,2017-05-16,2017-05-01
30.0,GF,2017-05_Q2,-19.689669877950884,147.22717515914223,2017-06-01,2017-05-16
25.200000000000003,GF,2017-06_Q1,-19.689669877950884,147.22717515914223,2017-06-16,2017-06-01
27.8,GF,2017-06_Q2,-19.689669877950884,147.22717515914223,2017-07-01,2017-06-16
24.5,GF,2017-07_Q1,-19.689669877950884,147.22717515914223,2017-07-16,2017-07-01
18.6,GF,2017-07_Q2,-19.689669877950884,147.22717515914223,2017-08-01,2017-07-16
16.2,GF,2017-08_Q1,-19.689669877950884,147.22717515914223,2017-08-16,2017-08-01
13.100000000000001,GF,2017-08_Q2,-19.689669877950884,147.22717515914223,2017-09-01,2017-08-16
15.0,GF,2017-09_Q1,-19.689669877950884,147.22717515914223,2017-09-16,2017-09-01
25.1,GF,2017-09_Q2,-19.689669877950884,147.22717515914223,2017-10-01,2017-09-16
17.0,GF,2017-10_Q1,-19.689669877950884,147.22717515914223,2017-10-16,2017-10-01
37.900000000000006,GF,2017-10_Q2,-19.689669877950884,147.22717515914223,2017-11-01,2017-10-16
50.7,GF,2017-11_Q1,-19.689669877950884,147.22717515914223,2017-11-16,2017-11-01
42.400000000000006,GF,2017-11_Q2,-19.689669877950884,147.22717515914223,2017-12-01,2017-11-16
46.900000000000006,GF,2017-12_Q1,-19.689669877950884,147.22717515914223,2017-12-16,2017-12-01
29.5,GF,2017-12_Q2,-19.689669877950884,147.22717515914223,2018-01-01,2017-12-16
