periodo_inicio,periodo_fin,label,lat,lon,n_images,ndvi,evi,ndmi,bsi,ndre
2016-01-01,2016-01-15,2016-01_Q1,-19.689669877950884,147.22717515914223,0,,,,,
2016-01-16,2016-01-31,2016-01_Q2,-19.689669877950884,147.22717515914223,0,,,,,
2016-02-01,2016-02-15,2016-02_Q1,-19.689669877950884,147.22717515914223,0,,,,,
2016-02-16,2016-02-29,2016-02_Q2,-19.689669877950884,147.22717515914223,0,,,,,
2016-03-01,2016-03-15,2016-03_Q1,-19.689669877950884,147.22717515914223,0,,,,,
2016-03-16,2016-03-31,2016-03_Q2,-19.689669877950884,147.22717515914223,0,,,,,
2016-04-01,2016-04-15,2016-04_Q1,-19.689669877950884,147.22717515914223,0,,,,,
2016-04-16,2016-04-30,2016-04_Q2,-19.689669877950884,147.22717515914223,0,,,,,
2016-05-01,2016-05-15,2016-05_Q1,-19.689669877950884,147.22717515914223,0,,,,,
2016-05-16,2016-05-31,2016-05_Q2,-19.689669877950884,147.22717515914223,0,,,,,
2016-06-01,2016-06-15,2016-06_Q1,-19.689669877950884,147.22717515914223,1,0.1325,0.0677,-0.2131,0.2702,0.1087
2016-06-16,2016-06-30,2016-06_Q2,-19.689669877950884,147.22717515914223,1,0.183,0.1121,-0.1291,0.2012,0.1545
2016-07-01,2016-07-15,2016-07_Q1,-19.689669877950884,147.22717515914223,1,0.2644,0.1648,-0.0966,0.1695,0.2002
2016-07-16,2016-07-31,2016-07_Q2,-19.689669877950884,147.22717515914223,1,0.4277,0.3115,0.0386,0.0235,0.3474
2016-08-01,2016-08-15,2016-08_Q1,-19.689669877950884,147.22717515914223,0,,,,,
2016-08-16,2016-08-31,2016-08_Q2,-19.689669877950884,147.22717515914223,1,0.4263,0.272,0.032,0.0313,0.3474
2016-09-01,2016-09-15,2016-09_Q1,-19.689669877950884,147.22717515914223,0,,,,,
2016-09-16,2016-09-30,2016-09_Q2,-19.689669877950884,147.22717515914223,1,0.4786,0.3037,0.0827,0.0077,0.3942
2016-10-01,2016-10-15,2016-10_Q1,-19.689669877950884,147.22717515914223,1,0.5646,0.4578,0.186,-0.1132,0.4813
2016-10-16,2016-10-31,2016-10_Q2,-19.689669877950884,147.22717515914223,0,,,,,
2016-11-01,2016-11-15,2016-11_Q1,-19.689669877950884,147.22717515914223,0,,,,,
2016-11-16,2016-11-30,2016-11_Q2,-19.689669877950884,147.22717515914223,0,,,,,
2016-12-01,2016-12-15,2016-12_Q1,-19.689669877950884,147.22717515914223,0,,,,,
2016-12-16,2016-12-31,2016-12_Q2,-19.689669877950884,147.22717515914223,0,,,,,
2017-01-01,2017-01-15,2017-01_Q1,-19.689669877950884,147.22717515914223,0,,,,,
2017-01-16,2017-01-31,2017-01_Q2,-19.689669877950884,147.22717515914223,0,,,,,
2017-02-01,2017-02-15,2017-02_Q1,-19.689669877950884,147.22717515914223,0,,,,,
2017-02-16,2017-02-28,2017-02_Q2,-19.689669877950884,147.22717515914223,0,,,,,
2017-03-01,2017-03-15,2017-03_Q1,-19.689669877950884,147.22717515914223,0,,,,,
2017-03-16,2017-03-31,2017-03_Q2,-19.689669877950884,147.22717515914223,0,,,,,
2017-04-01,2017-04-15,2017-04_Q1,-19.689669877950884,147.22717515914223,0,,,,,
2017-04-16,2017-04-30,2017-04_Q2,-19.689669877950884,147.22717515914223,0,,,,,
2017-05-01,2017-05-15,2017-05_Q1,-19.689669877950884,147.22717515914223,0,,,,,
2017-05-16,2017-05-31,2017-05_Q2,-19.689669877950884,147.22717515914223,1,0.3633,0.2276,-0.0262,0.082,0.2293
2017-06-01,2017-06-15,2017-06_Q1,-19.689669877950884,147.22717515914223,0,,,,,
2017-06-16,2017-06-30,2017-06_Q2,-19.689669877950884,147.22717515914223,0,,,,,
2017-07-01,2017-07-15,2017-07_Q1,-19.689669877950884,147.22717515914223,0,,,,,
2017-07-16,2017-07-31,2017-07_Q2,-19.689669877950884,147.22717515914223,0,,,,,
2017-08-01,2017-08-15,2017-08_Q1,-19.689669877950884,147.22717515914223,1,0.2174,0.1189,-0.147,0.1922,0.1703
2017-08-16,2017-08-31,2017-08_Q2,-19.689669877950884,147.22717515914223,0,,,,,
2017-09-01,2017-09-15,2017-09_Q1,-19.689669877950884,147.22717515914223,1,0.2358,0.1528,-0.0635,0.1275,0.2234
2017-09-16,2017-09-30,2017-09_Q2,-19.689669877950884,147.22717515914223,3,0.3437,0.2014,-0.0374,0.1069,0.2504
2017-10-01,2017-10-15,2017-10_Q1,-19.689669877950884,147.22717515914223,0,,,,,
2017-10-16,2017-10-31,2017-10_Q2,-19.689669877950884,147.22717515914223,0,,,,,
2017-11-01,2017-11-15,2017-11_Q1,-19.689669877950884,147.22717515914223,0,,,,,
2017-11-16,2017-11-30,2017-11_Q2,-19.689669877950884,147.22717515914223,0,,,,,
2017-12-01,2017-12-15,2017-12_Q1,-19.689669877950884,147.22717515914223,0,,,,,
2017-12-16,2017-12-31,2017-12_Q2,-19.689669877950884,147.22717515914223,1,,,,,
2018-01-01,2018-01-15,2018-01_Q1,-19.689669877950884,147.22717515914223,0,,,,,
2018-01-16,2018-01-31,2018-01_Q2,-19.689669877950884,147.22717515914223,0,,,,,
2018-02-01,2018-02-15,2018-02_Q1,-19.689669877950884,147.22717515914223,0,,,,,
2018-02-16,2018-02-28,2018-02_Q2,-19.689669877950884,147.22717515914223,0,,,,,
2018-03-01,2018-03-15,2018-03_Q1,-19.689669877950884,147.22717515914223,0,,,,,
2018-03-16,2018-03-31,2018-03_Q2,-19.689669877950884,147.22717515914223,1,0.6288,0.4035,0.1584,-0.0848,0.4733
2018-04-01,2018-04-15,2018-04_Q1,-19.689669877950884,147.22717515914223,0,,,,,
2018-04-16,2018-04-30,2018-04_Q2,-19.689669877950884,147.22717515914223,1,0.5907,0.3938,0.1628,-0.0733,0.4554
2018-05-01,2018-05-15,2018-05_Q1,-19.689669877950884,147.22717515914223,0,,,,,
2018-05-16,2018-05-31,2018-05_Q2,-19.689669877950884,147.22717515914223,0,,,,,
2018-06-01,2018-06-15,2018-06_Q1,-19.689669877950884,147.22717515914223,1,0.4112,0.2432,0.022,0.0793,0.2594
2018-06-16,2018-06-30,2018-06_Q2,-19.689669877950884,147.22717515914223,0,,,,,
2018-07-01,2018-07-15,2018-07_Q1,-19.689669877950884,147.22717515914223,1,0.3647,0.1977,-0.0799,0.1508,0.2147
2018-07-16,2018-07-31,2018-07_Q2,-19.689669877950884,147.22717515914223,0,,,,,
2018-08-01,2018-08-15,2018-08_Q1,-19.689669877950884,147.22717515914223,0,,,,,
2018-08-16,2018-08-31,2018-08_Q2,-19.689669877950884,147.22717515914223,0,,,,,
2018-09-01,2018-09-15,2018-09_Q1,-19.689669877950884,147.22717515914223,0,,,,,
2018-09-16,2018-09-30,2018-09_Q2,-19.689669877950884,147.22717515914223,0,,,,,
2018-10-01,2018-10-15,2018-10_Q1,-19.689669877950884,147.22717515914223,1,0.4344,0.3086,0.1033,-0.005,0.3602
2018-10-16,2018-10-31,2018-10_Q2,-19.689669877950884,147.22717515914223,0,,,,,
2018-11-01,2018-11-15,2018-11_Q1,-19.689669877950884,147.22717515914223,0,,,,,
2018-11-16,2018-11-30,2018-11_Q2,-19.689669877950884,147.22717515914223,0,,,,,
2018-12-01,2018-12-15,2018-12_Q1,-19.689669877950884,147.22717515914223,0,,,,,
2018-12-16,2018-12-31,2018-12_Q2,-19.689669877950884,147.22717515914223,3,0.4341,0.3252,0.1807,-0.0844,0.329
2019-01-01,2019-01-15,2019-01_Q1,-19.689669877950884,147.22717515914223,3,0.6025,0.3458,0.301,-0.2139,0.4704
2019-01-16,2019-01-31,2019-01_Q2,-19.689669877950884,147.22717515914223,2,0.6732,0.6864,0.2886,-0.2272,0.509
2019-02-01,2019-02-15,2019-02_Q1,-19.689669877950884,147.22717515914223,1,0.6198,0.524,0.2885,-0.1926,0.5102
2019-02-16,2019-02-28,2019-02_Q2,-19.689669877950884,147.22717515914223,3,0.6395,0.5034,0.311,-0.234,0.499
2019-03-01,2019-03-15,2019-03_Q1,-19.689669877950884,147.22717515914223,3,0.6221,0.467,0.1247,-0.0629,0.4238
2019-03-16,2019-03-31,2019-03_Q2,-19.689669877950884,147.22717515914223,3,,,,,
2019-04-01,2019-04-15,2019-04_Q1,-19.689669877950884,147.22717515914223,3,0.6408,0.4764,0.1895,-0.1144,0.452
2019-04-16,2019-04-30,2019-04_Q2,-19.689669877950884,147.22717515914223,2,0.6548,0.2334,0.261,-0.2157,0.4917
2019-05-01,2019-05-15,2019-05_Q1,-19.689669877950884,147.22717515914223,2,0.2437,0.0896,-0.1389,0.1894,0.1474
2019-05-16,2019-05-31,2019-05_Q2,-19.689669877950884,147.22717515914223,3,0.1979,0.1472,-0.2104,0.2482,0.0983
2019-06-01,2019-06-15,2019-06_Q1,-19.689669877950884,147.22717515914223,3,0.2476,0.1638,-0.076,0.1298,0.1331
2019-06-16,2019-06-30,2019-06_Q2,-19.689669877950884,147.22717515914223,1,0.1793,0.1075,-0.2704,0.2967,0.1065
2019-07-01,2019-07-15,2019-07_Q1,-19.689669877950884,147.22717515914223,2,0.203,0.1026,-0.2325,0.2559,0.1408
2019-07-16,2019-07-31,2019-07_Q2,-19.689669877950884,147.22717515914223,3,0.2329,0.1384,-0.2388,0.2607,0.146
2019-08-01,2019-08-15,2019-08_Q1,-19.689669877950884,147.22717515914223,3,0.265,0.1668,-0.1981,0.2222,0.1691
2019-08-16,2019-08-31,2019-08_Q2,-19.689669877950884,147.22717515914223,3,0.2159,0.1359,-0.2025,0.2379,0.1553
2019-09-01,2019-09-15,2019-09_Q1,-19.689669877950884,147.22717515914223,3,0.2042,0.1474,-0.1797,0.213,0.1032
2019-09-16,2019-09-30,2019-09_Q2,-19.689669877950884,147.22717515914223,3,0.1541,0.0828,-0.1753,0.1859,0.1243
2019-10-01,2019-10-15,2019-10_Q1,-19.689669877950884,147.22717515914223,3,0.1197,0.0715,-0.1432,0.188,0.1514
2019-10-16,2019-10-31,2019-10_Q2,-19.689669877950884,147.22717515914223,4,0.1458,0.0882,-0.1916,0.2108,0.1257
2019-11-01,2019-11-15,2019-11_Q1,-19.689669877950884,147.22717515914223,3,0.2199,0.138,-0.1418,0.1836,0.1643
2019-11-16,2019-11-30,2019-11_Q2,-19.689669877950884,147.22717515914223,3,0.2393,0.1491,-0.1247,0.1648,0.1794
2019-12-01,2019-12-15,2019-12_Q1,-19.689669877950884,147.22717515914223,3,0.2923,0.2186,-0.0487,0.1002,0.2154
2019-12-16,2019-12-31,2019-12_Q2,-19.689669877950884,147.22717515914223,3,0.311,0.2003,-0.0395,0.0979,0.2189
2020-01-01,2020-01-15,2020-01_Q1,-19.689669877950884,147.22717515914223,3,0.3852,0.2799,0.0395,0.031,0.2949
2020-01-16,2020-01-31,2020-01_Q2,-19.689669877950884,147.22717515914223,2,0.3383,0.2319,0.0195,0.058,0.2869
2020-02-01,2020-02-15,2020-02_Q1,-19.689669877950884,147.22717515914223,3,0.5284,0.4047,0.1745,-0.0772,0.4282
2020-02-16,2020-02-29,2020-02_Q2,-19.689669877950884,147.22717515914223,2,0.5378,0.3402,0.2764,-0.1749,0.4443
2020-03-01,2020-03-15,2020-03_Q1,-19.689669877950884,147.22717515914223,3,0.4295,0.5672,0.2239,-0.1478,0.3555
2020-03-16,2020-03-31,2020-03_Q2,-19.689669877950884,147.22717515914223,3,0.4771,0.4317,0.1542,-0.0593,0.3949
2020-04-01,2020-04-15,2020-04_Q1,-19.689669877950884,147.22717515914223,3,0.5751,0.4412,0.2226,-0.1506,0.4388
2020-04-16,2020-04-30,2020-04_Q2,-19.689669877950884,147.22717515914223,3,0.4689,0.3718,0.1182,-0.0419,0.3398
2020-05-01,2020-05-15,2020-05_Q1,-19.689669877950884,147.22717515914223,3,0.5358,0.405,0.1507,-0.0716,0.405
2020-05-16,2020-05-31,2020-05_Q2,-19.689669877950884,147.22717515914223,1,0.2018,0.1333,-0.059,0.1343,0.2184
2020-06-01,2020-06-15,2020-06_Q1,-19.689669877950884,147.22717515914223,2,0.3491,0.2972,0.0611,0.001,0.2439
2020-06-16,2020-06-30,2020-06_Q2,-19.689669877950884,147.22717515914223,3,0.4835,0.2857,0.084,0.0096,0.3814
2020-07-01,2020-07-15,2020-07_Q1,-19.689669877950884,147.22717515914223,3,0.468,0.3419,0.0731,-0.0144,0.3256
2020-07-16,2020-07-31,2020-07_Q2,-19.689669877950884,147.22717515914223,2,0.4448,0.2634,0.0547,0.0424,0.3455
2020-08-01,2020-08-15,2020-08_Q1,-19.689669877950884,147.22717515914223,3,0.5662,0.4134,0.1459,-0.0836,0.3778
2020-08-16,2020-08-31,2020-08_Q2,-19.689669877950884,147.22717515914223,4,0.5572,0.3733,0.1271,-0.0521,0.349
2020-09-01,2020-09-15,2020-09_Q1,-19.689669877950884,147.22717515914223,3,,,,,
2020-09-16,2020-09-30,2020-09_Q2,-19.689669877950884,147.22717515914223,3,0.2929,0.1399,0.0752,-0.0221,0.1652
2020-10-01,2020-10-15,2020-10_Q1,-19.689669877950884,147.22717515914223,3,0.1131,0.0765,-0.1259,0.1743,0.1144
2020-10-16,2020-10-31,2020-10_Q2,-19.689669877950884,147.22717515914223,3,0.1122,0.0697,-0.1921,0.2263,0.0798
2020-11-01,2020-11-15,2020-11_Q1,-19.689669877950884,147.22717515914223,3,0.1867,0.1106,-0.079,0.1201,0.1533
2020-11-16,2020-11-30,2020-11_Q2,-19.689669877950884,147.22717515914223,3,0.2336,0.1511,-0.1004,0.1341,0.1524
2020-12-01,2020-12-15,2020-12_Q1,-19.689669877950884,147.22717515914223,1,0.1747,0.1321,-0.1207,0.1754,0.1106
2020-12-16,2020-12-31,2020-12_Q2,-19.689669877950884,147.22717515914223,2,0.481,0.3831,0.031,0.0155,0.3323
2021-01-01,2021-01-15,2021-01_Q1,-19.689669877950884,147.22717515914223,0,,,,,
2021-01-16,2021-01-31,2021-01_Q2,-19.689669877950884,147.22717515914223,1,0.6163,0.6603,0.2647,-0.1963,0.471
2021-02-01,2021-02-15,2021-02_Q1,-19.689669877950884,147.22717515914223,3,0.4468,0.473,0.1957,-0.12,0.3244
2021-02-16,2021-02-28,2021-02_Q2,-19.689669877950884,147.22717515914223,1,0.7558,0.5134,0.2564,-0.1971,0.5621
2021-03-01,2021-03-15,2021-03_Q1,-19.689669877950884,147.22717515914223,2,0.617,0.371,0.2628,-0.1921,0.4778
2021-03-16,2021-03-31,2021-03_Q2,-19.689669877950884,147.22717515914223,3,0.6375,0.3954,0.0362,0.001,0.3919
2021-04-01,2021-04-15,2021-04_Q1,-19.689669877950884,147.22717515914223,3,0.6791,0.4516,0.1818,-0.1232,0.4635
2021-04-16,2021-04-30,2021-04_Q2,-19.689669877950884,147.22717515914223,1,0.5864,0.3217,0.2319,-0.1738,0.4055
2021-05-01,2021-05-15,2021-05_Q1,-19.689669877950884,147.22717515914223,3,0.5663,0.4341,0.1214,-0.0642,0.3619
2021-05-16,2021-05-31,2021-05_Q2,-19.689669877950884,147.22717515914223,3,0.6798,0.418,0.1646,-0.0953,0.4493
2021-06-01,2021-06-15,2021-06_Q1,-19.689669877950884,147.22717515914223,3,0.4887,0.361,0.0567,0.0151,0.3079
2021-06-16,2021-06-30,2021-06_Q2,-19.689669877950884,147.22717515914223,3,0.6364,0.2948,0.1528,-0.0889,0.3883
2021-07-01,2021-07-15,2021-07_Q1,-19.689669877950884,147.22717515914223,3,0.4877,0.3461,0.0751,0.0005,0.3192
2021-07-16,2021-07-31,2021-07_Q2,-19.689669877950884,147.22717515914223,3,0.499,0.3009,0.0867,0.0033,0.312
2021-08-01,2021-08-15,2021-08_Q1,-19.689669877950884,147.22717515914223,2,0.5923,0.3775,0.1923,-0.1129,0.3389
2021-08-16,2021-08-31,2021-08_Q2,-19.689669877950884,147.22717515914223,1,,,,,
2021-09-01,2021-09-15,2021-09_Q1,-19.689669877950884,147.22717515914223,3,0.4727,0.3651,0.0507,0.0076,0.271
2021-09-16,2021-09-30,2021-09_Q2,-19.689669877950884,147.22717515914223,3,0.4885,0.3527,0.1303,-0.0403,0.3223
2021-10-01,2021-10-15,2021-10_Q1,-19.689669877950884,147.22717515914223,3,0.4067,0.3521,0.0812,-0.0231,0.257
2021-10-16,2021-10-31,2021-10_Q2,-19.689669877950884,147.22717515914223,3,0.2787,0.1636,-0.0678,0.106,0.1889
2021-11-01,2021-11-15,2021-11_Q1,-19.689669877950884,147.22717515914223,2,0.1229,0.0763,-0.2123,0.2347,0.0895
2021-11-16,2021-11-30,2021-11_Q2,-19.689669877950884,147.22717515914223,2,0.1581,0.0871,-0.0916,0.1257,0.1142
2021-12-01,2021-12-15,2021-12_Q1,-19.689669877950884,147.22717515914223,2,,,,,
2021-12-16,2021-12-31,2021-12_Q2,-19.689669877950884,147.22717515914223,2,0.1338,0.0999,-0.179,0.2065,0.0826
2022-01-01,2022-01-15,2022-01_Q1,-19.689669877950884,147.22717515914223,3,0.1526,0.1053,-0.1913,0.1836,0.0862
2022-01-16,2022-01-31,2022-01_Q2,-19.689669877950884,147.22717515914223,1,0.2289,0.1953,-0.1229,0.1416,0.1421
2022-02-01,2022-02-15,2022-02_Q1,-19.689669877950884,147.22717515914223,3,0.601,0.444,0.1394,-0.0576,0.3454
2022-02-16,2022-02-28,2022-02_Q2,-19.689669877950884,147.22717515914223,2,0.4023,0.3034,-0.058,0.1028,0.1914
2022-03-01,2022-03-15,2022-03_Q1,-19.689669877950884,147.22717515914223,2,0.2365,0.1519,-0.2173,0.2386,0.1407
2022-03-16,2022-03-31,2022-03_Q2,-19.689669877950884,147.22717515914223,3,0.2516,0.1288,-0.1519,0.2112,0.1659
2022-04-01,2022-04-15,2022-04_Q1,-19.689669877950884,147.22717515914223,3,0.1883,0.1308,-0.1247,0.185,0.14
2022-04-16,2022-04-30,2022-04_Q2,-19.689669877950884,147.22717515914223,2,0.1897,0.1154,-0.1792,0.2032,0.1116
2022-05-01,2022-05-15,2022-05_Q1,-19.689669877950884,147.22717515914223,2,0.2713,0.2248,-0.0727,0.1115,0.1938
2022-05-16,2022-05-31,2022-05_Q2,-19.689669877950884,147.22717515914223,3,0.6044,0.3832,0.0851,0.0009,0.3614
2022-06-01,2022-06-15,2022-06_Q1,-19.689669877950884,147.22717515914223,2,0.3929,0.1871,0.1664,-0.0701,0.2448
2022-06-16,2022-06-30,2022-06_Q2,-19.689669877950884,147.22717515914223,3,0.2262,0.1239,-0.1609,0.2181,0.1655
2022-07-01,2022-07-15,2022-07_Q1,-19.689669877950884,147.22717515914223,2,0.187,0.0968,-0.1493,0.2078,0.142
2022-07-16,2022-07-31,2022-07_Q2,-19.689669877950884,147.22717515914223,3,0.1661,0.1067,-0.1772,0.227,0.118
2022-08-01,2022-08-15,2022-08_Q1,-19.689669877950884,147.22717515914223,2,0.1905,0.1343,-0.1721,0.193,0.1154
2022-08-16,2022-08-31,2022-08_Q2,-19.689669877950884,147.22717515914223,3,0.19,0.1067,-0.1116,0.1729,0.1579
2022-09-01,2022-09-15,2022-09_Q1,-19.689669877950884,147.22717515914223,3,,,,,
2022-09-16,2022-09-30,2022-09_Q2,-19.689669877950884,147.22717515914223,3,0.2036,0.1209,-0.2054,0.1881,0.0471
2022-10-01,2022-10-15,2022-10_Q1,-19.689669877950884,147.22717515914223,3,,,,,
2022-10-16,2022-10-31,2022-10_Q2,-19.689669877950884,147.22717515914223,2,0.313,0.2354,-0.0706,0.1066,0.2177
2022-11-01,2022-11-15,2022-11_Q1,-19.689669877950884,147.22717515914223,3,0.3348,0.2627,-0.0425,0.0819,0.2517
2022-11-16,2022-11-30,2022-11_Q2,-19.689669877950884,147.22717515914223,2,0.4856,0.3538,0.1365,-0.0798,0.4126
2022-12-01,2022-12-15,2022-12_Q1,-19.689669877950884,147.22717515914223,3,0.5831,0.4226,0.1864,-0.1226,0.4553
2022-12-16,2022-12-31,2022-12_Q2,-19.689669877950884,147.22717515914223,2,0.6647,0.5508,0.3269,-0.246,0.5635
2023-01-01,2023-01-15,2023-01_Q1,-19.689669877950884,147.22717515914223,2,,,,,
2023-01-16,2023-01-31,2023-01_Q2,-19.689669877950884,147.22717515914223,1,0.6684,0.584,0.2829,-0.2043,0.5241
2023-02-01,2023-02-15,2023-02_Q1,-19.689669877950884,147.22717515914223,3,0.7202,0.5096,0.2842,-0.2094,0.5338
2023-02-16,2023-02-28,2023-02_Q2,-19.689669877950884,147.22717515914223,0,,,,,
2023-03-01,2023-03-15,2023-03_Q1,-19.689669877950884,147.22717515914223,1,,,,,
2023-03-16,2023-03-31,2023-03_Q2,-19.689669877950884,147.22717515914223,3,0.6506,0.5147,0.1857,-0.1215,0.4749
2023-04-01,2023-04-15,2023-04_Q1,-19.689669877950884,147.22717515914223,3,0.4276,0.3956,0.0989,-0.0338,0.2973
2023-04-16,2023-04-30,2023-04_Q2,-19.689669877950884,147.22717515914223,2,0.6947,0.5259,0.2636,-0.1947,0.5369
2023-05-01,2023-05-15,2023-05_Q1,-19.689669877950884,147.22717515914223,3,0.5859,0.395,0.1017,-0.04,0.4466
2023-05-16,2023-05-31,2023-05_Q2,-19.689669877950884,147.22717515914223,3,0.4503,0.2846,0.0648,0.0355,0.3675
2023-06-01,2023-06-15,2023-06_Q1,-19.689669877950884,147.22717515914223,3,0.4056,0.2713,0.0423,0.0544,0.3087
2023-06-16,2023-06-30,2023-06_Q2,-19.689669877950884,147.22717515914223,3,0.3375,0.3025,0.0282,0.0282,0.2487
2023-07-01,2023-07-15,2023-07_Q1,-19.689669877950884,147.22717515914223,3,0.4409,0.1892,0.0346,0.0406,0.2877
2023-07-16,2023-07-31,2023-07_Q2,-19.689669877950884,147.22717515914223,3,0.4611,0.3307,0.1041,-0.0425,0.3118
2023-08-01,2023-08-15,2023-08_Q1,-19.689669877950884,147.22717515914223,3,0.6128,0.3816,0.1778,-0.0941,0.427
2023-08-16,2023-08-31,2023-08_Q2,-19.689669877950884,147.22717515914223,4,0.4723,0.3391,0.1016,-0.0231,0.314
2023-09-01,2023-09-15,2023-09_Q1,-19.689669877950884,147.22717515914223,3,0.4381,0.3109,0.0413,0.0336,0.2987
2023-09-16,2023-09-30,2023-09_Q2,-19.689669877950884,147.22717515914223,3,0.1443,0.0656,-0.0854,0.1194,0.1101
2023-10-01,2023-10-15,2023-10_Q1,-19.689669877950884,147.22717515914223,3,0.1548,0.1063,-0.1514,0.1869,0.1079
2023-10-16,2023-10-31,2023-10_Q2,-19.689669877950884,147.22717515914223,3,0.2092,0.0994,-0.1031,0.153,0.1621
2023-11-01,2023-11-15,2023-11_Q1,-19.689669877950884,147.22717515914223,3,0.3307,0.2488,-0.0436,0.0777,0.2407
2023-11-16,2023-11-30,2023-11_Q2,-19.689669877950884,147.22717515914223,1,0.3646,0.3379,0.034,0.0118,0.2859
2023-12-01,2023-12-15,2023-12_Q1,-19.689669877950884,147.22717515914223,2,0.4671,0.3709,0.1085,-0.0355,0.3862
2023-12-16,2023-12-31,2023-12_Q2,-19.689669877950884,147.22717515914223,3,0.573,0.4569,0.1545,-0.0938,0.4733
2024-01-01,2024-01-15,2024-01_Q1,-19.689669877950884,147.22717515914223,3,0.4735,0.5218,0.2747,-0.1968,0.386
2024-01-16,2024-01-31,2024-01_Q2,-19.689669877950884,147.22717515914223,1,,,,,
2024-02-01,2024-02-15,2024-02_Q1,-19.689669877950884,147.22717515914223,3,,,,,
2024-02-16,2024-02-29,2024-02_Q2,-19.689669877950884,147.22717515914223,0,,,,,
2024-03-01,2024-03-15,2024-03_Q1,-19.689669877950884,147.22717515914223,3,0.5827,0.3799,0.2694,-0.1904,0.469
2024-03-16,2024-03-31,2024-03_Q2,-19.689669877950884,147.22717515914223,1,,,,,
2024-04-01,2024-04-15,2024-04_Q1,-19.689669877950884,147.22717515914223,3,0.6282,0.4302,0.1375,-0.0724,0.4797
2024-04-16,2024-04-30,2024-04_Q2,-19.689669877950884,147.22717515914223,3,0.5951,0.4055,0.1456,-0.0757,0.4457
2024-05-01,2024-05-15,2024-05_Q1,-19.689669877950884,147.22717515914223,3,0.5518,0.2183,-0.0323,0.0665,0.3593
2024-05-16,2024-05-31,2024-05_Q2,-19.689669877950884,147.22717515914223,3,0.5542,0.3755,0.0895,-0.0142,0.4526
2024-06-01,2024-06-15,2024-06_Q1,-19.689669877950884,147.22717515914223,2,0.5617,0.3734,0.0854,-0.0171,0.4366
