period_start,period_end,label,precip_mm,temp_c,pet_mm,water_balance,spei_1m,spei_3m,spei_6m,spei_12m
2016-01-01,2016-01-15,2016-01_Q1,71.48,16.38,61.26,10.22,,,,
2016-01-16,2016-01-31,2016-01_Q2,0.0,16.63,61.94,-61.94,-0.475,,,
2016-02-01,2016-02-15,2016-02_Q1,0.0,16.87,62.61,-62.61,-1.766,,,
2016-02-16,2016-02-29,2016-02_Q2,55.76,17.24,63.69,-7.93,-0.31,,,
2016-03-01,2016-03-15,2016-03_Q1,15.8,17.21,63.6,-47.8,-1.182,,,
2016-03-16,2016-03-31,2016-03_Q2,60.25,17.77,65.34,-5.09,-1.123,-1.105,,
2016-04-01,2016-04-15,2016-04_Q1,68.09,16.75,62.27,5.82,-0.777,-2.257,,
2016-04-16,2016-04-30,2016-04_Q2,71.67,16.78,62.35,9.32,-0.444,-1.091,,
2016-05-01,2016-05-15,2016-05_Q1,108.99,16.33,61.13,47.86,0.023,-1.147,,
2016-05-16,2016-05-31,2016-05_Q2,92.73,16.74,62.24,30.49,0.534,-0.684,,
2016-06-01,2016-06-15,2016-06_Q1,32.91,15.94,60.12,-27.21,0.591,-0.393,,
2016-06-16,2016-06-30,2016-06_Q2,34.14,16.08,60.48,-26.34,-2.156,-0.721,-1.843,
2016-07-01,2016-07-15,2016-07_Q1,23.04,16.01,60.3,-37.26,-1.055,0.055,-1.722,
2016-07-16,2016-07-31,2016-07_Q2,33.82,15.62,59.34,-25.52,-1.007,-0.608,-1.4,
2016-08-01,2016-08-15,2016-08_Q1,27.73,16.38,61.26,-33.53,-1.28,-0.636,-1.35,
2016-08-16,2016-08-31,2016-08_Q2,28.18,16.36,61.21,-33.03,-1.879,-2.149,-1.61,
2016-09-01,2016-09-15,2016-09_Q1,41.68,15.92,60.07,-18.39,-1.337,-1.651,-1.425,
2016-09-16,2016-09-30,2016-09_Q2,28.93,15.96,60.17,-31.24,-1.274,-1.738,-1.709,
2016-10-01,2016-10-15,2016-10_Q1,74.77,16.0,60.27,14.5,-1.681,-2.13,-1.555,
2016-10-16,2016-10-31,2016-10_Q2,96.2,16.02,60.33,35.87,0.003,-0.877,-1.25,
2016-11-01,2016-11-15,2016-11_Q1,161.88,15.82,59.82,102.06,1.24,-0.526,-0.926,
2016-11-16,2016-11-30,2016-11_Q2,18.09,15.63,59.36,-41.27,-0.257,-0.68,-1.994,
2016-12-01,2016-12-15,2016-12_Q1,51.27,15.46,58.95,-7.68,-0.303,-0.633,-1.331,
2016-12-16,2016-12-31,2016-12_Q2,9.27,15.2,58.35,-49.08,-0.508,-1.097,-1.604,-2.447
2017-01-01,2017-01-15,2017-01_Q1,36.07,15.16,58.26,-22.19,-0.953,-0.077,-1.332,-1.88
2017-01-16,2017-01-31,2017-01_Q2,0.0,14.97,57.83,-57.83,-1.161,-1.296,-1.727,-1.856
2017-02-01,2017-02-15,2017-02_Q1,16.24,15.98,60.22,-43.98,-1.137,-1.772,-1.735,-1.699
2017-02-16,2017-02-28,2017-02_Q2,15.09,15.41,58.84,-43.75,-0.757,-1.85,-1.874,-1.873
2017-03-01,2017-03-15,2017-03_Q1,93.53,15.48,59.0,34.53,-0.181,-1.222,-1.524,-1.511
2017-03-16,2017-03-31,2017-03_Q2,70.93,15.51,59.07,11.86,0.927,-0.323,-0.817,-1.396
2017-04-01,2017-04-15,2017-04_Q1,68.66,16.25,60.92,7.74,-0.338,-0.835,-0.822,-2.162
2017-04-16,2017-04-30,2017-04_Q2,127.42,16.11,60.55,66.87,0.93,0.71,-0.338,-1.284
2017-05-01,2017-05-15,2017-05_Q1,101.61,15.89,60.0,41.61,1.201,0.354,-0.579,-1.142
2017-05-16,2017-05-31,2017-05_Q2,33.9,16.33,61.13,-27.23,-0.982,0.57,-0.387,-1.849
2017-06-01,2017-06-15,2017-06_Q1,55.38,16.07,60.45,-5.07,-0.577,0.161,-0.82,-1.505
2017-06-16,2017-06-30,2017-06_Q2,40.78,15.98,60.22,-19.44,-0.232,-0.341,-0.38,-1.388
2017-07-01,2017-07-15,2017-07_Q1,35.71,16.07,60.45,-24.74,0.154,0.648,-0.499,-1.42
2017-07-16,2017-07-31,2017-07_Q2,43.4,16.15,60.66,-17.26,0.292,-0.885,-0.028,-1.263
2017-08-01,2017-08-15,2017-08_Q1,26.47,16.12,60.58,-34.11,-0.653,-0.861,-0.011,-1.411
2017-08-16,2017-08-31,2017-08_Q2,45.21,15.95,60.15,-14.94,-0.464,-0.533,0.373,-1.037
2017-09-01,2017-09-15,2017-09_Q1,63.97,16.19,60.76,3.21,0.049,-0.251,-0.098,-1.048
2017-09-16,2017-09-30,2017-09_Q2,40.71,16.28,61.0,-20.29,-0.128,-0.271,-0.553,-0.893
2017-10-01,2017-10-15,2017-10_Q1,60.6,15.83,59.85,0.75,-1.776,-1.181,-0.636,-0.995
2017-10-16,2017-10-31,2017-10_Q2,117.8,16.13,60.61,57.19,0.139,-0.002,-0.747,-0.725
2017-11-01,2017-11-15,2017-11_Q1,83.28,15.76,59.68,23.6,0.17,-0.926,-1.342,-1.848
2017-11-16,2017-11-30,2017-11_Q2,87.85,15.68,59.48,28.37,-0.447,-0.148,-0.552,-0.575
2017-12-01,2017-12-15,2017-12_Q1,98.43,15.67,59.46,38.97,1.336,0.432,0.107,-0.524
2017-12-16,2017-12-31,2017-12_Q2,0.0,15.2,58.35,-58.35,0.322,-0.226,-0.325,-0.615
2018-01-01,2018-01-15,2018-01_Q1,79.47,15.09,58.1,21.37,-0.112,1.121,0.109,-0.176
2018-01-16,2018-01-31,2018-01_Q2,0.0,15.42,58.86,-58.86,-0.125,-0.387,-0.277,-0.184
2018-02-01,2018-02-15,2018-02_Q1,10.0,15.82,59.82,-49.82,-1.326,0.456,-0.34,-0.347
