period_start,period_end,label,precip_total_mm,precip_rainy_days,precip_max_daily_mm
2016-01-01,2016-01-15,2016-01_Q1,100.51,6.0,35.32
2016-01-16,2016-01-31,2016-01_Q2,0.0,0.0,0.0
2016-02-01,2016-02-15,2016-02_Q1,12.6,2.0,8.4
2016-02-16,2016-02-29,2016-02_Q2,35.34,3.0,22.34
2016-03-01,2016-03-15,2016-03_Q1,92.45,9.0,13.53
2016-03-16,2016-03-31,2016-03_Q2,75.79,5.0,39.15
2016-04-01,2016-04-15,2016-04_Q1,92.46,6.0,34.86
2016-04-16,2016-04-30,2016-04_Q2,84.28,10.0,13.14
2016-05-01,2016-05-15,2016-05_Q1,110.08,7.0,20.86
2016-05-16,2016-05-31,2016-05_Q2,103.62,5.0,52.05
2016-06-01,2016-06-15,2016-06_Q1,25.52,2.0,13.04
2016-06-16,2016-06-30,2016-06_Q2,30.96,3.0,10.8
2016-07-01,2016-07-15,2016-07_Q1,5.17,1.0,5.17
2016-07-16,2016-07-31,2016-07_Q2,27.79,2.0,17.24
2016-08-01,2016-08-15,2016-08_Q1,0.0,0.0,0.0
2016-08-16,2016-08-31,2016-08_Q2,25.07,2.0,15.04
2016-09-01,2016-09-15,2016-09_Q1,72.21,4.0,31.17
2016-09-16,2016-09-30,2016-09_Q2,72.75,8.0,9.9
2016-10-01,2016-10-15,2016-10_Q1,105.4,5.0,36.32
2016-10-16,2016-10-31,2016-10_Q2,114.37,6.0,47.78
2016-11-01,2016-11-15,2016-11_Q1,126.57,7.0,31.89
2016-11-16,2016-11-30,2016-11_Q2,16.15,3.0,8.08
2016-12-01,2016-12-15,2016-12_Q1,50.73,5.0,16.42
2016-12-16,2016-12-31,2016-12_Q2,88.85,6.0,28.12
2017-01-01,2017-01-15,2017-01_Q1,63.46,8.0,12.33
2017-01-16,2017-01-31,2017-01_Q2,37.12,5.0,15.97
2017-02-01,2017-02-15,2017-02_Q1,31.38,4.0,10.26
2017-02-16,2017-02-28,2017-02_Q2,20.8,1.0,20.8
2017-03-01,2017-03-15,2017-03_Q1,134.58,9.0,29.66
2017-03-16,2017-03-31,2017-03_Q2,116.8,10.0,19.48
2017-04-01,2017-04-15,2017-04_Q1,93.87,6.0,37.66
2017-04-16,2017-04-30,2017-04_Q2,137.84,8.0,35.11
2017-05-01,2017-05-15,2017-05_Q1,152.7,8.0,31.34
2017-05-16,2017-05-31,2017-05_Q2,47.4,4.0,22.63
2017-06-01,2017-06-15,2017-06_Q1,57.78,4.0,21.4
2017-06-16,2017-06-30,2017-06_Q2,47.48,5.0,17.31
2017-07-01,2017-07-15,2017-07_Q1,0.0,0.0,0.0
2017-07-16,2017-07-31,2017-07_Q2,25.69,2.0,13.51
2017-08-01,2017-08-15,2017-08_Q1,19.65,3.0,9.26
2017-08-16,2017-08-31,2017-08_Q2,18.68,3.0,10.44
2017-09-01,2017-09-15,2017-09_Q1,52.08,4.0,32.49
2017-09-16,2017-09-30,2017-09_Q2,59.24,5.0,14.8
2017-10-01,2017-10-15,2017-10_Q1,66.3,6.0,17.9
2017-10-16,2017-10-31,2017-10_Q2,78.63,7.0,27.46
2017-11-01,2017-11-15,2017-11_Q1,126.51,4.0,57.16
2017-11-16,2017-11-30,2017-11_Q2,41.73,2.0,31.66
2017-12-01,2017-12-15,2017-12_Q1,20.17,1.0,20.17
2017-12-16,2017-12-31,2017-12_Q2,79.56,3.0,40.64
2018-01-01,2018-01-15,2018-01_Q1,98.23,4.0,36.14
2018-01-16,2018-01-31,2018-01_Q2,23.01,5.0,6.46
2018-02-01,2018-02-15,2018-02_Q1,49.96,2.0,34.32
2018-02-16,2018-02-28,2018-02_Q2,64.8,2.0,43.2
2018-03-01,2018-03-15,2018-03_Q1,16.12,2.0,11.76
2018-03-16,2018-03-31,2018-03_Q2,142.99,9.0,24.46
2018-04-01,2018-04-15,2018-04_Q1,123.61,7.0,27.29
2018-04-16,2018-04-30,2018-04_Q2,52.37,8.0,12.32
2018-05-01,2018-05-15,2018-05_Q1,115.11,8.0,29.84
2018-05-16,2018-05-31,2018-05_Q2,64.48,7.0,14.92
2018-06-01,2018-06-15,2018-06_Q1,44.07,5.0,17.51
2018-06-16,2018-06-30,2018-06_Q2,20.66,1.0,20.66
2018-07-01,2018-07-15,2018-07_Q1,6.72,1.0,6.72
2018-07-16,2018-07-31,2018-07_Q2,49.46,2.0,36.48
2018-08-01,2018-08-15,2018-08_Q1,18.88,3.0,14.53
2018-08-16,2018-08-31,2018-08_Q2,11.44,4.0,5.15
2018-09-01,2018-09-15,2018-09_Q1,48.8,3.0,19.05
2018-09-16,2018-09-30,2018-09_Q2,24.99,2.0,20.23
2018-10-01,2018-10-15,2018-10_Q1,110.83,5.0,33.65
2018-10-16,2018-10-31,2018-10_Q2,34.93,3.0,17.47
2018-11-01,2018-11-15,2018-11_Q1,79.16,7.0,17.48
2018-11-16,2018-11-30,2018-11_Q2,113.47,6.0,30.31
2018-12-01,2018-12-15,2018-12_Q1,46.62,2.0,27.54
2018-12-16,2018-12-31,2018-12_Q2,16.93,5.0,6.79
2019-01-01,2019-01-15,2019-01_Q1,55.67,4.0,18.97
2019-01-16,2019-01-31,2019-01_Q2,7.7,1.0,7.7
2019-02-01,2019-02-15,2019-02_Q1,43.36,2.0,34.81
