period_start,period_end,label,precip_mm,temp_c,pet_mm,water_balance,spei_1m,spei_3m,spei_6m,spei_12m
2016-01-01,2016-01-15,2016-01_Q1,48.3,20.87,41.38,6.92,,,,
2016-01-16,2016-01-31,2016-01_Q2,0.0,21.43,41.38,-41.38,-1.139,,,
2016-02-01,2016-02-15,2016-02_Q1,57.82,21.38,38.73,19.09,-1.053,,,
2016-02-16,2016-02-29,2016-02_Q2,82.78,21.44,38.73,44.05,0.008,,,
2016-03-01,2016-03-15,2016-03_Q1,82.16,20.9,42.13,40.03,-0.666,,,
2016-03-16,2016-03-31,2016-03_Q2,88.6,21.39,42.13,46.47,-0.434,-0.977,,
2016-04-01,2016-04-15,2016-04_Q1,138.14,20.66,39.31,98.83,-0.201,-0.796,,
2016-04-16,2016-04-30,2016-04_Q2,123.48,20.73,39.31,84.17,0.71,-0.2,,
2016-05-01,2016-05-15,2016-05_Q1,144.78,20.67,41.39,103.39,0.641,0.171,,
2016-05-16,2016-05-31,2016-05_Q2,96.6,20.9,41.39,55.21,0.383,0.049,,
2016-06-01,2016-06-15,2016-06_Q1,57.07,20.04,38.23,18.84,-0.926,-0.169,,
2016-06-16,2016-06-30,2016-06_Q2,78.59,20.58,38.23,40.36,-0.447,0.007,-0.505,
2016-07-01,2016-07-15,2016-07_Q1,75.3,20.24,38.52,36.78,0.769,0.157,-0.135,
2016-07-16,2016-07-31,2016-07_Q2,55.94,19.96,38.52,17.42,0.755,0.078,0.052,
2016-08-01,2016-08-15,2016-08_Q1,40.85,20.48,39.51,1.34,-0.151,-0.565,-0.159,
2016-08-16,2016-08-31,2016-08_Q2,64.14,20.32,39.51,24.63,-0.271,-0.423,-0.04,
2016-09-01,2016-09-15,2016-09_Q1,113.04,19.67,35.89,77.15,0.809,0.784,0.275,
2016-09-16,2016-09-30,2016-09_Q2,65.02,20.18,35.89,29.13,1.08,0.561,0.378,
2016-10-01,2016-10-15,2016-10_Q1,139.91,20.02,36.8,103.11,0.352,0.531,0.449,
2016-10-16,2016-10-31,2016-10_Q2,141.28,19.89,36.8,104.48,0.698,0.677,0.492,
2016-11-01,2016-11-15,2016-11_Q1,160.14,20.26,36.2,123.94,0.996,1.039,0.653,
2016-11-16,2016-11-30,2016-11_Q2,113.76,20.12,36.2,77.56,0.998,1.015,0.756,
2016-12-01,2016-12-15,2016-12_Q1,147.05,19.87,36.24,110.81,1.441,1.186,1.295,
2016-12-16,2016-12-31,2016-12_Q2,107.46,20.02,36.24,71.22,1.672,1.596,1.487,0.499
2017-01-01,2017-01-15,2017-01_Q1,73.97,19.95,35.86,38.11,0.665,1.68,1.214,0.549
2017-01-16,2017-01-31,2017-01_Q2,86.03,19.71,35.86,50.17,0.909,1.784,1.35,0.735
2017-02-01,2017-02-15,2017-02_Q1,22.85,20.42,32.64,-9.79,0.365,1.12,1.282,0.634
2017-02-16,2017-02-28,2017-02_Q2,70.64,19.23,32.64,38.0,-0.743,0.838,1.47,0.626
2017-03-01,2017-03-15,2017-03_Q1,152.72,19.61,35.89,116.83,0.45,0.574,1.203,0.9
2017-03-16,2017-03-31,2017-03_Q2,182.97,19.74,35.89,147.08,1.5,0.959,1.512,1.404
2017-04-01,2017-04-15,2017-04_Q1,86.44,20.48,38.41,48.03,0.934,0.758,1.467,1.285
2017-04-16,2017-04-30,2017-04_Q2,148.67,20.48,38.41,110.26,-0.044,0.733,1.439,1.45
2017-05-01,2017-05-15,2017-05_Q1,254.6,19.87,39.27,215.33,1.838,1.599,1.535,1.668
2017-05-16,2017-05-31,2017-05_Q2,103.67,20.73,39.27,64.4,1.832,1.805,1.588,1.703
2017-06-01,2017-06-15,2017-06_Q1,80.44,20.43,38.27,42.17,-0.194,1.862,1.365,1.771
2017-06-16,2017-06-30,2017-06_Q2,100.32,20.21,38.27,62.05,0.533,1.721,1.507,1.719
2017-07-01,2017-07-15,2017-07_Q1,32.1,20.46,40.38,-8.28,0.297,1.639,1.537,1.643
2017-07-16,2017-07-31,2017-07_Q2,26.51,20.6,40.38,-13.87,-0.908,1.731,1.221,1.574
2017-08-01,2017-08-15,2017-08_Q1,52.52,20.43,39.03,13.49,-0.602,-0.665,1.335,1.56
2017-08-16,2017-08-31,2017-08_Q2,170.12,20.15,39.03,131.09,1.512,0.986,1.781,1.706
2017-09-01,2017-09-15,2017-09_Q1,78.6,20.24,37.8,40.8,1.672,1.329,1.852,1.666
2017-09-16,2017-09-30,2017-09_Q2,128.88,20.55,37.8,91.08,1.479,1.527,1.832,1.628
2017-10-01,2017-10-15,2017-10_Q1,119.2,20.12,38.02,81.18,0.997,1.376,1.771,1.572
2017-10-16,2017-10-31,2017-10_Q2,141.14,20.38,38.02,103.12,0.263,1.547,1.698,1.52
2017-11-01,2017-11-15,2017-11_Q1,123.13,20.16,36.02,87.11,0.39,1.459,1.076,1.411
2017-11-16,2017-11-30,2017-11_Q2,86.92,20.13,36.02,50.9,-0.281,0.57,0.917,1.382
2017-12-01,2017-12-15,2017-12_Q1,50.66,20.31,37.52,13.14,-0.526,0.391,0.847,1.287
2017-12-16,2017-12-31,2017-12_Q2,88.42,20.21,37.52,50.9,0.269,0.021,0.865,1.384
2018-01-01,2018-01-15,2018-01_Q1,109.26,19.25,35.26,74.0,0.872,0.287,0.936,1.378
2018-01-16,2018-01-31,2018-01_Q2,60.92,20.11,35.26,25.66,1.083,0.398,1.114,1.221
2018-02-01,2018-02-15,2018-02_Q1,56.12,20.32,32.73,23.39,0.532,0.151,1.149,1.316
2018-02-16,2018-02-28,2018-02_Q2,64.97,19.38,32.73,32.24,-0.135,0.221,0.402,1.402
2018-03-01,2018-03-15,2018-03_Q1,0.0,20.64,38.96,-38.96,-1.529,-0.398,-0.265,0.839
2018-03-16,2018-03-31,2018-03_Q2,135.29,20.19,38.96,96.33,-0.797,-0.423,-0.34,0.541
2018-04-01,2018-04-15,2018-04_Q1,120.55,19.37,35.43,85.12,0.599,-0.683,-0.415,0.786
2018-04-16,2018-04-30,2018-04_Q2,88.43,20.13,35.43,53.0,-0.608,-0.885,-0.452,0.552
2018-05-01,2018-05-15,2018-05_Q1,117.99,19.85,37.91,80.08,-0.117,-0.72,-0.272,0.164
2018-05-16,2018-05-31,2018-05_Q2,128.28,20.11,37.91,90.37,0.571,-0.431,-0.045,0.249
2018-06-01,2018-06-15,2018-06_Q1,96.61,20.57,38.16,58.45,0.837,0.324,0.005,0.362
2018-06-16,2018-06-30,2018-06_Q2,44.15,20.02,38.16,5.99,-0.343,-0.254,-0.085,0.283
2018-07-01,2018-07-15,2018-07_Q1,35.79,20.38,39.49,-3.7,-0.738,-0.32,-0.433,0.378
2018-07-16,2018-07-31,2018-07_Q2,87.44,20.27,39.49,47.95,0.569,0.178,-0.424,0.586
2018-08-01,2018-08-15,2018-08_Q1,79.19,20.34,39.74,39.45,1.141,0.433,-0.383,0.725
2018-08-16,2018-08-31,2018-08_Q2,21.51,20.57,39.74,-18.23,-0.368,-0.525,-0.427,0.19
2018-09-01,2018-09-15,2018-09_Q1,91.58,20.36,38.21,53.37,-0.291,-0.457,0.144,0.131
2018-09-16,2018-09-30,2018-09_Q2,62.12,20.63,38.21,23.91,0.529,-0.067,-0.204,-0.046
2018-10-01,2018-10-15,2018-10_Q1,89.16,20.26,37.98,51.18,-0.665,-0.083,-0.387,-0.138
