crop,period_start,period_end,label,mean_C,std_C,var_C,temp_status,temp_detail,temp_score
sugarcane,2016-01-01,2016-01-15,2016-01_Q1,23.04,2.36,5.59,VIABLE,optimal temperature range,1.0
sugarcane,2016-01-16,2016-01-31,2016-01_Q2,24.43,2.65,7.04,VIABLE,optimal temperature range,1.0
sugarcane,2016-02-01,2016-02-15,2016-02_Q1,23.56,1.55,2.41,VIABLE,optimal temperature range,1.0
sugarcane,2016-02-16,2016-02-29,2016-02_Q2,24.72,1.05,1.1,VIABLE,optimal temperature range,1.0
sugarcane,2016-03-01,2016-03-15,2016-03_Q1,23.45,0.47,0.22,VIABLE,optimal temperature range,1.0
sugarcane,2016-03-16,2016-03-31,2016-03_Q2,22.15,1.63,2.66,VIABLE,optimal temperature range,1.0
sugarcane,2016-04-01,2016-04-15,2016-04_Q1,21.82,1.44,2.07,VIABLE,optimal temperature range,1.0
sugarcane,2016-04-16,2016-04-30,2016-04_Q2,19.88,0.74,0.55,VIABLE_WITH_RESERVE,cool for crop,0.976
sugarcane,2016-05-01,2016-05-15,2016-05_Q1,19.23,1.77,3.12,VIABLE_WITH_RESERVE,cool for crop,0.846
sugarcane,2016-05-16,2016-05-31,2016-05_Q2,16.91,2.09,4.39,VIABLE_WITH_RESERVE,cool for crop,0.382
sugarcane,2016-06-01,2016-06-15,2016-06_Q1,15.49,1.13,1.28,VIABLE_WITH_RESERVE,cool for crop,0.098
sugarcane,2016-06-16,2016-06-30,2016-06_Q2,13.67,2.32,5.4,NOT_RECOMMENDED,too cold for crop,0.0
sugarcane,2016-07-01,2016-07-15,2016-07_Q1,13.0,1.62,2.63,NOT_RECOMMENDED,too cold for crop,0.0
sugarcane,2016-07-16,2016-07-31,2016-07_Q2,14.82,2.28,5.19,NOT_RECOMMENDED,too cold for crop,0.0
sugarcane,2016-08-01,2016-08-15,2016-08_Q1,14.11,1.04,1.08,NOT_RECOMMENDED,too cold for crop,0.0
sugarcane,2016-08-16,2016-08-31,2016-08_Q2,14.69,1.63,2.66,NOT_RECOMMENDED,too cold for crop,0.0
sugarcane,2016-09-01,2016-09-15,2016-09_Q1,17.43,1.77,3.14,VIABLE_WITH_RESERVE,cool for crop,0.486
sugarcane,2016-09-16,2016-09-30,2016-09_Q2,17.33,0.78,0.6,VIABLE_WITH_RESERVE,cool for crop,0.466
sugarcane,2016-10-01,2016-10-15,2016-10_Q1,18.4,2.13,4.56,VIABLE_WITH_RESERVE,cool for crop,0.68
sugarcane,2016-10-16,2016-10-31,2016-10_Q2,20.17,2.01,4.03,VIABLE,optimal temperature range,1.0
sugarcane,2016-11-01,2016-11-15,2016-11_Q1,22.81,2.19,4.81,VIABLE,optimal temperature range,1.0
sugarcane,2016-11-16,2016-11-30,2016-11_Q2,22.41,1.15,1.31,VIABLE,optimal temperature range,1.0
sugarcane,2016-12-01,2016-12-15,2016-12_Q1,24.9,2.34,5.46,VIABLE,optimal temperature range,1.0
sugarcane,2016-12-16,2016-12-31,2016-12_Q2,25.29,2.66,7.08,VIABLE,optimal temperature range,1.0
sugarcane,2017-01-01,2017-01-15,2017-01_Q1,25.47,2.94,8.64,VIABLE,optimal temperature range,1.0
sugarcane,2017-01-16,2017-01-31,2017-01_Q2,26.3,2.07,4.28,VIABLE,optimal temperature range,1.0
sugarcane,2017-02-01,2017-02-15,2017-02_Q1,27.52,2.6,6.77,VIABLE,optimal temperature range,1.0
sugarcane,2017-02-16,2017-02-28,2017-02_Q2,23.98,2.24,5.02,VIABLE,optimal temperature range,1.0
sugarcane,2017-03-01,2017-03-15,2017-03_Q1,22.09,0.97,0.93,VIABLE,optimal temperature range,1.0
sugarcane,2017-03-16,2017-03-31,2017-03_Q2,23.02,1.22,1.5,VIABLE,optimal temperature range,1.0
sugarcane,2017-04-01,2017-04-15,2017-04_Q1,18.91,0.79,0.63,VIABLE_WITH_RESERVE,cool for crop,0.782
sugarcane,2017-04-16,2017-04-30,2017-04_Q2,18.31,1.13,1.28,VIABLE_WITH_RESERVE,cool for crop,0.662
sugarcane,2017-05-01,2017-05-15,2017-05_Q1,16.98,1.02,1.05,VIABLE_WITH_RESERVE,cool for crop,0.396
sugarcane,2017-05-16,2017-05-31,2017-05_Q2,16.15,1.56,2.44,VIABLE_WITH_RESERVE,cool for crop,0.23
sugarcane,2017-06-01,2017-06-15,2017-06_Q1,14.46,1.29,1.67,NOT_RECOMMENDED,too cold for crop,0.0
sugarcane,2017-06-16,2017-06-30,2017-06_Q2,14.75,1.25,1.57,NOT_RECOMMENDED,too cold for crop,0.0
sugarcane,2017-07-01,2017-07-15,2017-07_Q1,12.6,1.17,1.36,NOT_RECOMMENDED,too cold for crop,0.0
sugarcane,2017-07-16,2017-07-31,2017-07_Q2,13.06,1.65,2.72,NOT_RECOMMENDED,too cold for crop,0.0
sugarcane,2017-08-01,2017-08-15,2017-08_Q1,14.04,1.73,2.98,NOT_RECOMMENDED,too cold for crop,0.0
sugarcane,2017-08-16,2017-08-31,2017-08_Q2,14.96,2.01,4.03,NOT_RECOMMENDED,too cold for crop,0.0
sugarcane,2017-09-01,2017-09-15,2017-09_Q1,16.53,2.45,6.02,VIABLE_WITH_RESERVE,cool for crop,0.306
sugarcane,2017-09-16,2017-09-30,2017-09_Q2,21.37,3.28,10.76,VIABLE,optimal temperature range,1.0
sugarcane,2017-10-01,2017-10-15,2017-10_Q1,20.16,2.28,5.22,VIABLE,optimal temperature range,1.0
sugarcane,2017-10-16,2017-10-31,2017-10_Q2,20.31,2.91,8.46,VIABLE,optimal temperature range,1.0
sugarcane,2017-11-01,2017-11-15,2017-11_Q1,19.44,1.49,2.22,VIABLE_WITH_RESERVE,cool for crop,0.888
sugarcane,2017-11-16,2017-11-30,2017-11_Q2,20.73,1.37,1.86,VIABLE,optimal temperature range,1.0
