crop,period_start,period_end,label,AWC_mm,spei_1m,spei_3m,spei_6m,spei_12m,P_acum_mm,Storage_mm,WRSI_1m,deficit_1m,future_deficit_1m,future_deficit_1m_mm,future_deficit_3m,future_deficit_3m_mm,future_deficit_6m,future_deficit_6m_mm,past_deficit_3m,past_deficit_6m,suggestion
sugarcane,2016-12-16,2016-12-31,2016-12_Q2,140.29,1.492,0.91,0.961,-0.351,149.65,26.22,1.0,0.0,22.2984,34.52,27.9964,127.87,13.0701,127.87,3.8687,34.1467,MEDIUM
sugarcane,2017-01-01,2017-01-15,2017-01_Q1,140.29,0.719,0.436,0.789,-0.143,159.76,15.23,1.0,0.0,62.2264,91.73,27.4441,127.87,20.142,200.2,0.0,31.4169,NOT_SUITABLE
sugarcane,2017-01-16,2017-01-31,2017-01_Q2,140.29,0.514,0.708,0.824,-0.08,94.05,0.0,0.777,22.3,66.5617,93.36,19.6505,93.36,24.3729,245.95,0.0,25.05,NOT_SUITABLE
sugarcane,2017-02-01,2017-02-15,2017-02_Q1,140.29,-1.097,-0.232,0.843,-0.086,40.45,0.0,0.3777,62.23,23.9402,36.15,7.3338,36.15,25.3461,260.34,7.183,21.6639,MEDIUM
sugarcane,2017-02-16,2017-02-28,2017-02_Q2,140.29,-1.275,-0.43,0.312,-0.196,46.9,0.0,0.3344,66.56,0.0,0.0,0.0,0.0,28.4118,296.83,19.6384,19.2639,MEDIUM
sugarcane,2017-03-01,2017-03-15,2017-03_Q1,140.29,0.415,0.087,0.588,0.163,190.58,75.74,0.7606,23.94,0.0,0.0,0.0,0.0,31.938,335.1,28.1592,17.2108,HIGH
sugarcane,2017-03-16,2017-03-31,2017-03_Q2,140.29,1.754,0.508,0.896,0.676,319.03,140.29,1.0,0.0,0.0,0.0,0.0,0.0,34.3729,361.97,28.3283,15.4737,HIGH
sugarcane,2017-04-01,2017-04-15,2017-04_Q1,140.29,0.972,0.336,0.457,0.668,254.27,140.29,1.0,0.0,0.0,0.0,13.6982,72.33,35.3563,371.64,27.9964,13.4725,HIGH
sugarcane,2017-04-16,2017-04-30,2017-04_Q2,140.29,1.052,0.896,1.476,1.137,231.7,140.29,1.0,0.0,0.0,0.0,28.5742,152.59,35.4331,371.64,27.4441,13.4282,HIGH
sugarcane,2017-05-01,2017-05-15,2017-05_Q1,140.29,1.748,1.747,1.487,1.301,298.89,140.29,1.0,0.0,0.0,0.0,41.9634,224.2,35.7835,371.64,19.6505,13.3814,HIGH
sugarcane,2017-05-16,2017-05-31,2017-05_Q2,140.29,0.908,1.673,1.501,0.979,201.4,94.81,1.0,0.0,0.0,0.0,55.5721,296.83,36.1535,371.64,7.3338,13.3207,NOT_SUITABLE
sugarcane,2017-06-01,2017-06-15,2017-06_Q1,140.29,0.038,1.522,1.403,1.366,123.97,89.9,1.0,0.0,40.3405,72.33,62.8748,335.1,37.7121,385.38,0.0,13.255,NOT_SUITABLE
sugarcane,2017-06-16,2017-06-30,2017-06_Q2,140.29,0.522,1.335,1.153,1.398,92.26,14.36,1.0,0.0,82.2414,152.59,68.1099,361.97,37.9456,385.38,0.0,13.2148,NOT_SUITABLE
sugarcane,2017-07-01,2017-07-15,2017-07_Q1,140.29,-0.868,1.24,0.96,1.336,17.06,0.0,0.5966,40.34,84.0826,151.87,57.2158,299.32,31.2719,313.06,0.0,13.0701,NOT_SUITABLE
sugarcane,2017-07-16,2017-07-31,2017-07_Q2,140.29,-0.768,0.435,0.886,1.388,18.59,0.0,0.1776,82.24,82.0056,144.24,42.5479,219.05,27.2489,268.88,13.6982,20.142,NOT_SUITABLE
sugarcane,2017-08-01,2017-08-15,2017-08_Q1,140.29,-0.144,-0.409,1.126,1.503,28.75,0.0,0.1592,84.08,64.0861,110.9,29.2366,147.45,21.4486,208.31,28.5742,24.3729,NOT_SUITABLE
sugarcane,2017-08-16,2017-08-31,2017-08_Q2,140.29,-0.205,0.095,1.498,1.47,31.65,0.0,0.1799,82.01,38.312,65.14,15.1492,74.81,14.583,139.35,41.9634,25.3461,HIGH
sugarcane,2017-09-01,2017-09-15,2017-09_Q1,140.29,0.369,-0.551,1.065,1.274,62.15,0.0,0.3591,64.09,21.5645,36.54,10.2842,50.28,17.6283,168.49,55.5721,28.4118,MEDIUM
