period_start,period_end,label,mean_C,std_C,var_C
2016-01-01,2016-01-15,2016-01_Q1,28.03,1.3,1.69
2016-01-16,2016-01-31,2016-01_Q2,28.35,1.06,1.12
2016-02-01,2016-02-15,2016-02_Q1,28.11,1.01,1.02
2016-02-16,2016-02-29,2016-02_Q2,29.07,1.3,1.68
2016-03-01,2016-03-15,2016-03_Q1,26.32,1.23,1.52
2016-03-16,2016-03-31,2016-03_Q2,26.06,0.84,0.71
2016-04-01,2016-04-15,2016-04_Q1,25.46,0.61,0.37
2016-04-16,2016-04-30,2016-04_Q2,24.5,0.42,0.18
2016-05-01,2016-05-15,2016-05_Q1,24.42,1.32,1.75
2016-05-16,2016-05-31,2016-05_Q2,24.05,0.79,0.63
2016-06-01,2016-06-15,2016-06_Q1,21.62,1.74,3.03
2016-06-16,2016-06-30,2016-06_Q2,20.25,2.2,4.83
2016-07-01,2016-07-15,2016-07_Q1,18.78,2.14,4.58
2016-07-16,2016-07-31,2016-07_Q2,20.35,1.57,2.47
2016-08-01,2016-08-15,2016-08_Q1,19.19,1.31,1.71
2016-08-16,2016-08-31,2016-08_Q2,20.3,1.61,2.6
2016-09-01,2016-09-15,2016-09_Q1,22.45,0.8,0.64
2016-09-16,2016-09-30,2016-09_Q2,24.98,0.9,0.8
2016-10-01,2016-10-15,2016-10_Q1,24.12,1.07,1.14
2016-10-16,2016-10-31,2016-10_Q2,24.97,0.86,0.74
2016-11-01,2016-11-15,2016-11_Q1,27.24,1.28,1.65
2016-11-16,2016-11-30,2016-11_Q2,26.22,1.21,1.45
2016-12-01,2016-12-15,2016-12_Q1,27.29,1.19,1.42
2016-12-16,2016-12-31,2016-12_Q2,27.45,0.34,0.12
2017-01-01,2017-01-15,2017-01_Q1,27.35,0.9,0.82
2017-01-16,2017-01-31,2017-01_Q2,27.58,0.88,0.77
2017-02-01,2017-02-15,2017-02_Q1,28.15,1.53,2.34
2017-02-16,2017-02-28,2017-02_Q2,27.19,0.39,0.15
2017-03-01,2017-03-15,2017-03_Q1,27.07,1.23,1.51
2017-03-16,2017-03-31,2017-03_Q2,27.0,1.11,1.22
2017-04-01,2017-04-15,2017-04_Q1,24.59,0.45,0.21
2017-04-16,2017-04-30,2017-04_Q2,23.17,1.22,1.49
2017-05-01,2017-05-15,2017-05_Q1,22.68,0.94,0.88
2017-05-16,2017-05-31,2017-05_Q2,21.35,0.96,0.93
2017-06-01,2017-06-15,2017-06_Q1,18.31,1.26,1.59
2017-06-16,2017-06-30,2017-06_Q2,20.3,0.66,0.43
2017-07-01,2017-07-15,2017-07_Q1,21.07,0.59,0.34
2017-07-16,2017-07-31,2017-07_Q2,19.64,0.72,0.52
2017-08-01,2017-08-15,2017-08_Q1,20.79,0.9,0.81
2017-08-16,2017-08-31,2017-08_Q2,21.32,0.92,0.84
2017-09-01,2017-09-15,2017-09_Q1,22.33,0.79,0.63
2017-09-16,2017-09-30,2017-09_Q2,23.55,1.08,1.17
2017-10-01,2017-10-15,2017-10_Q1,25.22,0.41,0.17
2017-10-16,2017-10-31,2017-10_Q2,24.23,1.64,2.69
2017-11-01,2017-11-15,2017-11_Q1,25.0,0.94,0.89
2017-11-16,2017-11-30,2017-11_Q2,25.35,0.9,0.81
2017-12-01,2017-12-15,2017-12_Q1,27.1,0.56,0.31
2017-12-16,2017-12-31,2017-12_Q2,27.78,0.83,0.69
2018-01-01,2018-01-15,2018-01_Q1,28.41,1.51,2.29
2018-01-16,2018-01-31,2018-01_Q2,26.48,0.74,0.55
2018-02-01,2018-02-15,2018-02_Q1,27.17,1.76,3.09
2018-02-16,2018-02-28,2018-02_Q2,26.53,1.82,3.3
2018-03-01,2018-03-15,2018-03_Q1,25.81,0.7,0.5
2018-03-16,2018-03-31,2018-03_Q2,25.77,1.05,1.1
2018-04-01,2018-04-15,2018-04_Q1,24.69,0.74,0.55
2018-04-16,2018-04-30,2018-04_Q2,23.66,0.58,0.33
2018-05-01,2018-05-15,2018-05_Q1,22.35,1.49,2.21
2018-05-16,2018-05-31,2018-05_Q2,21.05,0.79,0.62
2018-06-01,2018-06-15,2018-06_Q1,19.41,1.56,2.43
2018-06-16,2018-06-30,2018-06_Q2,19.52,1.81,3.28
2018-07-01,2018-07-15,2018-07_Q1,19.28,1.52,2.31
2018-07-16,2018-07-31,2018-07_Q2,20.2,0.73,0.53
2018-08-01,2018-08-15,2018-08_Q1,20.15,1.3,1.7
2018-08-16,2018-08-31,2018-08_Q2,20.71,1.34,1.8
2018-09-01,2018-09-15,2018-09_Q1,22.68,0.96,0.91
2018-09-16,2018-09-30,2018-09_Q2,22.69,0.6,0.36
2018-10-01,2018-10-15,2018-10_Q1,24.0,1.05,1.11
2018-10-16,2018-10-31,2018-10_Q2,25.91,0.91,0.83
2018-11-01,2018-11-15,2018-11_Q1,25.97,0.63,0.4
2018-11-16,2018-11-30,2018-11_Q2,29.03,2.5,6.27
2018-12-01,2018-12-15,2018-12_Q1,26.83,2.34,5.47
2018-12-16,2018-12-31,2018-12_Q2,26.92,1.33,1.77
2019-01-01,2019-01-15,2019-01_Q1,26.12,0.57,0.32
2019-01-16,2019-01-31,2019-01_Q2,25.87,0.61,0.37
2019-02-01,2019-02-15,2019-02_Q1,26.6,1.92,3.68
2019-02-16,2019-02-28,2019-02_Q2,27.21,1.7,2.91
2019-03-01,2019-03-15,2019-03_Q1,26.06,0.82,0.67
2019-03-16,2019-03-31,2019-03_Q2,26.18,0.51,0.26
2019-04-01,2019-04-15,2019-04_Q1,24.07,0.58,0.34
2019-04-16,2019-04-30,2019-04_Q2,24.09,0.55,0.3
2019-05-01,2019-05-15,2019-05_Q1,22.39,1.36,1.84
2019-05-16,2019-05-31,2019-05_Q2,21.96,0.82,0.67
2019-06-01,2019-06-15,2019-06_Q1,19.52,1.67,2.8
2019-06-16,2019-06-30,2019-06_Q2,18.77,1.81,3.28
2019-07-01,2019-07-15,2019-07_Q1,19.13,1.6,2.56
2019-07-16,2019-07-31,2019-07_Q2,18.24,1.65,2.73
2019-08-01,2019-08-15,2019-08_Q1,19.55,1.42,2.01
2019-08-16,2019-08-31,2019-08_Q2,20.14,0.91,0.84
2019-09-01,2019-09-15,2019-09_Q1,21.02,0.97,0.93
2019-09-16,2019-09-30,2019-09_Q2,22.61,0.92,0.85
2019-10-01,2019-10-15,2019-10_Q1,24.16,1.29,1.67
2019-10-16,2019-10-31,2019-10_Q2,24.95,0.87,0.76
2019-11-01,2019-11-15,2019-11_Q1,25.78,1.03,1.06
2019-11-16,2019-11-30,2019-11_Q2,26.72,0.48,0.23
2019-12-01,2019-12-15,2019-12_Q1,28.59,0.88,0.77
2019-12-16,2019-12-31,2019-12_Q2,27.48,1.18,1.39
2020-01-01,2020-01-15,2020-01_Q1,27.66,0.61,0.37
2020-01-16,2020-01-31,2020-01_Q2,27.93,1.76,3.11
2020-02-01,2020-02-15,2020-02_Q1,28.83,1.57,2.46
2020-02-16,2020-02-29,2020-02_Q2,27.74,1.2,1.45
2020-03-01,2020-03-15,2020-03_Q1,26.39,1.08,1.18
2020-03-16,2020-03-31,2020-03_Q2,25.15,0.44,0.19
2020-04-01,2020-04-15,2020-04_Q1,25.42,0.7,0.49
2020-04-16,2020-04-30,2020-04_Q2,24.94,0.84,0.7
2020-05-01,2020-05-15,2020-05_Q1,22.31,0.73,0.53
2020-05-16,2020-05-31,2020-05_Q2,19.22,2.94,8.63
2020-06-01,2020-06-15,2020-06_Q1,20.34,1.52,2.32
2020-06-16,2020-06-30,2020-06_Q2,19.53,1.52,2.32
2020-07-01,2020-07-15,2020-07_Q1,18.88,1.73,3.0
2020-07-16,2020-07-31,2020-07_Q2,18.0,1.3,1.69
2020-08-01,2020-08-15,2020-08_Q1,20.11,1.48,2.2
2020-08-16,2020-08-31,2020-08_Q2,20.23,0.85,0.73
2020-09-01,2020-09-15,2020-09_Q1,21.35,0.42,0.18
2020-09-16,2020-09-30,2020-09_Q2,23.76,0.67,0.45
2020-10-01,2020-10-15,2020-10_Q1,23.68,0.61,0.37
2020-10-16,2020-10-31,2020-10_Q2,25.91,1.13,1.28
2020-11-01,2020-11-15,2020-11_Q1,26.42,1.16,1.34
2020-11-16,2020-11-30,2020-11_Q2,26.62,0.48,0.23
2020-12-01,2020-12-15,2020-12_Q1,27.73,0.95,0.89
2020-12-16,2020-12-31,2020-12_Q2,27.27,1.96,3.83
2021-01-01,2021-01-15,2021-01_Q1,25.43,0.54,0.29
2021-01-16,2021-01-31,2021-01_Q2,26.02,0.66,0.44
2021-02-01,2021-02-15,2021-02_Q1,26.93,0.88,0.77
2021-02-16,2021-02-28,2021-02_Q2,25.56,1.49,2.22
2021-03-01,2021-03-15,2021-03_Q1,26.14,0.65,0.42
2021-03-16,2021-03-31,2021-03_Q2,26.39,1.03,1.06
2021-04-01,2021-04-15,2021-04_Q1,24.71,0.99,0.98
2021-04-16,2021-04-30,2021-04_Q2,22.76,1.21,1.48
2021-05-01,2021-05-15,2021-05_Q1,22.35,1.35,1.83
2021-05-16,2021-05-31,2021-05_Q2,20.47,0.88,0.77
2021-06-01,2021-06-15,2021-06_Q1,20.07,1.93,3.72
2021-06-16,2021-06-30,2021-06_Q2,20.04,1.91,3.66
2021-07-01,2021-07-15,2021-07_Q1,20.36,1.26,1.59
2021-07-16,2021-07-31,2021-07_Q2,20.6,1.47,2.16
2021-08-01,2021-08-15,2021-08_Q1,20.42,1.29,1.66
2021-08-16,2021-08-31,2021-08_Q2,21.47,0.96,0.93
2021-09-01,2021-09-15,2021-09_Q1,21.13,1.14,1.31
2021-09-16,2021-09-30,2021-09_Q2,21.77,1.35,1.82
2021-10-01,2021-10-15,2021-10_Q1,25.79,1.03,1.07
2021-10-16,2021-10-31,2021-10_Q2,27.31,0.46,0.21
2021-11-01,2021-11-15,2021-11_Q1,26.67,1.02,1.05
2021-11-16,2021-11-30,2021-11_Q2,26.01,0.66,0.44
2021-12-01,2021-12-15,2021-12_Q1,27.62,0.5,0.25
2021-12-16,2021-12-31,2021-12_Q2,26.99,1.53,2.33
2022-01-01,2022-01-15,2022-01_Q1,28.78,1.39,1.94
2022-01-16,2022-01-31,2022-01_Q2,27.16,1.31,1.72
2022-02-01,2022-02-15,2022-02_Q1,26.61,0.94,0.89
2022-02-16,2022-02-28,2022-02_Q2,27.53,1.35,1.82
2022-03-01,2022-03-15,2022-03_Q1,29.4,1.88,3.53
2022-03-16,2022-03-31,2022-03_Q2,26.62,0.76,0.57
2022-04-01,2022-04-15,2022-04_Q1,26.52,0.92,0.84
2022-04-16,2022-04-30,2022-04_Q2,23.92,0.85,0.72
2022-05-01,2022-05-15,2022-05_Q1,23.45,0.76,0.58
2022-05-16,2022-05-31,2022-05_Q2,21.99,1.39,1.94
2022-06-01,2022-06-15,2022-06_Q1,18.87,3.07,9.45
2022-06-16,2022-06-30,2022-06_Q2,19.82,0.94,0.89
2022-07-01,2022-07-15,2022-07_Q1,15.68,2.03,4.14
2022-07-16,2022-07-31,2022-07_Q2,18.22,0.83,0.68
2022-08-01,2022-08-15,2022-08_Q1,20.1,1.41,1.99
2022-08-16,2022-08-31,2022-08_Q2,19.85,1.43,2.04
2022-09-01,2022-09-15,2022-09_Q1,21.65,1.3,1.68
2022-09-16,2022-09-30,2022-09_Q2,24.81,1.19,1.43
