periodo_inicio,periodo_fin,label,media_C,std_C,var_C
2016-01-01,2016-01-15,2016-01_Q1,20.95,0.6,0.35
2016-01-16,2016-01-31,2016-01_Q2,20.51,0.85,0.73
2016-02-01,2016-02-15,2016-02_Q1,21.21,0.78,0.62
2016-02-16,2016-02-29,2016-02_Q2,21.63,0.42,0.17
2016-03-01,2016-03-15,2016-03_Q1,20.94,0.55,0.3
2016-03-16,2016-03-31,2016-03_Q2,21.54,0.43,0.18
2016-04-01,2016-04-15,2016-04_Q1,21.32,0.79,0.62
2016-04-16,2016-04-30,2016-04_Q2,21.29,0.58,0.34
2016-05-01,2016-05-15,2016-05_Q1,21.22,0.66,0.43
2016-05-16,2016-05-31,2016-05_Q2,21.39,0.68,0.47
2016-06-01,2016-06-15,2016-06_Q1,20.63,0.45,0.2
2016-06-16,2016-06-30,2016-06_Q2,20.9,0.67,0.45
2016-07-01,2016-07-15,2016-07_Q1,20.5,0.82,0.67
2016-07-16,2016-07-31,2016-07_Q2,20.22,0.67,0.45
2016-08-01,2016-08-15,2016-08_Q1,20.57,0.6,0.36
2016-08-16,2016-08-31,2016-08_Q2,20.14,0.63,0.4
2016-09-01,2016-09-15,2016-09_Q1,19.9,0.56,0.31
2016-09-16,2016-09-30,2016-09_Q2,20.21,0.53,0.28
2016-10-01,2016-10-15,2016-10_Q1,20.24,0.47,0.22
2016-10-16,2016-10-31,2016-10_Q2,19.9,0.45,0.21
2016-11-01,2016-11-15,2016-11_Q1,20.34,0.62,0.39
2016-11-16,2016-11-30,2016-11_Q2,20.24,0.46,0.21
2016-12-01,2016-12-15,2016-12_Q1,19.88,0.41,0.17
2016-12-16,2016-12-31,2016-12_Q2,19.96,0.54,0.29
2017-01-01,2017-01-15,2017-01_Q1,20.16,0.61,0.37
2017-01-16,2017-01-31,2017-01_Q2,20.06,0.59,0.35
2017-02-01,2017-02-15,2017-02_Q1,20.47,0.56,0.32
2017-02-16,2017-02-28,2017-02_Q2,19.91,0.38,0.15
2017-03-01,2017-03-15,2017-03_Q1,20.24,0.47,0.23
2017-03-16,2017-03-31,2017-03_Q2,20.41,0.52,0.27
2017-04-01,2017-04-15,2017-04_Q1,20.92,0.69,0.48
2017-04-16,2017-04-30,2017-04_Q2,20.91,0.58,0.34
2017-05-01,2017-05-15,2017-05_Q1,20.37,0.6,0.36
2017-05-16,2017-05-31,2017-05_Q2,20.91,0.49,0.24
2017-06-01,2017-06-15,2017-06_Q1,20.8,0.68,0.46
2017-06-16,2017-06-30,2017-06_Q2,20.33,0.41,0.17
2017-07-01,2017-07-15,2017-07_Q1,20.77,0.8,0.64
2017-07-16,2017-07-31,2017-07_Q2,20.74,0.71,0.5
2017-08-01,2017-08-15,2017-08_Q1,20.45,0.55,0.31
2017-08-16,2017-08-31,2017-08_Q2,20.32,0.46,0.21
2017-09-01,2017-09-15,2017-09_Q1,20.5,0.55,0.3
2017-09-16,2017-09-30,2017-09_Q2,20.5,0.51,0.26
2017-10-01,2017-10-15,2017-10_Q1,20.22,0.58,0.33
2017-10-16,2017-10-31,2017-10_Q2,20.55,0.88,0.78
2017-11-01,2017-11-15,2017-11_Q1,20.24,0.46,0.21
2017-11-16,2017-11-30,2017-11_Q2,20.08,0.6,0.36
2017-12-01,2017-12-15,2017-12_Q1,20.21,0.58,0.33
2017-12-16,2017-12-31,2017-12_Q2,20.05,0.58,0.34
2018-01-01,2018-01-15,2018-01_Q1,19.57,0.36,0.13
2018-01-16,2018-01-31,2018-01_Q2,20.11,0.66,0.43
2018-02-01,2018-02-15,2018-02_Q1,20.47,0.52,0.27
2018-02-16,2018-02-28,2018-02_Q2,19.91,0.5,0.25
2018-03-01,2018-03-15,2018-03_Q1,20.46,0.45,0.2
2018-03-16,2018-03-31,2018-03_Q2,20.48,0.47,0.22
2018-04-01,2018-04-15,2018-04_Q1,19.89,0.52,0.27
2018-04-16,2018-04-30,2018-04_Q2,20.8,0.5,0.25
2018-05-01,2018-05-15,2018-05_Q1,20.38,0.61,0.38
2018-05-16,2018-05-31,2018-05_Q2,20.61,0.46,0.21
2018-06-01,2018-06-15,2018-06_Q1,21.17,0.45,0.2
2018-06-16,2018-06-30,2018-06_Q2,20.28,0.79,0.63
2018-07-01,2018-07-15,2018-07_Q1,20.83,0.72,0.52
2018-07-16,2018-07-31,2018-07_Q2,20.44,0.49,0.24
2018-08-01,2018-08-15,2018-08_Q1,20.6,0.68,0.47
2018-08-16,2018-08-31,2018-08_Q2,20.87,0.29,0.09
2018-09-01,2018-09-15,2018-09_Q1,20.21,0.52,0.27
2018-09-16,2018-09-30,2018-09_Q2,20.51,0.52,0.27
2018-10-01,2018-10-15,2018-10_Q1,20.34,0.49,0.24
2018-10-16,2018-10-31,2018-10_Q2,20.22,0.39,0.15
2018-11-01,2018-11-15,2018-11_Q1,20.21,0.46,0.21
2018-11-16,2018-11-30,2018-11_Q2,20.51,0.55,0.3
2018-12-01,2018-12-15,2018-12_Q1,20.23,0.46,0.21
2018-12-16,2018-12-31,2018-12_Q2,20.58,0.42,0.18
2019-01-01,2019-01-15,2019-01_Q1,20.21,0.67,0.45
2019-01-16,2019-01-31,2019-01_Q2,20.94,0.38,0.14
2019-02-01,2019-02-15,2019-02_Q1,20.9,0.43,0.18
2019-02-16,2019-02-28,2019-02_Q2,20.85,0.52,0.27
2019-03-01,2019-03-15,2019-03_Q1,21.06,0.58,0.34
2019-03-16,2019-03-31,2019-03_Q2,21.32,0.46,0.21
2019-04-01,2019-04-15,2019-04_Q1,20.92,0.38,0.15
2019-04-16,2019-04-30,2019-04_Q2,21.32,0.7,0.5
2019-05-01,2019-05-15,2019-05_Q1,21.29,0.71,0.5
2019-05-16,2019-05-31,2019-05_Q2,20.57,0.49,0.24
2019-06-01,2019-06-15,2019-06_Q1,20.94,0.62,0.39
2019-06-16,2019-06-30,2019-06_Q2,21.65,0.54,0.29
2019-07-01,2019-07-15,2019-07_Q1,20.64,0.8,0.63
2019-07-16,2019-07-31,2019-07_Q2,20.99,0.68,0.46
2019-08-01,2019-08-15,2019-08_Q1,21.35,0.52,0.27
2019-08-16,2019-08-31,2019-08_Q2,20.84,0.51,0.26
2019-09-01,2019-09-15,2019-09_Q1,21.04,0.33,0.11
2019-09-16,2019-09-30,2019-09_Q2,20.4,0.53,0.28
2019-10-01,2019-10-15,2019-10_Q1,20.32,0.32,0.11
2019-10-16,2019-10-31,2019-10_Q2,20.06,0.58,0.34
2019-11-01,2019-11-15,2019-11_Q1,20.42,0.46,0.21
2019-11-16,2019-11-30,2019-11_Q2,20.66,0.49,0.24
2019-12-01,2019-12-15,2019-12_Q1,20.05,0.4,0.16
2019-12-16,2019-12-31,2019-12_Q2,20.73,0.52,0.27
2020-01-01,2020-01-15,2020-01_Q1,20.83,0.47,0.22
2020-01-16,2020-01-31,2020-01_Q2,20.83,0.75,0.56
2020-02-01,2020-02-15,2020-02_Q1,21.22,0.73,0.53
2020-02-16,2020-02-29,2020-02_Q2,21.24,0.87,0.76
2020-03-01,2020-03-15,2020-03_Q1,21.54,0.48,0.23
2020-03-16,2020-03-31,2020-03_Q2,20.94,0.43,0.18
2020-04-01,2020-04-15,2020-04_Q1,21.33,0.64,0.41
2020-04-16,2020-04-30,2020-04_Q2,20.79,0.42,0.17
