period_start,period_end,label,precip_total_mm,precip_rainy_days,precip_max_daily_mm
2016-01-01,2016-01-15,2016-01_Q1,10.71,1,10.71
2016-01-16,2016-01-31,2016-01_Q2,59.85,4,14.96
2016-02-01,2016-02-15,2016-02_Q1,7.17,2,3.82
2016-02-16,2016-02-29,2016-02_Q2,19.73,2,12.35
2016-03-01,2016-03-15,2016-03_Q1,13.03,2,8.05
2016-03-16,2016-03-31,2016-03_Q2,43.4,4,22.59
2016-04-01,2016-04-15,2016-04_Q1,64.73,3,42.12
2016-04-16,2016-04-30,2016-04_Q2,38.99,2,25.99
2016-05-01,2016-05-15,2016-05_Q1,0.0,0,0.0
2016-05-16,2016-05-31,2016-05_Q2,89.15,2,75.07
2016-06-01,2016-06-15,2016-06_Q1,72.29,7,18.87
2016-06-16,2016-06-30,2016-06_Q2,41.09,4,15.78
2016-07-01,2016-07-15,2016-07_Q1,122.94,1,122.94
2016-07-16,2016-07-31,2016-07_Q2,0.0,0,0.0
2016-08-01,2016-08-15,2016-08_Q1,86.09,6,49.57
2016-08-16,2016-08-31,2016-08_Q2,65.35,7,25.79
2016-09-01,2016-09-15,2016-09_Q1,0.0,0,0.0
2016-09-16,2016-09-30,2016-09_Q2,114.62,2,68.98
2016-10-01,2016-10-15,2016-10_Q1,34.74,4,10.33
2016-10-16,2016-10-31,2016-10_Q2,29.18,3,11.96
2016-11-01,2016-11-15,2016-11_Q1,23.06,3,9.5
2016-11-16,2016-11-30,2016-11_Q2,7.18,1,7.18
2016-12-01,2016-12-15,2016-12_Q1,23.4,3,9.67
2016-12-16,2016-12-31,2016-12_Q2,13.74,2,6.94
2017-01-01,2017-01-15,2017-01_Q1,0.0,0,0.0
2017-01-16,2017-01-31,2017-01_Q2,15.86,3,6.13
2017-02-01,2017-02-15,2017-02_Q1,49.2,1,49.2
2017-02-16,2017-02-28,2017-02_Q2,0.0,0,0.0
2017-03-01,2017-03-15,2017-03_Q1,66.64,1,66.64
2017-03-16,2017-03-31,2017-03_Q2,0.0,0,0.0
2017-04-01,2017-04-15,2017-04_Q1,7.39,1,7.39
2017-04-16,2017-04-30,2017-04_Q2,25.83,3,11.54
2017-05-01,2017-05-15,2017-05_Q1,0.0,0,0.0
2017-05-16,2017-05-31,2017-05_Q2,58.33,2,30.79
2017-06-01,2017-06-15,2017-06_Q1,31.57,3,13.53
2017-06-16,2017-06-30,2017-06_Q2,30.4,1,30.4
2017-07-01,2017-07-15,2017-07_Q1,33.79,4,15.09
2017-07-16,2017-07-31,2017-07_Q2,115.48,9,28.22
2017-08-01,2017-08-15,2017-08_Q1,176.09,1,176.09
2017-08-16,2017-08-31,2017-08_Q2,0.0,0,0.0
2017-09-01,2017-09-15,2017-09_Q1,30.1,1,30.1
2017-09-16,2017-09-30,2017-09_Q2,165.2,3,95.97
2017-10-01,2017-10-15,2017-10_Q1,20.67,2,11.14
2017-10-16,2017-10-31,2017-10_Q2,56.81,6,14.41
2017-11-01,2017-11-15,2017-11_Q1,9.61,1,9.61
2017-11-16,2017-11-30,2017-11_Q2,20.59,2,13.62
2017-12-01,2017-12-15,2017-12_Q1,41.35,1,41.35
2017-12-16,2017-12-31,2017-12_Q2,0.0,0,0.0
2018-01-01,2018-01-15,2018-01_Q1,18.63,3,8.8
2018-01-16,2018-01-31,2018-01_Q2,4.66,1,4.66
2018-02-01,2018-02-15,2018-02_Q1,4.4,1,4.4
2018-02-16,2018-02-28,2018-02_Q2,11.03,2,6.73
2018-03-01,2018-03-15,2018-03_Q1,18.01,1,18.01
2018-03-16,2018-03-31,2018-03_Q2,10.77,1,10.77
2018-04-01,2018-04-15,2018-04_Q1,0.0,0,0.0
2018-04-16,2018-04-30,2018-04_Q2,41.9,4,18.35
2018-05-01,2018-05-15,2018-05_Q1,17.59,1,17.59
2018-05-16,2018-05-31,2018-05_Q2,39.12,2,23.52
2018-06-01,2018-06-15,2018-06_Q1,30.23,2,15.11
2018-06-16,2018-06-30,2018-06_Q2,63.47,3,22.61
2018-07-01,2018-07-15,2018-07_Q1,61.09,6,13.6
2018-07-16,2018-07-31,2018-07_Q2,49.19,5,12.12
2018-08-01,2018-08-15,2018-08_Q1,95.22,1,95.22
2018-08-16,2018-08-31,2018-08_Q2,63.83,3,45.18
2018-09-01,2018-09-15,2018-09_Q1,36.27,5,9.83
2018-09-16,2018-09-30,2018-09_Q2,32.07,3,16.3
2018-10-01,2018-10-15,2018-10_Q1,60.1,2,36.42
2018-10-16,2018-10-31,2018-10_Q2,0.0,0,0.0
2018-11-01,2018-11-15,2018-11_Q1,43.67,1,43.67
2018-11-16,2018-11-30,2018-11_Q2,0.0,0,0.0
2018-12-01,2018-12-15,2018-12_Q1,20.41,3,11.62
2018-12-16,2018-12-31,2018-12_Q2,3.41,1,3.41
2019-01-01,2019-01-15,2019-01_Q1,5.12,1,5.12
2019-01-16,2019-01-31,2019-01_Q2,14.22,2,8.05
2019-02-01,2019-02-15,2019-02_Q1,9.94,1,9.94
2019-02-16,2019-02-28,2019-02_Q2,0.0,0,0.0
2019-03-01,2019-03-15,2019-03_Q1,26.96,3,10.48
2019-03-16,2019-03-31,2019-03_Q2,37.92,3,19.31
2019-04-01,2019-04-15,2019-04_Q1,32.12,2,21.41
2019-04-16,2019-04-30,2019-04_Q2,48.1,3,35.93
2019-05-01,2019-05-15,2019-05_Q1,26.36,4,9.7
2019-05-16,2019-05-31,2019-05_Q2,18.2,2,10.35
2019-06-01,2019-06-15,2019-06_Q1,86.8,8,46.51
2019-06-16,2019-06-30,2019-06_Q2,31.77,2,17.49
2019-07-01,2019-07-15,2019-07_Q1,121.79,1,121.79
2019-07-16,2019-07-31,2019-07_Q2,0.0,0,0.0
2019-08-01,2019-08-15,2019-08_Q1,62.62,7,15.16
2019-08-16,2019-08-31,2019-08_Q2,73.64,6,18.13
2019-09-01,2019-09-15,2019-09_Q1,25.29,3,11.15
2019-09-16,2019-09-30,2019-09_Q2,23.33,3,10.0
2019-10-01,2019-10-15,2019-10_Q1,32.1,1,32.1
2019-10-16,2019-10-31,2019-10_Q2,29.69,2,19.8
2019-11-01,2019-11-15,2019-11_Q1,12.38,2,7.62
2019-11-16,2019-11-30,2019-11_Q2,28.91,1,28.91
2019-12-01,2019-12-15,2019-12_Q1,7.91,1,7.91
2019-12-16,2019-12-31,2019-12_Q2,8.97,2,6.21
2020-01-01,2020-01-15,2020-01_Q1,14.14,2,7.52
2020-01-16,2020-01-31,2020-01_Q2,13.01,2,7.11
2020-02-01,2020-02-15,2020-02_Q1,0.0,0,0.0
2020-02-16,2020-02-29,2020-02_Q2,25.7,3,14.39
2020-03-01,2020-03-15,2020-03_Q1,41.69,2,29.75
2020-03-16,2020-03-31,2020-03_Q2,16.49,1,16.49
2020-04-01,2020-04-15,2020-04_Q1,0.0,0,0.0
2020-04-16,2020-04-30,2020-04_Q2,37.99,2,23.85
2020-05-01,2020-05-15,2020-05_Q1,57.47,2,38.01
2020-05-16,2020-05-31,2020-05_Q2,66.49,2,32.85
2020-06-01,2020-06-15,2020-06_Q1,36.75,7,11.14
2020-06-16,2020-06-30,2020-06_Q2,40.33,2,27.65
2020-07-01,2020-07-15,2020-07_Q1,0.0,0,0.0
2020-07-16,2020-07-31,2020-07_Q2,91.06,6,35.11
2020-08-01,2020-08-15,2020-08_Q1,209.73,3,148.86
2020-08-16,2020-08-31,2020-08_Q2,20.63,1,20.63
2020-09-01,2020-09-15,2020-09_Q1,98.81,3,47.99
2020-09-16,2020-09-30,2020-09_Q2,42.31,4,21.46
2020-10-01,2020-10-15,2020-10_Q1,14.67,1,14.67
2020-10-16,2020-10-31,2020-10_Q2,20.87,2,10.26
2020-11-01,2020-11-15,2020-11_Q1,31.07,4,11.9
2020-11-16,2020-11-30,2020-11_Q2,49.88,5,24.41
2020-12-01,2020-12-15,2020-12_Q1,0.0,0,0.0
2020-12-16,2020-12-31,2020-12_Q2,27.53,1,27.53
2021-01-01,2021-01-15,2021-01_Q1,5.56,2,2.78
2021-01-16,2021-01-31,2021-01_Q2,23.17,1,23.17
2021-02-01,2021-02-15,2021-02_Q1,20.02,2,12.64
2021-02-16,2021-02-28,2021-02_Q2,20.2,3,7.71
2021-03-01,2021-03-15,2021-03_Q1,38.64,3,21.6
2021-03-16,2021-03-31,2021-03_Q2,3.25,1,3.25
2021-04-01,2021-04-15,2021-04_Q1,0.0,0,0.0
2021-04-16,2021-04-30,2021-04_Q2,107.63,3,59.56
2021-05-01,2021-05-15,2021-05_Q1,50.12,1,50.12
2021-05-16,2021-05-31,2021-05_Q2,128.76,3,57.09
2021-06-01,2021-06-15,2021-06_Q1,68.19,6,21.51
2021-06-16,2021-06-30,2021-06_Q2,79.63,7,23.07
2021-07-01,2021-07-15,2021-07_Q1,129.55,3,98.04
2021-07-16,2021-07-31,2021-07_Q2,38.24,1,38.24
2021-08-01,2021-08-15,2021-08_Q1,40.88,4,11.73
2021-08-16,2021-08-31,2021-08_Q2,62.47,6,13.44
2021-09-01,2021-09-15,2021-09_Q1,62.51,5,18.39
2021-09-16,2021-09-30,2021-09_Q2,39.23,5,9.45
2021-10-01,2021-10-15,2021-10_Q1,0.0,0,0.0
2021-10-16,2021-10-31,2021-10_Q2,97.99,2,51.47
2021-11-01,2021-11-15,2021-11_Q1,0.0,0,0.0
2021-11-16,2021-11-30,2021-11_Q2,38.95,1,38.95
2021-12-01,2021-12-15,2021-12_Q1,4.96,1,4.96
2021-12-16,2021-12-31,2021-12_Q2,10.35,2,5.6
2022-01-01,2022-01-15,2022-01_Q1,0.0,0,0.0
2022-01-16,2022-01-31,2022-01_Q2,16.66,3,6.26
2022-02-01,2022-02-15,2022-02_Q1,15.32,3,5.47
2022-02-16,2022-02-28,2022-02_Q2,0.0,0,0.0
2022-03-01,2022-03-15,2022-03_Q1,22.43,2,11.21
2022-03-16,2022-03-31,2022-03_Q2,26.37,1,26.37
2022-04-01,2022-04-15,2022-04_Q1,53.05,5,15.54
2022-04-16,2022-04-30,2022-04_Q2,40.05,5,12.21
2022-05-01,2022-05-15,2022-05_Q1,30.79,3,15.45
2022-05-16,2022-05-31,2022-05_Q2,40.69,5,12.91
2022-06-01,2022-06-15,2022-06_Q1,42.45,3,14.15
2022-06-16,2022-06-30,2022-06_Q2,60.95,4,25.88
2022-07-01,2022-07-15,2022-07_Q1,43.55,4,14.0
2022-07-16,2022-07-31,2022-07_Q2,49.81,6,15.11
2022-08-01,2022-08-15,2022-08_Q1,89.83,8,23.43
2022-08-16,2022-08-31,2022-08_Q2,48.26,5,16.02
2022-09-01,2022-09-15,2022-09_Q1,73.13,3,36.56
2022-09-16,2022-09-30,2022-09_Q2,11.64,3,6.67
2022-10-01,2022-10-15,2022-10_Q1,0.0,0,0.0
2022-10-16,2022-10-31,2022-10_Q2,134.74,1,134.74
2022-11-01,2022-11-15,2022-11_Q1,28.86,3,12.2
2022-11-16,2022-11-30,2022-11_Q2,29.5,4,10.58
2022-12-01,2022-12-15,2022-12_Q1,12.64,1,12.64
2022-12-16,2022-12-31,2022-12_Q2,0.0,0,0.0
2023-01-01,2023-01-15,2023-01_Q1,0.0,0,0.0
2023-01-16,2023-01-31,2023-01_Q2,17.22,1,17.22
2023-02-01,2023-02-15,2023-02_Q1,0.0,0,0.0
2023-02-16,2023-02-28,2023-02_Q2,13.32,2,9.47
2023-03-01,2023-03-15,2023-03_Q1,21.51,1,21.51
2023-03-16,2023-03-31,2023-03_Q2,21.98,2,11.07
2023-04-01,2023-04-15,2023-04_Q1,40.64,5,13.43
2023-04-16,2023-04-30,2023-04_Q2,67.5,6,29.14
2023-05-01,2023-05-15,2023-05_Q1,41.66,2,25.27
2023-05-16,2023-05-31,2023-05_Q2,0.0,0,0.0
2023-06-01,2023-06-15,2023-06_Q1,242.94,3,138.29
2023-06-16,2023-06-30,2023-06_Q2,0.0,0,0.0
2023-07-01,2023-07-15,2023-07_Q1,48.29,5,11.34
2023-07-16,2023-07-31,2023-07_Q2,66.08,6,18.31
2023-08-01,2023-08-15,2023-08_Q1,106.97,1,106.97
2023-08-16,2023-08-31,2023-08_Q2,0.0,0,0.0
2023-09-01,2023-09-15,2023-09_Q1,82.78,7,29.57
2023-09-16,2023-09-30,2023-09_Q2,11.3,3,5.06
2023-10-01,2023-10-15,2023-10_Q1,35.03,1,35.03
2023-10-16,2023-10-31,2023-10_Q2,0.0,0,0.0
2023-11-01,2023-11-15,2023-11_Q1,35.75,1,35.75
2023-11-16,2023-11-30,2023-11_Q2,9.46,1,9.46
2023-12-01,2023-12-15,2023-12_Q1,13.42,2,8.87
2023-12-16,2023-12-31,2023-12_Q2,0.0,0,0.0
2024-01-01,2024-01-15,2024-01_Q1,6.15,1,6.15
2024-01-16,2024-01-31,2024-01_Q2,15.27,2,8.71
2024-02-01,2024-02-15,2024-02_Q1,0.0,0,0.0
2024-02-16,2024-02-29,2024-02_Q2,17.43,3,10.9
2024-03-01,2024-03-15,2024-03_Q1,17.33,3,9.3
2024-03-16,2024-03-31,2024-03_Q2,5.39,1,5.39
2024-04-01,2024-04-15,2024-04_Q1,9.58,2,4.96
2024-04-16,2024-04-30,2024-04_Q2,13.53,2,9.26
2024-05-01,2024-05-15,2024-05_Q1,40.65,3,26.8
2024-05-16,2024-05-31,2024-05_Q2,46.85,5,18.91
2024-06-01,2024-06-15,2024-06_Q1,91.02,5,48.59
2024-06-16,2024-06-30,2024-06_Q2,19.82,2,9.91
2024-07-01,2024-07-15,2024-07_Q1,38.3,1,38.3
2024-07-16,2024-07-31,2024-07_Q2,89.7,2,46.26
2024-08-01,2024-08-15,2024-08_Q1,71.12,1,71.12
2024-08-16,2024-08-31,2024-08_Q2,80.97,10,26.27
2024-09-01,2024-09-15,2024-09_Q1,56.22,3,43.74
2024-09-16,2024-09-30,2024-09_Q2,0.0,0,0.0
2024-10-01,2024-10-15,2024-10_Q1,51.25,5,23.8
2024-10-16,2024-10-31,2024-10_Q2,13.96,2,6.98
2024-11-01,2024-11-15,2024-11_Q1,10.94,1,10.94
2024-11-16,2024-11-30,2024-11_Q2,20.95,1,20.95
2024-12-01,2024-12-15,2024-12_Q1,3.97,1,3.97
2024-12-16,2024-12-31,2024-12_Q2,9.22,2,5.29
2025-01-01,2025-01-15,2025-01_Q1,0.0,0,0.0
2025-01-16,2025-01-31,2025-01_Q2,27.36,4,17.84
2025-02-01,2025-02-15,2025-02_Q1,5.8,1,5.8
2025-02-16,2025-02-28,2025-02_Q2,14.03,2,7.45
2025-03-01,2025-03-15,2025-03_Q1,97.41,2,64.94
2025-03-16,2025-03-31,2025-03_Q2,0.0,0,0.0
2025-04-01,2025-04-15,2025-04_Q1,83.92,2,48.27
2025-04-16,2025-04-30,2025-04_Q2,0.0,0,0.0
2025-05-01,2025-05-15,2025-05_Q1,18.35,2,13.33
2025-05-16,2025-05-31,2025-05_Q2,39.77,4,26.82
2025-06-01,2025-06-15,2025-06_Q1,85.12,5,24.25
2025-06-16,2025-06-30,2025-06_Q2,38.7,2,25.8
2025-07-01,2025-07-15,2025-07_Q1,53.63,4,34.08
2025-07-16,2025-07-31,2025-07_Q2,141.76,2,82.14
2025-08-01,2025-08-15,2025-08_Q1,39.93,6,11.79
2025-08-16,2025-08-31,2025-08_Q2,114.59,8,38.97
2025-09-01,2025-09-15,2025-09_Q1,148.32,2,110.02
2025-09-16,2025-09-30,2025-09_Q2,0.0,0,0.0
2025-10-01,2025-10-15,2025-10_Q1,25.67,4,8.55
2025-10-16,2025-10-31,2025-10_Q2,22.64,2,11.89
2025-11-01,2025-11-15,2025-11_Q1,25.67,1,25.67
2025-11-16,2025-11-30,2025-11_Q2,45.63,7,19.24
2025-12-01,2025-12-15,2025-12_Q1,4.93,1,4.93
2025-12-16,2025-12-31,2025-12_Q2,10.45,2,5.4
2026-01-01,2026-01-15,2026-01_Q1,0.0,0,0.0
2026-01-16,2026-01-31,2026-01_Q2,18.07,1,18.07
