property,0-5cm,5-15cm,15-30cm,30-60cm,60-100cm
phh2o,70.0,72.0,77.0,81.0,81.0
soc,149.7391304347826,112.17391304347825,149.63768115942028,94.62318840579708,90.0
clay,341.0,367.0,415.0,457.0,462.0
sand,529.0,503.0,464.0,431.0,419.0
silt,130.0,130.0,121.0,112.0,119.0
bdod,114.79710144927535,124.0,132.0,139.0,141.0
cec,191.0,201.0,204.0,199.0,201.0
4.91176470588235,70.91176470588236,68.91176470588236,70.3529411764706,82.08823529411765
bdod,122.0,125.0,131.39130434782606,142.6086956521739,143.60869565217394
cec,120.44117647058823,107.70588235294119,107.88235294117648,109.70588235294117,104.70588235294117
