period_start,period_end,label,precip_mm,temp_c,pet_mm,water_balance,spei_1m,spei_3m,spei_6m,spei_12m
2016-01-01,2016-01-15,2016-01_Q1,13.51,26.56,70.48,-56.97,,,,
2016-01-16,2016-01-31,2016-01_Q2,48.93,22.8,70.48,-21.55,1.768,,,
2016-02-01,2016-02-15,2016-02_Q1,4.51,25.24,59.77,-55.26,1.5,,,
2016-02-16,2016-02-29,2016-02_Q2,4.2,23.92,59.77,-55.57,-0.301,,,
2016-03-01,2016-03-15,2016-03_Q1,11.86,24.88,52.33,-40.47,-0.244,,,
2016-03-16,2016-03-31,2016-03_Q2,62.8,20.15,52.33,10.47,1.753,1.611,,
2016-04-01,2016-04-15,2016-04_Q1,21.49,18.56,29.68,-8.19,1.731,1.654,,
2016-04-16,2016-04-30,2016-04_Q2,18.37,16.89,29.68,-11.31,1.148,1.584,,
2016-05-01,2016-05-15,2016-05_Q1,0.0,13.54,15.93,-15.93,-0.141,1.603,,
2016-05-16,2016-05-31,2016-05_Q2,41.25,12.49,15.93,25.32,1.286,1.74,,
2016-06-01,2016-06-15,2016-06_Q1,36.56,11.6,10.59,25.97,1.362,1.742,,
2016-06-16,2016-06-30,2016-06_Q2,0.0,10.19,10.59,-10.59,-0.174,1.159,1.774,
2016-07-01,2016-07-15,2016-07_Q1,42.32,9.32,9.15,33.17,-0.072,1.317,1.733,
2016-07-16,2016-07-31,2016-07_Q2,0.0,10.29,9.15,-9.15,0.194,0.851,1.383,
2016-08-01,2016-08-15,2016-08_Q1,41.15,10.36,10.38,30.77,0.225,1.209,1.569,
2016-08-16,2016-08-31,2016-08_Q2,12.08,9.85,10.38,1.7,0.371,-0.128,1.532,
2016-09-01,2016-09-15,2016-09_Q1,3.06,11.28,12.3,-9.24,-0.96,-0.261,1.451,
2016-09-16,2016-09-30,2016-09_Q2,16.77,10.21,12.3,4.47,0.893,0.214,1.186,
2016-10-01,2016-10-15,2016-10_Q1,8.44,14.9,26.95,-18.51,1.307,0.279,0.953,
2016-10-16,2016-10-31,2016-10_Q2,0.0,15.88,26.95,-26.95,0.333,0.529,0.703,
2016-11-01,2016-11-15,2016-11_Q1,3.14,20.65,51.0,-47.86,-0.636,-0.293,0.612,
2016-11-16,2016-11-30,2016-11_Q2,3.12,21.93,51.0,-47.88,-1.24,-0.272,-0.056,
2016-12-01,2016-12-15,2016-12_Q1,3.93,21.67,58.45,-54.52,-0.173,0.05,-0.075,
2016-12-16,2016-12-31,2016-12_Q2,3.34,22.62,58.45,-55.11,1.69,0.018,0.205,1.448
2017-01-01,2017-01-15,2017-01_Q1,0.0,26.07,72.41,-72.41,0.612,-0.334,-0.035,1.356
2017-01-16,2017-01-31,2017-01_Q2,39.7,24.01,72.41,-32.71,1.15,1.129,0.828,1.333
2017-02-01,2017-02-15,2017-02_Q1,10.49,20.96,48.09,-37.6,1.631,1.61,0.79,1.461
2017-02-16,2017-02-28,2017-02_Q2,25.76,22.79,48.09,-22.33,1.828,1.801,1.5,1.601
2017-03-01,2017-03-15,2017-03_Q1,23.91,24.56,47.56,-23.65,1.526,1.717,1.703,1.729
2017-03-16,2017-03-31,2017-03_Q2,8.18,18.22,47.56,-39.38,0.818,1.522,1.677,1.577
2017-04-01,2017-04-15,2017-04_Q1,0.0,19.25,31.73,-31.73,-0.382,1.501,1.469,1.409
2017-04-16,2017-04-30,2017-04_Q2,13.62,17.49,31.73,-18.11,-0.714,1.355,1.542,1.301
2017-05-01,2017-05-15,2017-05_Q1,13.22,16.26,20.19,-6.97,0.105,1.023,1.582,1.376
2017-05-16,2017-05-31,2017-05_Q2,12.88,13.29,20.19,-7.31,-0.015,0.043,1.621,1.219
