crop,period_start,period_end,label,mean_C,std_C,var_C,temp_status,temp_detail,temp_score
wheat,2016-01-01,2016-01-15,2016-01_Q1,23.92,3.83,14.66,VIABLE,optimal temperature range,1.0
wheat,2016-01-16,2016-01-31,2016-01_Q2,23.13,5.06,25.61,VIABLE,optimal temperature range,1.0
wheat,2016-02-01,2016-02-15,2016-02_Q1,22.57,3.52,12.38,VIABLE,optimal temperature range,1.0
wheat,2016-02-16,2016-02-29,2016-02_Q2,22.45,4.33,18.78,VIABLE,optimal temperature range,1.0
wheat,2016-03-01,2016-03-15,2016-03_Q1,25.44,2.35,5.54,VIABLE_WITH_RESERVE,warm for crop,0.76
wheat,2016-03-16,2016-03-31,2016-03_Q2,17.79,3.15,9.93,VIABLE,optimal temperature range,1.0
wheat,2016-04-01,2016-04-15,2016-04_Q1,16.6,2.33,5.44,VIABLE,optimal temperature range,1.0
wheat,2016-04-16,2016-04-30,2016-04_Q2,17.78,3.0,9.01,VIABLE,optimal temperature range,1.0
wheat,2016-05-01,2016-05-15,2016-05_Q1,14.14,2.18,4.75,VIABLE,optimal temperature range,1.0
wheat,2016-05-16,2016-05-31,2016-05_Q2,12.22,1.84,3.38,VIABLE,optimal temperature range,1.0
wheat,2016-06-01,2016-06-15,2016-06_Q1,10.47,1.66,2.74,VIABLE,optimal temperature range,1.0
wheat,2016-06-16,2016-06-30,2016-06_Q2,8.52,1.48,2.2,VIABLE_WITH_RESERVE,cool for crop,0.704
wheat,2016-07-01,2016-07-15,2016-07_Q1,7.46,1.61,2.58,VIABLE_WITH_RESERVE,cool for crop,0.492
wheat,2016-07-16,2016-07-31,2016-07_Q2,9.92,2.8,7.86,VIABLE_WITH_RESERVE,cool for crop,0.984
wheat,2016-08-01,2016-08-15,2016-08_Q1,8.98,2.31,5.36,VIABLE_WITH_RESERVE,cool for crop,0.796
wheat,2016-08-16,2016-08-31,2016-08_Q2,10.27,2.9,8.41,VIABLE,optimal temperature range,1.0
wheat,2016-09-01,2016-09-15,2016-09_Q1,10.62,2.6,6.76,VIABLE,optimal temperature range,1.0
wheat,2016-09-16,2016-09-30,2016-09_Q2,9.33,1.64,2.67,VIABLE_WITH_RESERVE,cool for crop,0.866
wheat,2016-10-01,2016-10-15,2016-10_Q1,13.94,4.07,16.53,VIABLE,optimal temperature range,1.0
wheat,2016-10-16,2016-10-31,2016-10_Q2,12.83,4.26,18.13,VIABLE,optimal temperature range,1.0
wheat,2016-11-01,2016-11-15,2016-11_Q1,15.47,3.28,10.75,VIABLE,optimal temperature range,1.0
wheat,2016-11-16,2016-11-30,2016-11_Q2,19.42,4.35,18.88,VIABLE,optimal temperature range,1.0
wheat,2016-12-01,2016-12-15,2016-12_Q1,20.29,4.03,16.23,VIABLE,optimal temperature range,1.0
