crop,period_start,period_end,label,AWC_mm,spei_1m,spei_3m,spei_6m,spei_12m,P_acum_mm,Storage_mm,WRSI_1m,deficit_1m,future_deficit_1m,future_deficit_1m_mm,future_deficit_3m,future_deficit_3m_mm,future_deficit_6m,future_deficit_6m_mm,past_deficit_3m,past_deficit_6m,suggestion
wheat,2016-12-16,2016-12-31,2016-12_Q2,121.17,1.426,0.853,1.468,1.514,76.39,0.0,0.3127,68.73,76.6637,157.49,81.4708,368.55,66.3638,405.37,63.9548,47.1458,NOT_SUITABLE
wheat,2017-01-01,2017-01-15,2017-01_Q1,121.17,1.552,1.099,1.09,1.5,55.33,0.0,0.2493,75.07,55.6759,89.23,77.6899,291.88,58.5466,308.82,67.9515,48.5832,NOT_SUITABLE
wheat,2017-01-16,2017-01-31,2017-01_Q2,121.17,1.204,1.337,1.38,1.534,47.94,0.0,0.2334,76.66,81.7343,103.37,77.3912,244.62,56.245,261.56,78.5936,55.0166,NOT_SUITABLE
wheat,2017-02-01,2017-02-15,2017-02_Q1,121.17,1.627,1.664,1.58,1.571,71.04,0.0,0.4432,55.68,96.7283,118.56,75.1573,205.9,49.6623,219.59,78.3041,55.9642,NOT_SUITABLE
wheat,2017-02-16,2017-02-28,2017-02_Q2,121.17,1.211,1.881,1.486,1.59,23.1,0.0,0.1827,81.73,89.3914,107.69,60.56,144.51,38.5587,165.33,72.3869,58.6054,NOT_SUITABLE
wheat,2017-03-01,2017-03-15,2017-03_Q1,121.17,-0.857,1.683,1.578,1.56,4.01,0.0,0.0327,96.73,90.556,84.09,44.5109,87.35,39.8524,181.25,74.4139,63.3282,NOT_SUITABLE
wheat,2017-03-16,2017-03-31,2017-03_Q2,121.17,-1.023,0.456,0.967,1.539,12.78,0.0,0.1061,89.39,48.5434,33.57,23.2374,36.82,38.8774,187.17,74.1703,68.4125,HIGH
wheat,2017-04-01,2017-04-15,2017-04_Q1,121.17,-0.915,0.455,1.089,1.488,8.77,0.0,0.0944,90.56,5.5575,3.25,11.1603,16.94,49.4329,287.67,81.4708,73.2743,HIGH
wheat,2017-04-16,2017-04-30,2017-04_Q2,121.17,1.354,0.639,1.382,1.569,55.28,19.7,0.5146,48.54,6.6384,3.25,11.3719,16.94,56.136,371.17,77.6899,78.2764,NOT_SUITABLE
wheat,2017-05-01,2017-05-15,2017-05_Q1,121.17,0.791,-0.322,1.586,1.502,55.28,0.0,0.9444,5.56,0.0,0.0,8.1366,13.69,63.7725,494.21,77.3912,78.017,NOT_SUITABLE
wheat,2017-05-16,2017-05-31,2017-05_Q2,121.17,-0.849,-0.185,1.671,1.501,41.48,15.43,0.9336,6.64,0.0,0.0,10.95,20.82,68.2269,589.19,75.1573,73.2312,NOT_SUITABLE
wheat,2017-06-01,2017-06-15,2017-06_Q1,121.17,-1.134,-0.556,1.11,1.4,49.53,4.69,1.0,0.0,28.2732,13.69,36.3168,93.9,71.083,675.36,60.56,70.3568,NOT_SUITABLE
wheat,2017-06-16,2017-06-30,2017-06_Q2,121.17,-1.764,-0.746,-0.236,1.242,25.9,1.02,1.0,0.0,22.9454,13.69,46.5508,150.35,72.5555,740.11,44.5109,65.8676,NOT_SUITABLE
wheat,2017-07-01,2017-07-15,2017-07_Q1,121.17,-0.75,-0.839,-0.309,0.723,30.03,0.0,0.7173,28.27,0.0,0.0,62.9371,270.73,74.2449,812.67,23.2374,66.3638,NOT_SUITABLE
wheat,2017-07-16,2017-07-31,2017-07_Q2,121.17,-0.07,-1.475,-0.5,1.107,61.11,16.17,0.7705,22.95,7.9112,7.14,69.153,354.23,77.4597,891.7,11.1603,58.5466,NOT_SUITABLE
wheat,2017-08-01,2017-08-15,2017-08_Q1,121.17,0.414,-0.985,-0.761,1.289,89.02,14.06,1.0,0.0,59.331,80.22,79.1954,480.53,81.3749,955.89,11.3719,56.245,NOT_SUITABLE
wheat,2017-08-16,2017-08-31,2017-08_Q2,121.17,0.15,-1.186,-0.726,1.001,66.9,0.0,0.9209,7.91,74.8163,129.53,84.4006,568.37,84.3181,1002.82,8.1366,49.6623,NOT_SUITABLE
wheat,2017-09-01,2017-09-15,2017-09_Q1,121.17,-0.197,-0.229,-0.672,1.122,40.92,0.0,0.4067,59.33,86.5958,190.52,84.0818,581.46,85.0369,979.77,10.95,38.5587,NOT_SUITABLE
wheat,2017-09-16,2017-09-30,2017-09_Q2,121.17,0.287,0.053,-0.208,0.559,43.6,0.0,0.2518,74.82,87.4089,217.57,84.6043,589.76,85.6942,956.87,36.3168,39.8524,NOT_SUITABLE
wheat,2017-10-01,2017-10-15,2017-10_Q1,121.17,-0.52,-0.135,-0.451,0.446,29.49,0.0,0.134,86.6,83.3994,209.8,81.5659,541.94,84.4137,865.13,46.5508,38.8774,NOT_SUITABLE
