point_id,lat,lon,crop,period_start,period_end,label,month,biweek,mean_C,std_C,precip_total_mm,precip_rainy_days,pet_mm,spei_1m,spei_3m,spei_6m,spei_12m,AWC_mm,Storage_mm,P_acum_mm,WRSI_1m,deficit_1m,future_deficit_1m,future_deficit_3m,future_deficit_6m,future_deficit_1m_mm,future_deficit_3m_mm,future_deficit_6m_mm,past_deficit_3m,past_deficit_6m,suggestion,oni
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2016-12-16,2016-12-31,2016-12_Q2,12,2,24.51,0.34,24.91,1.0,57.5,1.308,0.738,0.16,-1.557,137.21,5.68,39.48,1.0,0.0,62.2493,63.0553,39.3144,71.08,261.31,311.24,0.8667,10.4093,NOT_SUITABLE,-0.37
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-01-01,2017-01-15,2017-01_Q1,1,1,24.67,0.75,46.43,4.0,65.21,0.303,0.822,0.18,-1.375,137.21,0.0,46.62,0.8707,12.93,100.0,69.1544,37.1152,135.04,292.89,297.43,0.0,8.6389,NOT_SUITABLE,-0.08
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-01-16,2017-01-31,2017-01_Q2,1,2,25.62,1.04,0.0,0.0,65.21,0.145,0.984,0.133,-1.357,137.21,0.0,37.42,0.3775,62.25,94.0447,55.527,29.6276,146.71,240.16,240.16,3.8694,8.3612,NOT_SUITABLE,-0.08
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-02-01,2017-02-15,2017-02_Q1,2,1,27.79,0.54,14.11,2.0,88.01,-0.943,0.691,-0.012,-1.345,137.21,0.0,0.0,0.0,100.0,66.1674,39.0034,20.3846,98.82,162.4,162.4,20.2186,13.367,NOT_SUITABLE,0.08
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-02-16,2017-02-28,2017-02_Q2,2,2,27.6,0.32,4.9,1.0,88.01,-0.751,-0.063,-0.045,-1.217,137.21,0.0,9.29,0.0596,94.04,30.1776,23.3675,11.9453,43.53,93.45,93.45,40.5769,21.7765,HIGH,0.08
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-03-01,2017-03-15,2017-03_Q1,3,1,26.85,1.44,49.0,6.0,77.88,0.656,0.066,0.183,-0.637,137.21,0.0,50.53,0.3383,66.17,42.4252,16.3184,8.2523,59.03,63.57,63.57,56.9304,29.1777,HIGH,0.27
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-03-16,2017-03-31,2017-03_Q2,3,2,25.09,0.74,75.53,8.0,77.88,1.364,0.447,0.535,-0.191,137.21,0.0,100.71,0.6982,30.18,37.744,13.2344,6.6016,49.93,49.93,49.93,63.3145,32.7493,HIGH,0.27
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-04-01,2017-04-15,2017-04_Q1,4,1,25.98,0.61,22.33,7.0,70.08,0.108,-0.114,0.268,-0.3,137.21,0.0,80.11,0.5757,42.43,3.5529,1.2024,0.6065,4.54,4.54,4.54,63.0553,33.6402,LOW,0.32
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-04-16,2017-04-30,2017-04_Q2,4,2,25.29,0.8,96.07,11.0,70.08,-1.288,-0.266,0.18,-0.58,137.21,0.0,82.35,0.6226,37.74,0.0,0.0,0.0,0.0,0.0,0.0,69.1544,39.3044,LOW,0.32
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-05-01,2017-05-15,2017-05_Q1,5,1,24.13,0.64,135.21,15.0,64.99,0.652,0.538,0.57,-0.427,137.21,74.46,197.79,0.9645,3.55,0.0,0.0,0.0,0.0,0.0,0.0,55.527,39.6957,LOW,0.35
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-05-16,2017-05-31,2017-05_Q2,5,2,25.23,0.6,63.62,11.0,64.99,0.861,0.337,-0.072,-0.449,137.21,71.62,195.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0034,39.7404,LOW,0.35
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-06-01,2017-06-15,2017-06_Q1,6,1,24.82,0.99,35.86,8.0,63.91,-0.795,0.272,-0.04,-0.255,137.21,83.08,131.19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.3675,39.776,LOW,0.32
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-06-16,2017-06-30,2017-06_Q2,6,2,24.67,0.44,70.47,10.0,63.91,0.587,0.176,0.253,-0.05,137.21,95.67,145.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.3184,39.8639,LOW,0.32
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-07-01,2017-07-15,2017-07_Q1,7,1,25.11,0.61,36.23,9.0,70.2,0.995,0.657,0.415,0.1,137.21,91.51,135.83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2344,39.3144,LOW,0.14
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-07-16,2017-07-31,2017-07_Q2,7,2,25.26,0.72,31.23,10.0,70.2,0.603,0.901,0.543,0.162,137.21,78.31,115.75,1.0,0.0,0.0,0.0,0.4023,0.0,0.0,2.77,1.2024,37.1152,LOW,0.14
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-08-01,2017-08-15,2017-08_Q1,8,1,25.28,0.61,53.04,9.0,67.31,0.402,0.263,0.59,0.144,137.21,61.23,100.05,1.0,0.0,0.0,0.0,9.5316,0.0,0.0,65.79,0.0,29.6276,LOW,-0.07
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-08-16,2017-08-31,2017-08_Q2,8,2,24.69,0.52,119.2,14.0,67.31,0.881,0.63,0.765,0.232,137.21,71.53,120.97,1.0,0.0,0.0,0.0,18.67,0.0,0.0,129.42,0.0,20.3846,MEDIUM,-0.07
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-09-01,2017-09-15,2017-09_Q1,9,1,24.75,0.83,128.31,12.0,62.44,1.191,0.953,0.756,0.312,137.21,123.74,185.58,1.0,0.0,0.0,0.0,29.4292,0.0,0.0,212.05,0.0,11.9453,MEDIUM,-0.23
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-09-16,2017-09-30,2017-09_Q2,9,2,24.86,0.5,69.15,15.0,62.44,0.124,0.473,0.491,0.379,137.21,123.05,169.69,1.0,0.0,0.0,0.0,35.3133,0.0,0.0,263.91,0.0,8.2523,HIGH,-0.23
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-10-01,2017-10-15,2017-10_Q1,10,1,24.73,0.64,92.41,10.0,62.57,-1.373,0.05,0.473,0.266,137.21,119.97,114.09,1.0,0.0,0.0,0.0,37.4801,0.0,0.0,279.76,0.0,6.6016,HIGH,-0.44
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-10-16,2017-10-31,2017-10_Q2,10,2,24.72,1.12,71.33,11.0,62.57,-1.378,-0.117,0.456,0.415,137.21,137.21,136.68,1.0,0.0,0.0,0.8525,37.4944,0.0,2.77,279.76,0.0,0.6065,HIGH,-0.44
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-11-01,2017-11-15,2017-11_Q1,11,1,24.22,0.52,82.93,6.0,54.35,-0.233,-0.182,0.146,0.525,137.21,137.21,150.26,1.0,0.0,0.0,19.3517,37.1852,0.0,65.79,279.76,0.0,0.0,HIGH,-0.61
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-11-16,2017-11-30,2017-11_Q2,11,2,24.0,0.62,39.32,6.0,54.35,-0.233,-0.864,0.102,0.321,137.21,128.14,110.95,1.0,0.0,0.0,36.3355,36.867,0.0,129.42,279.76,0.0,0.0,HIGH,-0.61
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-12-01,2017-12-15,2017-12_Q1,12,1,24.41,0.61,31.97,3.0,60.32,-0.466,-1.255,0.056,0.232,137.21,87.11,56.71,1.0,0.0,0.0,54.8573,36.511,0.0,212.05,279.76,0.0,0.0,NOT_SUITABLE,-0.76
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-12-16,2017-12-31,2017-12_Q2,12,2,24.82,0.44,18.25,1.0,60.32,0.569,-0.857,-0.048,0.374,137.21,52.05,36.09,1.0,0.0,2.493,63.3924,36.1619,2.77,263.91,279.76,0.0,0.0,NOT_SUITABLE,-0.76
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2018-01-01,2018-01-15,2018-01_Q1,1,1,23.95,0.26,65.15,5.0,59.42,1.056,0.001,-0.014,0.446,137.21,39.82,64.15,1.0,0.0,54.052,66.7932,35.5504,65.79,279.76,279.76,0.0,0.0,NOT_SUITABLE,-0.71
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2018-01-16,2018-01-31,2018-01_Q2,1,2,25.05,0.81,0.0,0.0,59.42,1.059,0.17,-0.002,0.538,137.21,0.0,56.19,0.9751,2.49,95.2328,65.7137,34.6254,126.65,276.99,276.99,0.0,0.0,NOT_SUITABLE,-0.71
