point_id,lat,lon,crop,period_start,period_end,label,month,biweek,mean_C,std_C,precip_total_mm,precip_rainy_days,pet_mm,spei_1m,spei_3m,spei_6m,spei_12m,AWC_mm,Storage_mm,P_acum_mm,WRSI_1m,deficit_1m,future_deficit_1m,future_deficit_3m,future_deficit_6m,future_deficit_1m_mm,future_deficit_3m_mm,future_deficit_6m_mm,past_deficit_3m,past_deficit_6m,suggestion,oni
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2016-12-16,2016-12-31,2016-12_Q2,12,2,24.51,0.34,40.76,6.0,57.51,1.308,0.738,0.16,-1.557,137.21,5.68,39.48,1.0,0.0,62.26,63.06,39.32,71.08,261.31,311.24,,,NOT_SUITABLE,-0.37
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-01-01,2017-01-15,2017-01_Q1,1,1,24.67,0.75,33.86,3.0,65.21,0.303,0.822,0.18,-1.375,137.21,0.0,46.62,0.8706,12.94,100.0,69.15,37.11,135.03,292.88,297.43,,,NOT_SUITABLE,-0.08
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-01-16,2017-01-31,2017-01_Q2,1,2,25.62,1.04,18.75,2.0,65.21,0.145,0.984,0.133,-1.357,137.21,0.0,37.42,0.3774,62.26,94.04,55.53,29.63,146.7,240.15,240.15,,,NOT_SUITABLE,-0.08
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-02-01,2017-02-15,2017-02_Q1,2,1,27.79,0.54,0.0,0.0,88.01,-0.943,0.691,-0.012,-1.345,137.21,0.0,0.0,0.0,100.0,66.17,39.0,20.38,98.82,162.39,162.39,,,NOT_SUITABLE,0.08
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-02-16,2017-02-28,2017-02_Q2,2,2,27.6,0.32,32.0,4.0,88.01,-0.751,-0.063,-0.045,-1.217,137.21,0.0,9.29,0.0596,94.04,30.18,23.37,11.94,43.53,93.45,93.45,,,HIGH,0.08
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-03-01,2017-03-15,2017-03_Q1,3,1,26.85,1.44,110.15,7.0,77.88,0.656,0.066,0.183,-0.637,137.21,0.0,50.53,0.3383,66.17,42.42,16.32,8.25,59.03,63.57,63.57,,,HIGH,0.27
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-03-16,2017-03-31,2017-03_Q2,3,2,25.09,0.74,115.34,8.0,77.88,1.364,0.447,0.535,-0.191,137.21,0.0,100.71,0.6982,30.18,37.74,13.23,6.6,49.92,49.92,49.92,63.06,,HIGH,0.27
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-04-01,2017-04-15,2017-04_Q1,4,1,25.98,0.61,48.69,6.0,70.08,0.108,-0.114,0.268,-0.3,137.21,0.0,80.11,0.5758,42.42,3.55,1.2,0.61,4.54,4.54,4.54,69.15,,LOW,0.32
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-04-16,2017-04-30,2017-04_Q2,4,2,25.29,0.8,65.77,6.0,70.08,-1.288,-0.266,0.18,-0.58,137.21,0.0,82.35,0.6226,37.74,0.0,0.0,0.0,0.0,0.0,0.0,55.53,,LOW,0.32
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-05-01,2017-05-15,2017-05_Q1,5,1,24.13,0.64,129.48,10.0,64.99,0.652,0.538,0.57,-0.427,137.21,74.46,197.79,0.9645,3.55,0.0,0.0,0.0,0.0,0.0,0.0,39.0,,LOW,0.35
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-05-16,2017-05-31,2017-05_Q2,5,2,25.23,0.6,28.29,2.0,64.99,0.861,0.337,-0.072,-0.449,137.21,71.62,195.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.37,,LOW,0.35
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-06-01,2017-06-15,2017-06_Q1,6,1,24.82,0.99,64.56,9.0,63.91,-0.795,0.272,-0.04,-0.255,137.21,83.08,131.19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.32,,LOW,0.32
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-06-16,2017-06-30,2017-06_Q2,6,2,24.67,0.44,32.55,3.0,63.91,0.587,0.176,0.254,-0.05,137.21,95.67,145.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.23,39.32,LOW,0.32
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-07-01,2017-07-15,2017-07_Q1,7,1,25.11,0.61,4.2,1.0,70.21,0.995,0.657,0.415,0.1,137.21,91.5,135.83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,37.11,LOW,0.14
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-07-16,2017-07-31,2017-07_Q2,7,2,25.26,0.72,15.4,3.0,70.21,0.603,0.901,0.543,0.162,137.21,78.29,115.75,1.0,0.0,0.0,0.0,0.4,0.0,0.0,2.76,0.0,29.63,LOW,0.14
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-08-01,2017-08-15,2017-08_Q1,8,1,25.28,0.61,16.3,4.0,67.31,0.402,0.263,0.59,0.144,137.21,61.22,100.05,1.0,0.0,0.0,0.0,9.53,0.0,0.0,65.78,0.0,20.38,LOW,-0.07
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-08-16,2017-08-31,2017-08_Q2,8,2,24.69,0.52,43.53,6.0,67.31,0.881,0.63,0.765,0.232,137.21,71.52,120.97,1.0,0.0,0.0,0.0,18.67,0.0,0.0,129.41,0.0,11.94,MEDIUM,-0.07
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-09-01,2017-09-15,2017-09_Q1,9,1,24.75,0.83,61.71,5.0,62.44,1.191,0.953,0.756,0.312,137.21,123.73,185.58,1.0,0.0,0.0,0.0,29.43,0.0,0.0,212.04,0.0,8.25,MEDIUM,-0.23
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-09-16,2017-09-30,2017-09_Q2,9,2,24.86,0.5,24.06,3.0,62.44,0.124,0.473,0.491,0.379,137.21,123.04,169.69,1.0,0.0,0.0,0.0,35.31,0.0,0.0,263.9,0.0,6.6,HIGH,-0.23
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-10-01,2017-10-15,2017-10_Q1,10,1,24.73,0.64,50.22,8.0,62.57,-1.373,0.05,0.473,0.266,137.21,119.96,114.09,1.0,0.0,0.0,0.0,37.48,0.0,0.0,279.75,0.0,0.61,HIGH,-0.44
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-10-16,2017-10-31,2017-10_Q2,10,2,24.72,1.12,100.19,9.0,62.57,-1.378,-0.117,0.456,0.415,137.21,137.21,136.68,1.0,0.0,0.0,0.85,37.49,0.0,2.76,279.75,0.0,0.0,HIGH,-0.44
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-11-01,2017-11-15,2017-11_Q1,11,1,24.22,0.52,101.9,5.0,54.35,-0.233,-0.182,0.146,0.525,137.21,137.21,150.26,1.0,0.0,0.0,19.35,37.18,0.0,65.78,279.75,0.0,0.0,HIGH,-0.61
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-11-16,2017-11-30,2017-11_Q2,11,2,24.0,0.62,68.93,5.0,54.35,-0.233,-0.864,0.102,0.321,137.21,128.14,110.95,1.0,0.0,0.0,36.33,36.87,0.0,129.41,279.75,0.0,0.0,HIGH,-0.61
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-12-01,2017-12-15,2017-12_Q1,12,1,24.41,0.61,17.41,1.0,60.32,-0.466,-1.255,0.056,0.232,137.21,87.11,56.71,1.0,0.0,0.0,54.86,36.51,0.0,212.04,279.75,0.0,0.0,NOT_SUITABLE,-0.76
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-12-16,2017-12-31,2017-12_Q2,12,2,24.82,0.44,32.81,2.0,60.32,0.569,-0.857,-0.048,0.374,137.21,52.05,36.09,1.0,0.0,2.49,63.39,36.16,2.76,263.9,279.75,0.0,0.0,NOT_SUITABLE,-0.76
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2018-01-01,2018-01-15,2018-01_Q1,1,1,23.95,0.26,65.02,5.0,59.42,1.056,0.001,-0.014,0.446,137.21,39.82,64.15,1.0,0.0,54.05,66.79,35.55,65.78,279.75,279.75,0.0,0.0,NOT_SUITABLE,-0.71
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2018-01-16,2018-01-31,2018-01_Q2,1,2,25.05,0.81,22.26,3.0,59.42,1.059,0.17,-0.002,0.538,137.21,0.0,56.19,0.9751,2.49,95.23,65.71,34.63,126.65,276.99,276.99,0.85,0.4,NOT_SUITABLE,-0.71
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2018-02-01,2018-02-15,2018-02_Q1,2,1,25.88,0.38,23.77,3.0,69.85,0.566,0.092,0.017,0.596,137.21,0.0,16.11,0.4595,54.05,95.35,51.89,28.68,146.26,213.97,229.75,19.35,9.53,NOT_SUITABLE,-0.67
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2018-02-16,2018-02-28,2018-02_Q2,2,2,26.33,0.53,23.44,3.0,69.85,0.429,0.766,-0.11,0.61,137.21,0.0,6.34,0.0477,95.23,78.05,37.34,23.68,134.48,150.34,189.72,36.33,18.67,NOT_SUITABLE,-0.67
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2018-03-01,2018-03-15,2018-03_Q1,3,1,27.56,0.86,20.04,2.0,91.12,-0.384,0.379,-0.529,0.372,137.21,0.0,7.13,0.0465,95.35,47.11,17.83,13.88,67.71,67.71,107.08,54.86,29.43,HIGH,-0.55
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2018-03-16,2018-03-31,2018-03_Q2,3,2,26.68,0.49,94.15,7.0,91.12,-0.595,0.168,-0.465,0.077,137.21,0.0,37.82,0.2195,78.05,13.64,4.44,7.44,15.86,15.86,55.23,63.39,35.31,LOW,-0.55
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2018-04-01,2018-04-15,2018-04_Q1,4,1,24.17,0.68,100.73,10.0,61.2,-0.046,-0.187,-0.324,0.108,137.21,0.0,76.03,0.5289,47.11,0.0,0.0,5.33,0.0,0.0,39.38,66.79,37.48,LOW,-0.35
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2018-04-16,2018-04-30,2018-04_Q2,4,2,24.93,0.72,37.95,5.0,61.2,0.349,-0.139,-0.197,0.147,137.21,32.89,133.25,0.8636,13.64,0.0,0.0,5.36,0.0,0.0,39.38,65.71,37.49,LOW,-0.35
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2018-05-01,2018-05-15,2018-05_Q1,5,1,24.0,0.81,81.91,8.0,59.63,1.017,0.29,0.105,-0.019,137.21,90.54,205.78,1.0,0.0,0.0,4.06,5.37,0.0,15.78,39.38,51.89,37.18,LOW,-0.07
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2018-05-16,2018-05-31,2018-05_Q2,5,2,24.28,0.54,78.96,8.0,59.63,1.519,0.515,0.634,0.151,137.21,137.21,223.05,1.0,0.0,0.0,9.88,5.38,0.0,39.38,39.38,37.34,36.87,LOW,-0.07
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2018-06-01,2018-06-15,2018-06_Q1,6,1,25.3,0.55,20.41,7.0,66.38,-0.801,0.408,0.285,-0.044,137.21,93.27,128.03,1.0,0.0,0.0,10.05,5.4,0.0,39.38,39.38,17.83,36.51,LOW,0.13
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2018-06-16,2018-06-30,2018-06_Q2,6,2,24.74,0.41,10.83,3.0,66.38,-0.673,0.551,0.344,-0.116,137.21,91.39,81.15,1.0,0.0,0.0,10.23,6.45,0.0,39.38,46.92,4.44,36.16,LOW,0.13
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2018-07-01,2018-07-15,2018-07_Q1,7,1,25.47,0.73,2.93,1.0,71.98,-0.418,0.283,0.111,-0.23,137.21,45.18,84.05,1.0,0.0,11.61,10.64,16.67,15.78,39.38,122.39,0.0,35.55,MEDIUM,0.2
