point_id,lat,lon,crop,period_start,period_end,label,month,biweek,mean_C,std_C,precip_total_mm,precip_rainy_days,pet_mm,spei_1m,spei_3m,spei_6m,spei_12m,AWC_mm,Storage_mm,P_acum_mm,WRSI_1m,deficit_1m,future_deficit_1m,future_deficit_3m,future_deficit_6m,future_deficit_1m_mm,future_deficit_3m_mm,future_deficit_6m_mm,past_deficit_3m,past_deficit_6m,suggestion
p001,-31.217584511651197,119.2221536944847,wheat,2016-12-16,2016-12-31,2016-12_Q2,12,2,23.63,3.85,21.99,3,62.37,1.817,0.024,0.453,1.687,98.12,0.0,14.92,0.0668,93.32,72.8367,72.2952,70.4164,146.19,299.36,411.93,96.6861,84.6037,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2017-01-01,2017-01-15,2017-01_Q1,1,1,27.33,3.34,14.23,2,79.77,1.158,-0.008,-0.015,1.527,98.12,0.0,4.03,0.0192,98.08,43.8062,65.187,61.0245,64.48,222.73,303.92,96.2988,86.9374,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2017-01-16,2017-01-31,2017-01_Q2,1,2,25.54,3.92,14.94,2,79.77,1.418,1.46,0.964,1.566,98.12,0.0,54.52,0.2716,72.84,56.5379,74.3856,62.5881,60.44,213.19,269.68,96.7348,89.4885,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2017-02-01,2017-02-15,2017-02_Q1,2,1,21.86,3.4,21.66,3,50.64,1.826,1.837,1.203,1.831,98.12,0.0,82.72,0.5619,43.81,69.6477,77.3373,64.971,73.43,197.01,271.28,89.8469,87.6461,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2017-02-16,2017-02-28,2017-02_Q2,2,2,23.69,3.89,0.0,0,50.64,1.507,1.835,1.674,1.734,98.12,0.0,46.46,0.4346,56.54,87.095,77.8795,64.3487,92.73,177.94,265.49,83.7144,88.6577,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2017-03-01,2017-03-15,2017-03_Q1,3,1,26.74,4.13,9.72,1,53.48,0.951,1.68,1.62,1.744,98.12,0.0,32.0,0.3035,69.65,95.2498,73.2362,61.2145,84.82,145.33,271.21,78.1779,88.6523,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2017-03-16,2017-03-31,2017-03_Q2,3,2,19.3,2.54,5.8,1,53.48,-0.549,1.617,1.597,1.667,98.12,0.0,13.74,0.1291,87.09,81.9607,65.8643,63.6428,60.02,112.57,300.8,74.3409,88.5163,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2017-04-01,2017-04-15,2017-04_Q1,4,1,20.27,2.24,0.0,0,34.09,-1.313,1.517,1.418,1.541,98.12,0.0,4.23,0.0475,95.25,64.3198,51.9281,68.3511,38.76,81.19,387.29,72.2952,88.2955,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2017-04-16,2017-04-30,2017-04_Q2,4,2,18.74,1.95,39.79,2,34.09,-1.061,1.126,1.462,1.572,98.12,0.0,13.21,0.1804,81.96,51.6368,39.1541,73.4916,25.19,56.49,472.28,65.187,87.1227,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2017-05-01,2017-05-15,2017-05_Q1,5,1,16.48,2.36,0.0,0,18.71,-0.255,-0.159,1.615,1.534,98.12,0.0,21.5,0.3568,64.32,44.2733,45.6218,77.9857,21.75,74.27,601.62,74.3856,85.5424,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2017-05-16,2017-05-31,2017-05_Q2,5,2,13.07,1.67,57.71,4,18.71,0.24,-0.832,1.631,1.476,98.12,0.0,23.59,0.4836,51.64,55.9516,47.5569,80.4782,27.36,87.55,698.97,77.3373,81.8536,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2017-06-01,2017-06-15,2017-06_Q1,6,1,14.73,1.58,10.58,2,13.69,-1.006,-1.421,1.49,1.232,98.12,0.0,27.38,0.5573,44.27,44.0371,51.4621,83.2067,20.68,125.88,805.89,77.8795,78.0881,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2017-06-16,2017-06-30,2017-06_Q2,6,2,11.53,1.81,3.59,1,13.69,-1.566,-1.488,0.824,1.008,98.12,0.0,21.54,0.4405,55.95,8.4649,62.3845,84.9569,3.95,188.24,889.04,73.2362,74.0094,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2017-07-01,2017-07-15,2017-07_Q1,7,1,9.86,2.77,0.0,0,9.55,-0.66,-1.171,1.007,0.59,98.12,1.99,28.27,0.5596,44.04,47.7309,74.61,87.8459,31.84,306.1,985.61,65.8643,70.4164,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2017-07-16,2017-07-31,2017-07_Q2,7,2,11.54,1.9,41.27,2,9.55,0.584,-0.962,0.269,1.002,98.12,0.0,42.66,0.9154,8.46,63.4869,83.4331,88.3829,56.25,415.78,1044.5,51.9281,61.0245,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2017-08-01,2017-08-15,2017-08_Q1,8,1,10.89,2.73,59.12,4,12.3,0.202,-1.558,-1.107,0.623,98.12,0.0,32.88,0.5227,47.73,56.0261,86.6426,89.6722,73.36,527.35,1076.9,39.1541,62.5881,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2017-08-16,2017-08-31,2017-08_Q2,8,2,12.59,2.47,0.0,0,12.3,-0.349,-1.17,-1.424,1.4,98.12,0.0,32.35,0.3651,63.49,76.8876,89.3339,89.5706,128.04,611.41,1084.79,45.6218,64.971,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2017-09-01,2017-09-15,2017-09_Q1,9,1,14.0,3.64,26.54,3,19.42,1.193,0.424,-0.578,1.391,98.12,0.0,57.58,0.4397,56.03,94.4878,93.9331,92.3166,200.9,680.01,1091.1,47.5569,64.3487,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2017-09-16,2017-09-30,2017-09_Q2,9,2,14.73,3.86,7.81,1,19.42,1.522,0.553,-0.434,1.391,98.12,0.0,38.49,0.2311,76.89,95.1812,94.1025,91.3217,231.49,700.8,1053.04,51.4621,61.2145,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2017-10-01,2017-10-15,2017-10_Q1,10,1,16.78,4.34,22.35,2,33.88,-0.166,0.588,-0.055,1.255,98.12,0.0,11.72,0.0551,94.49,95.4732,95.4757,90.1659,253.09,679.51,954.09,62.3845,63.6428,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2017-10-16,2017-10-31,2017-10_Q2,10,2,19.09,2.77,25.13,2,33.88,0.176,0.351,-0.138,1.072,98.12,0.0,11.72,0.0482,95.18,91.7026,91.9921,89.3973,251.88,628.72,877.39,74.61,68.3511,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2017-11-01,2017-11-15,2017-11_Q1,11,1,22.7,2.5,21.26,1,57.12,-0.357,0.393,-0.309,1.314,98.12,0.0,12.0,0.0453,95.47,91.7959,92.7855,89.2131,226.02,549.55,761.38,83.4331,73.4916,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2017-11-16,2017-11-30,2017-11_Q2,11,2,23.13,3.88,30.52,2,57.12,-0.558,0.185,-0.368,1.241,98.12,0.0,22.79,0.083,91.7,95.8517,89.8783,86.7027,217.43,473.38,656.2,86.6426,77.9857,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2017-12-01,2017-12-15,2017-12_Q1,12,1,24.53,2.88,2.97,1,70.71,-0.438,-0.379,-0.047,1.16,98.12,0.0,20.2,0.082,91.8,100.0,89.7616,83.3168,200.41,411.09,542.6,89.3339,80.4782,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2017-12-16,2017-12-31,2017-12_Q2,12,2,24.9,4.1,13.87,5,70.71,0.502,-0.231,0.087,0.611,98.12,0.0,9.41,0.0415,95.85,87.6167,86.2509,77.3138,159.41,352.24,438.77,93.9331,83.2067,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2018-01-01,2018-01-15,2018-01_Q1,1,1,26.23,3.75,14.6,1,77.16,0.353,-0.295,0.117,0.658,98.12,0.0,0.0,0.0,100.0,84.5319,79.2575,69.2402,123.12,274.58,342.19,94.1025,84.9569,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2018-01-16,2018-01-31,2018-01_Q2,1,2,25.77,3.73,0.0,0,77.16,0.534,0.255,0.313,0.381,98.12,0.0,22.53,0.1238,87.62,81.8758,83.4465,64.6498,96.54,248.67,282.65,95.4757,87.8459,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2018-02-01,2018-02-15,2018-02_Q1,2,1,25.68,2.96,0.0,0,58.82,0.623,0.399,0.193,-0.082,98.12,0.0,22.53,0.1547,84.53,78.2341,81.1116,62.1907,87.56,211.84,254.21,91.9921,88.3829,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2018-02-16,2018-02-28,2018-02_Q2,2,2,23.4,4.02,10.22,1,58.82,0.567,0.764,0.713,0.105,98.12,0.0,21.37,0.1812,81.88,88.7141,79.4356,56.0488,96.29,182.83,217.97,92.7855,89.6722,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2018-03-01,2018-03-15,2018-03_Q1,3,1,24.63,2.39,0.0,0,57.8,0.29,0.421,0.143,-0.032,98.12,0.0,24.36,0.2177,78.23,71.9014,68.0453,56.4504,63.9,131.51,237.73,89.8783,89.5706,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2018-03-16,2018-03-31,2018-03_Q2,3,2,23.23,2.88,12.73,2,57.8,-1.345,0.027,0.073,-0.083,98.12,0.0,12.25,0.1129,88.71,78.044,54.378,59.1221,55.84,86.53,268.44,89.7616,92.3166,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2018-04-01,2018-04-15,2018-04_Q1,4,1,20.15,2.94,5.15,2,35.54,-0.198,0.102,0.13,-0.028,98.12,0.0,24.97,0.281,71.9,100.0,45.7562,66.1515,60.38,67.62,365.68,86.2509,91.3217,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2018-04-16,2018-04-30,2018-04_Q2,4,2,19.68,2.1,7.69,1,35.54,-1.083,-1.313,-0.231,-0.234,98.12,0.0,15.71,0.2196,78.04,61.3066,24.4072,65.6896,30.69,33.97,414.43,79.2575,90.1659,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2018-05-01,2018-05-15,2018-05_Q1,5,1,16.27,2.03,28.27,4,20.43,-1.934,-1.541,-0.26,-0.419,98.12,0.0,0.0,0.0,100.0,16.4347,28.7113,68.9504,7.24,42.38,507.82,83.4465,89.3973,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2018-05-16,2018-05-31,2018-05_Q2,5,2,14.61,2.09,14.91,1,20.43,-0.528,-1.558,0.011,-0.375,98.12,0.0,19.37,0.3869,61.31,0.0,22.139,73.6211,0.0,35.14,603.37,81.1116,89.2131,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2018-06-01,2018-06-15,2018-06_Q1,6,1,12.6,2.58,29.46,3,11.29,-0.258,-1.326,-0.499,-0.266,98.12,2.86,39.65,0.8357,16.43,0.0,46.6154,76.9534,0.0,106.22,726.48,79.4356,86.7027,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2018-06-16,2018-06-30,2018-06_Q2,6,2,11.25,1.93,15.15,2,11.29,0.279,-0.982,-0.505,-0.207,98.12,7.05,44.57,1.0,0.0,6.3606,61.6821,80.8726,3.28,181.9,840.93,68.0453,83.3168,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2018-07-01,2018-07-15,2018-07_Q1,7,1,11.67,2.12,14.08,2,11.05,0.519,-0.726,-0.309,-0.172,98.12,10.74,51.25,1.0,0.0,58.3723,73.5931,83.7974,35.14,298.06,943.19,54.378,77.3138,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2018-07-16,2018-07-31,2018-07_Q2,7,2,11.35,1.41,24.61,1,11.05,0.033,-0.134,-1.139,-0.263,98.12,0.0,41.28,0.9364,6.36,45.7745,77.3762,86.5363,31.86,380.45,1031.34,45.7562,69.2402,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2018-08-01,2018-08-15,2018-08_Q1,8,1,9.41,2.16,37.35,3,9.63,-1.269,-0.288,-1.759,-0.353,98.12,0.0,14.32,0.4163,58.37,57.187,79.0356,86.4754,71.07,465.44,1065.61,24.4072,64.6498,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2018-08-16,2018-08-31,2018-08_Q2,8,2,11.38,2.28,20.93,5,9.63,1.127,0.856,-0.573,0.198,98.12,15.47,53.21,0.5423,45.77,84.4957,85.9873,88.9736,146.76,568.23,1122.89,28.7113,62.1907,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2018-09-01,2018-09-15,2018-09_Q1,9,1,11.97,2.21,11.15,1,19.57,1.113,0.549,-0.296,-0.23,98.12,0.0,53.21,0.4281,57.19,86.9946,86.6055,89.1191,191.84,620.26,1096.12,22.139,56.0488,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2018-09-16,2018-09-30,2018-09_Q2,9,2,16.87,3.17,0.0,0,19.57,-0.12,0.342,-0.049,-0.03,98.12,0.0,11.46,0.155,84.5,81.2523,88.4699,87.5731,201.83,659.03,1047.27,46.6154,56.4504,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2018-10-01,2018-10-15,2018-10_Q1,10,1,16.3,1.34,22.2,4,33.0,1.356,0.543,0.191,0.198,98.12,0.0,28.68,0.1301,86.99,82.9696,89.533,85.9973,202.52,645.13,937.86,61.6821,59.1221,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2018-10-16,2018-10-31,2018-10_Q2,10,2,19.1,3.42,11.11,1,33.0,1.526,1.156,0.897,0.641,98.12,0.0,46.57,0.1875,81.25,91.9993,92.9696,85.6721,219.63,650.89,861.63,73.5931,66.1515,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2018-11-01,2018-11-15,2018-11_Q1,11,1,20.32,3.53,24.86,5,44.92,1.62,1.633,1.396,0.961,98.12,0.0,41.57,0.1703,82.97,89.7922,93.2853,85.2505,225.89,600.17,762.25,77.3762,65.6896,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2018-11-16,2018-11-30,2018-11_Q2,11,2,20.34,3.49,9.54,3,44.92,0.357,1.201,1.249,0.842,98.12,0.0,19.1,0.08,92.0,92.1563,92.2559,82.7659,237.57,554.67,665.96,79.0356,68.9504,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2018-12-01,2018-12-15,2018-12_Q1,12,1,24.84,2.86,36.14,4,74.5,0.765,1.822,1.201,0.91,98.12,0.0,25.68,0.1021,89.79,96.3671,92.623,79.9984,216.72,475.86,542.85,85.9873,73.6211,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2018-12-16,2018-12-31,2018-12_Q2,12,2,25.89,4.05,9.22,2,74.5,0.706,1.753,1.21,0.561,98.12,0.0,20.22,0.0784,92.16,95.1373,86.0918,73.6473,193.69,388.24,428.39,86.6055,76.9534,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2019-01-01,2019-01-15,2019-01_Q1,1,1,27.45,2.74,0.0,0,85.03,0.048,1.495,1.087,0.548,98.12,0.0,8.17,0.0363,96.37,94.3981,79.112,66.021,157.56,292.73,326.13,88.4699,80.8726,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2019-01-16,2019-01-31,2019-01_Q2,1,2,27.13,3.84,13.05,5,85.03,-0.698,0.099,0.828,0.315,98.12,0.0,9.9,0.0486,95.14,88.2449,68.9557,55.0626,123.41,210.75,234.7,89.533,83.7974,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2019-02-01,2019-02-15,2019-02_Q1,2,1,25.83,2.91,13.17,1,71.91,-1.294,-0.211,0.931,0.221,98.12,0.0,9.35,0.056,94.4,83.2903,64.6362,47.6426,101.59,162.08,191.82,92.9696,86.5363,NOT_SUITABLE
p001,-31.217584511651197,119.2221536944847,wheat,2019-02-16,2019-02-28,2019-02_Q2,2,2,28.42,2.74,0.0,0,71.91,-0.859,-0.429,0.284,0.172,98.12,0.0,16.44,0.1176,88.24,66.1626,54.7144,46.7827,71.13,111.29,182.71,93.2853,86.4754,NOT_SUITABLE
