point_id,name,lat,lon,zone
p001,Tully_QLD,-17.91348,145.866502,very_humid
p002,Tully2_QLD,-17.964496,145.89425,very_humid
p003,Tully3_QLD,-17.899894,145.957738,very_humid
p004,Tully4_QLD,-17.878095,145.875171,very_humid
p005,Innisfail_QLD,-17.87668289970007, 145.85446770579776,very_humid
p006,Innisfail2_QLD,-17.565018,145.980428,very_humid
p007,Innisfail3_QLD,-17.595754,145.955907,very_humid
p008,Innisfail4_QLD,-17.496018,145.983595,very_humid
p009,Babinda_QLD,-17.383138,145.931497,very_humid
p010,Babinda2_QLD,-17.35116116048032, 145.8783092505762,very_humid
p011,Babinda3_QLD,-17.304028411209426, 145.95172890995383,very_humid
p012,Babinda4_QLD,-17.363470567140183, 145.8786532540415,very_humid
p013,Gordonvale_QLD,-17.02799,145.764123,very_humid
p014,Gordonvale2_QLD,-17.149016,145.73054,very_humid
p015,Gordonvale3_QLD,-17.041617431124546, 145.7961146636118,very_humid
p016,Gordonvale4_QLD,-17.049002,145.819162,very_humid
p017,Mossman_QLD,-16.461744203113955, 145.3999386262013,very_humid
p018,Mossman2_QLD,-16.477005,145.380286,very_humid
p019,Mossman3_QLD,-16.413883,145.389593,very_humid
p020,Mossman4_QLD,-16.409361,145.383829,very_humid
p021,Mackay_QLD,-21.096503489834607, 149.10308997969264,humid
p022,Mackay2_QLD,-21.19442,149.120257,humid
p023,Mackay3_QLD,-21.224042,149.116295,humid
p024,Mackay4_QLD,-21.2198,149.119458,humid
p025,Mackay5_QLD,-21.111762026289718, 149.1250230127732,humid
p026,Mackay6_QLD,-21.165964,149.114665,humid
p027,Mackay7_QLD,-21.189597298414874, 149.14028507216622,humid
p028,Sarina_QLD,-21.39889431332551, 149.22902715968308,humid
p029,Sarina2_QLD,-21.465041,149.249078,humid
p030,Sarina3_QLD,-21.468435621449654, 149.19505715599584,humid
p031,Sarina4_QLD,-21.350467,149.2366,humid
p032,Sarina5_QLD,-21.409898287740184, 149.24296401408532,humid
p033,Sarina6_QLD,-21.37408820548554, 149.25833293473303,humid
p034,Proserpine_QLD,-20.438933,148.515494,humid
p035,Proserpine2_QLD,-20.4211763668948, 148.5483981661875,humid
p036,Proserpine3_QLD,-20.441462,148.643007,humid
p037,Proserpine4_QLD,-20.34738352142781, 148.55545196378645,humid
p038,Proserpine5_QLD,-20.379239,148.566388,humid
p039,Proserpine6_QLD,-20.34039774588783, 148.5666559281632,humid
p040,Ingham_QLD,-18.682917,146.119528,humid
p041,Ingham2_QLD,-18.641408,146.121784,humid
p042,Ingham3_QLD,-18.638158,146.210695,humid
p043,Ingham4_QLD,-18.664084,146.115705,humid
p044,Ingham5_QLD,-18.580345,146.156334,humid
p045,Ingham6_QLD,-18.716892132724617, 146.10590243544442,humid
p046,Grafton_NSW,-29.74740952614518, 152.9559725989761,humid
p047,Grafton2_NSW,-29.64849590498549, 152.92276940322495,humid
p048,Grafton3_NSW,-29.752692791067005, 152.92067783446484,humid
p049,Grafton4_NSW,-29.627577153362825, 152.93560836478758,humid
p050,Grafton5_NSW,-29.623547421490393, 152.9828352987648,humid
p051,Grafton6_NSW,-29.75816709608252, 152.96147721673435,humid
p052,Ballina_NSW,-28.837292,153.507588,humid
p053,Ballina2_NSW,-28.911971,153.514867,humid
p054,Ballina3_NSW,-28.939921,153.500434,humid
p055,Ballina4_NSW,-28.87833,153.536767,humid
p056,Ballina5_NSW,-28.803214350813786, 153.48923254534338,humid
p057,Ballina6_NSW,-28.869894,153.482506,humid
p058,Murwillumbah_NSW,-28.270413122694606, 153.44991998641845,humid
p059,Murwillumbah2_NSW,-28.358464245221427, 153.40717288420308,humid
p060,Murwillumbah3_NSW,-28.311744,153.346397,humid
p061,Murwillumbah4_NSW,-28.288963126781773, 153.4021545089458,humid
p062,Murwillumbah5_NSW,-28.28648980276706, 153.40221115573362,humid
p063,Murwillumbah6_NSW,-28.38816858379201, 153.38148619651633,humid
p064,Broadwater_NSW,-29.09627838309907, 153.4248490588265,humid
p065,Broadwater2_NSW,-28.96521427071748, 153.47510262148518,humid
p066,Broadwater3_NSW,-29.046948,153.36811,humid
p067,Broadwater4_NSW,-28.969031377844324, 153.4899873477111,humid
p068,Broadwater5_NSW,-29.067522084224535, 153.37543249304872,humid
p069,Broadwater6_NSW,-29.051904940192355, 153.3873032955673,humid
p070,Broadwater7_NSW,-28.982783,153.377975,humid
p071,Bundaberg_QLD,-24.833988124438566, 152.32735094892496,intermediate
p072,Bundaberg2_QLD,-24.899892,152.401141,intermediate
p073,Bundaberg3_QLD,-24.872724387231273, 152.3058292716468,intermediate
p074,Bundaberg4_QLD,-24.856849600169614, 152.39774547880182,intermediate
p075,Bundaberg5_QLD,-24.920867836292537, 152.31063629879446,intermediate
p076,Bundaberg6_QLD,-24.79239131529935, 152.36781463901653,intermediate
p077,Bundaberg7_QLD,-24.851782058083153, 152.35150779079467,intermediate
p078,Bundaberg8_QLD,-24.922153997040564, 152.3228830055739,intermediate
p079,Bundaberg9_QLD,-24.911890962551524, 152.35454047062564,intermediate
p080,Bundaberg10_QLD,-24.905114836515583, 152.31664280784335,intermediate
p081,Bundaberg11_QLD,-24.9253278880124, 152.37003133319152,intermediate
p082,Bundaberg12_QLD,-24.901347404976732, 152.4049436054751,intermediate
p083,Childers_QLD,-25.186651,152.21792,intermediate
p084,Childers2_QLD,-25.271709484385788, 152.30127075891252,intermediate
p085,Childers3_QLD,-25.289917138465395, 152.21164124705479,intermediate
p086,Childers4_QLD,-25.17931950507457, 152.28345061484654,intermediate
p087,Childers5_QLD,-25.238632744627637, 152.31779335281766,intermediate
p088,Childers6_QLD,-25.19395,152.234657,intermediate
p089,Childers7_QLD,-25.30327237756235, 152.25483653341578,intermediate
p090,Childers8_QLD,-25.245835807948037, 152.27675185139816,intermediate
p091,Childers9_QLD,-25.209840796683224, 152.29641305269004,intermediate
p092,Childers10_QLD,-25.169217,152.221779,intermediate
p093,Childers11_QLD,-25.254230369643658, 152.26285365597047,intermediate
p094,Maryborough_QLD,-25.47375441178442, 152.67189592365335,intermediate
p095,Maryborough2_QLD,-25.57882586786775, 152.6906409904819,intermediate
p096,Maryborough3_QLD,-25.53361324429483, 152.65271257908128,intermediate
p097,Maryborough4_QLD,-25.57283407657194, 152.7577624062402,intermediate
p098,Maryborough5_QLD,-25.548072194772818, 152.7471365301998,intermediate
p099,Maryborough6_QLD,-25.53297732972872, 152.64131137661965,intermediate
p100,Maryborough7_QLD,-25.4681,152.748044,intermediate
p101,Maryborough8_QLD,-25.48007977712456, 152.75078828137183,intermediate
p102,Maryborough9_QLD,-25.48975436524907, 152.65021776819057,intermediate
p103,Maryborough10_QLD,-25.536244218755254, 152.65402635560116,intermediate
p104,Maryborough11_QLD,-25.54989881610984, 152.63202760411434,intermediate
p105,GinGin_QLD,-25.00836886758189, 152.0331142957847,intermediate
p106,GinGin2_QLD,-25.02468593943943, 151.99489910559367,intermediate
p107,GinGin3_QLD,-24.99950317500562, 151.94616327882179,intermediate
p108,GinGin4_QLD,-24.92141619934291, 152.03412558023862,intermediate
p109,GinGin5_QLD,-24.98548372146658, 151.99334503659284,intermediate
p110,GinGin6_QLD,-25.03895618840213, 151.92970436608994,intermediate
p111,GinGin7_QLD,-24.924017181828923, 151.96258817279266,intermediate
p112,GinGin8_QLD,-24.985041059853327, 151.9963477800112,intermediate
p113,GinGin9_QLD,-25.051425930806786, 151.9709154867168,intermediate
p114,GinGin10_QLD,-24.994275468304572, 151.99934733444766,intermediate
p115,GinGin11_QLD,-25.040463237239006, 152.02823190296954,intermediate
p116,Ayr_QLD,-19.63041936647672, 147.3605451463622,dry
p117,Ayr2_QLD,-19.560695,147.43053,dry
p118,Ayr3_QLD,-19.611071,147.352784,dry
p119,Ayr4_QLD,-19.511262932428355, 147.363398695281,dry
p120,Ayr5_QLD,-19.560767,147.422713,dry
p121,Ayr6_QLD,-19.58701724194004, 147.41892635527986,dry
p122,Ayr7_QLD,-19.57081,147.466859,dry
p123,Ayr8_QLD,-19.615404,147.436267,dry
p124,Ayr9_QLD,-19.610584,147.39141,dry
p125,Ayr10_QLD,-19.54946757535847, 147.37498519402305,dry
p126,Ayr11_QLD,-19.599735,147.441261,dry
p127,Ayr12_QLD,-19.633207362134694, 147.39392654322057,dry
p128,HomeHill_QLD,-19.59442823997779, 147.48428011719574,dry
p129,HomeHill2_QLD,-19.723743,147.373842,dry
p130,HomeHill3_QLD,-19.696872,147.474656,dry
p131,HomeHill4_QLD,-19.610679,147.467098,dry
p132,HomeHill5_QLD,-19.682266,147.366085,dry
p133,HomeHill6_QLD,-19.615810591367808, 147.44072573896295,dry
p134,HomeHill7_QLD,-19.650376854653285, 147.47678213819864,dry
p135,HomeHill8_QLD,-19.642443,147.345095,dry
p136,HomeHill9_QLD,-19.620797479107942, 147.38259778662314,dry
p137,HomeHill10_QLD,-19.644025424249417, 147.46417196198192,dry
p138,HomeHill11_QLD,-19.715199,147.36016,dry
p139,Brandon_QLD,-19.609015,147.358451,dry
p140,Brandon2_QLD,-19.58551719898774, 147.36262900751686,dry
p141,Brandon3_QLD,-19.52210818715289, 147.30127497974703,dry
p142,Brandon4_QLD,-19.53782577252589, 147.3181082005468,dry
p143,Brandon5_QLD,-19.554038929506692, 147.40495749957233,dry
p144,Brandon6_QLD,-19.52223355334777, 147.29570277248587,dry
p145,Brandon7_QLD,-19.564699,147.319735,dry
p146,Brandon8_QLD,-19.623504,147.388957,dry
p147,Brandon9_QLD,-19.538211443286915, 147.3182318963023,dry
p148,Brandon10_QLD,-19.51182826273521, 147.35364736691267,dry
p149,Brandon11_QLD,-19.564781093434394, 147.283909678021,dry
p150,Clare_QLD,-19.84354871589184, 147.2730376470398,dry
p151,Clare2_QLD,-19.73145,147.232383,dry
p152,Clare3_QLD,-19.741157,147.237551,dry
p153,Clare4_QLD,-19.837267,147.173842,dry
p154,Clare5_QLD,-19.81643876446703, 147.275387508942,dry
p155,Clare6_QLD,-19.746320826722734, 147.27810732220357,dry
p156,Clare7_QLD,-19.732151,147.185411,dry
p157,Clare8_QLD,-19.821844712779864, 147.16888895985966,dry
p158,Clare9_QLD,-19.74659274396874, 147.27848080773578,dry
p159,Clare10_QLD,-19.801107,147.242893,dry
p160,Clare11_QLD,-19.832122500179736, 147.28747707016285,dry
p161,Palmira_Valle,3.5926469836683115, -76.23706056425976,dry
p162,Palmira2_Valle,3.582508,-76.249602,dry
p163,Palmira3_Valle,3.47247,-76.269881,dry
p164,Palmira4_Valle,3.515506,-76.242686,dry
p165,Palmira5_Valle,3.581313,-76.252031,dry
p166,Candelaria_Valle,3.449505,-76.380647,dry
p167,Candelaria2_Valle,3.446232,-76.402867,dry
p168,Candelaria3_Valle,3.458103,-76.297797,dry
p169,Candelaria4_Valle,3.367141,-76.303678,dry
p170,Candelaria5_Valle,3.400442,-76.375273,dry
p171,Pradera_Valle,3.462348,-76.282137,dry
p172,Pradera2_Valle,3.353798894641802, -76.28627535795056,dry
p173,Pradera3_Valle,3.397588885494778, -76.1884419771076,dry
p174,Pradera4_Valle,3.486364,-76.274923,dry
p175,Pradera5_Valle,3.440807,-76.258045,dry
p176,Florida_Valle,3.389361,-76.23293,dry
p177,Florida2_Valle,3.383493,-76.291852,dry
p178,Florida3_Valle,3.387856,-76.283001,dry
p179,Florida4_Valle,3.3893896771313203, -76.26993378123709,dry
p180,Florida5_Valle,3.265708534180915, -76.2477832759028,dry
p181,Cali_Valle,3.4840755929108163, -76.55531379363177,intermediate
p182,Cali2_Valle,3.4737885514020572, -76.46701836731216,intermediate
p183,Cali3_Valle,3.392658072193038, -76.4883401850992,intermediate
p184,Cali4_Valle,3.4015997111620697, -76.49292912708694,intermediate
p185,Cali5_Valle,3.381097764522809, -76.47591660386391,intermediate
p186,Cali6_Valle,3.459475538840324, -76.4716853093177,intermediate
p187,Cali7_Valle,3.491031126766202, -76.47491694999974,intermediate
p188,Cali8_Valle,3.4315733222800096, -76.5901440669843,intermediate
p189,Yumbo_Valle,3.6046530309574902, -76.4893233968958,intermediate
p190,Yumbo2_Valle,3.5538640388304326, -76.44837012650696,intermediate
p191,Yumbo3_Valle,3.609820246040655, -76.48986752530425,intermediate
p192,Yumbo4_Valle,3.538345626608003, -76.5056966338084,intermediate
p193,Yumbo5_Valle,3.5968341084912323, -76.47770483739697,intermediate
p194,Yumbo6_Valle,3.5329637847850828, -76.48578632173104,intermediate
p195,ElCerrito_Valle,3.7503512321936054, -76.29318573226972,intermediate
p196,ElCerrito2_Valle,3.741699445676214, -76.3020318513053,intermediate
p197,ElCerrito3_Valle,3.659302107671295, -76.31138556294815,intermediate
p198,ElCerrito4_Valle,3.619057,-76.347832,intermediate
p199,ElCerrito5_Valle,3.6761539883102876, -76.31344315282513,intermediate
p200,ElCerrito6_Valle,3.707886048824273, -76.32546619518679,intermediate
p201,Guacari_Valle,3.7556985861485392, -76.3750346515267,intermediate
p202,Guacari2_Valle,3.7595180056690567, -76.27686718994097,intermediate
p203,Guacari3_Valle,3.805442996175435, -76.38119565152681,intermediate
p204,Guacari4_Valle,3.705871,-76.330837,intermediate
